,comp 1,comp 2,comp 3,comp 4,comp 5
active_num_days,-0.33266461276202325,0.1640883030387078,-0.04946454721786172,0.23224566749530826,0.3296153232617809
active_avg_count,-0.3221611732859406,0.3175972324680988,-0.21733907645428346,-0.12312849602507232,-0.26388307338795874
active_sum_count,-0.3526903203787109,0.29288071893549006,-0.26452183664349854,0.03595625350980532,-0.0846282762858522
problem_sum_count,-0.24539041644359205,0.40219851911696164,-0.10070405343029099,-0.5139195198234695,-0.21661313546064898
video_pause_backward_seek_sum,-0.27291717103197366,0.10245290404975366,-0.2722076559330672,0.6261464618285245,0.2595849935566879
mt_practice_sum,-0.3191756055417134,-0.16679083233210967,0.4043458616007206,-0.1969668892760472,0.226650721885467
mt_unit_sum,-0.3680286316342484,-0.2260319879856111,0.23249157882979649,-0.011982979750184974,-0.03798439374832268
mt_online_num_day,-0.3650151530776627,-0.1978762261886714,0.18791535748771993,0.04372434919929524,-0.13805392033445438
mt_online_practice_num_day,-0.36890253820549074,-0.23110673362010659,0.24730019375688742,-0.04238099771980477,-0.028771515481007343
hw_mean,-0.10461883023521873,-0.5451973769793735,-0.41037037274402716,0.14396286777876333,-0.5798525030812245
qz_mean,-0.09416659620895651,-0.38138238089747445,-0.5600763767282205,-0.4583262860226832,0.5397433867286788
Regression P>|t|,0.004,0.096,0.006,0.043,0.014
