,comp 1,comp 2,comp 3
active_num_days,0.319508719817,-0.207979419942,-0.129298699647
active_avg_count,0.337103341668,-0.351742273346,-0.0514355415983
active_sum_count,0.343613953842,-0.380989832294,-0.151174390425
problem_sum_count,0.208856562865,-0.369384700468,-0.0206160021606
video_pause_backward_seek_sum,0.316190168789,-0.222602757029,-0.103508818905
mt_practice_sum,0.302654717042,0.32901025781,0.222440269125
mt_unit_sum,0.372753934964,0.25981878476,0.20340259777
mt_online_num_day,0.357695201224,0.273314650428,0.191073964172
mt_online_practice_num_day,0.372628739932,0.276401799879,0.204688792452
hw_mean,0.116133313436,0.28211642851,-0.63590300205
qz_mean,0.108523379792,0.308916743355,-0.610746887188
Regression P>|t|,0.014,0.019,0.002
