evaluation_num,pMAPC,pMSE,mean_train_score,mean_test_score
1.0,0.518553096406,511.45215724,0.367594868065,0.264747951128
2.0,0.515535306506,515.436221009,0.365221893923,0.279616079498
3.0,0.515566985749,513.826288639,0.366191114517,0.292628727104
4.0,0.513825824995,514.383259633,0.365687407945,0.283448558558
5.0,0.514048697329,517.963349331,0.366662981496,0.235069002654
6.0,0.517317310232,513.182018791,0.365079056749,0.264415632144
7.0,0.513482787749,516.645077399,0.364788730225,0.258652788165
8.0,0.518576703668,510.384119946,0.366000599051,0.31199898946
9.0,0.519317902233,516.10265014,0.364565892509,0.219612077743
10.0,0.514761819612,519.734675628,0.365483369697,0.185213369215
11.0,0.514641340176,518.641988553,0.362622946562,0.211349515729
12.0,0.520848265884,515.556074697,0.366490367252,0.258130619785
13.0,0.518766683596,509.133209002,0.365205972351,0.312499862234
14.0,0.520523835455,507.518551969,0.366712234757,0.269956922317
15.0,0.507429507814,521.95999442,0.362328165047,0.230954204735
16.0,0.515855804044,512.711346002,0.364752603432,0.282490156558
17.0,0.515485509789,512.52486334,0.365980299498,0.278915820623
18.0,0.52019697925,509.711769914,0.364885928943,0.293715053498
19.0,0.521539807026,508.805821995,0.366713546766,0.31482776587
20.0,0.515057219258,517.678693689,0.36415340288,0.269303775957
21.0,0.519211458864,513.810962683,0.36666596415,0.252136611495
22.0,0.511818229868,526.566112361,0.362016635414,0.24110451656
23.0,0.516135062987,513.033603242,0.3661966176,0.261481582987
24.0,0.521023055799,509.952930323,0.365550286699,0.295620854502
25.0,0.521535605058,508.878862091,0.365982595863,0.287264482429
26.0,0.518517463853,509.462503473,0.365083649447,0.28283658918
27.0,0.520873163517,507.274283187,0.365884207295,0.313777888166
28.0,0.524055958837,505.254051027,0.366468970193,0.304582660928
29.0,0.522198970257,507.645135696,0.365832133944,0.315511511175
30.0,0.518458384057,509.502747501,0.365589667677,0.30866504305
31.0,0.518789427562,515.844530114,0.362998320128,0.207514242984
32.0,0.515157048257,516.524933609,0.365792780086,0.239411774536
33.0,0.514608296305,512.113963764,0.366331319953,0.286264041289
34.0,0.518951279898,517.742677113,0.363993607129,0.291331122534
35.0,0.516689433594,509.450703371,0.365699105298,0.316487934833
36.0,0.512876861937,518.122637057,0.36505743747,0.238537695708
37.0,0.513864535792,512.665263214,0.366063602111,0.259627382632
38.0,0.517697018063,512.392351377,0.366240623705,0.293358941414
39.0,0.519940020969,512.416838441,0.365906211612,0.299690693266
40.0,0.516633646081,509.23156262,0.365481102038,0.275246343983
41.0,0.517511597089,510.629039489,0.366364667947,0.295576720971
42.0,0.52182208569,506.046301487,0.366010427898,0.315950038305
43.0,0.52086896747,509.275869119,0.365760686842,0.29530427293
44.0,0.51845004324,508.38481388,0.367114929829,0.317058570657
45.0,0.517776618928,516.722636252,0.366238862094,0.236802470666
46.0,0.520794663839,508.49587987,0.366374987952,0.295373231907
47.0,0.520824245854,507.821781819,0.366366018188,0.326346175897
48.0,0.521047701103,504.384118162,0.367946933364,0.329290342572
49.0,0.513319361517,515.841797021,0.363725564961,0.250518503683
50.0,0.517012266048,511.37613013,0.366463202819,0.283403114608
51.0,0.50779494411,519.226351156,0.364159647325,0.209769633258
52.0,0.5208321691,506.051242652,0.366706809368,0.320859890999
53.0,0.515752400015,511.475127122,0.364137341146,0.279868260405
54.0,0.520714443822,505.840373328,0.365528288766,0.325736748042
55.0,0.517512591074,509.861929414,0.365664787193,0.309301800742
56.0,0.517978138414,513.278389907,0.365611649672,0.270145468334
57.0,0.518080059539,511.330592688,0.367449408146,0.284798108267
58.0,0.521388408305,508.8964887,0.366570484162,0.306981065757
59.0,0.516082375556,513.41646043,0.36496494101,0.284142946451
60.0,0.513543967571,522.154827161,0.363981633963,0.235037029946
61.0,0.518361567272,512.810489558,0.366399833857,0.269513363278
62.0,0.518633493086,509.124002973,0.366399168202,0.310921184027
63.0,0.520667729942,508.054535421,0.366843437307,0.291151783297
64.0,0.517419879976,512.705607899,0.364642516009,0.287207810438
65.0,0.520788806723,509.786443902,0.365095103012,0.305020033459
66.0,0.52073454979,510.349009306,0.365556491982,0.256498018596
67.0,0.513775918152,521.318178186,0.364009051944,0.21421815823
68.0,0.519880963142,509.299099934,0.363516245272,0.267570913859
69.0,0.520210447831,504.285691989,0.365395350824,0.320264481246
70.0,0.51383734153,514.68098796,0.365612833345,0.280134252857
71.0,0.519242089486,511.446628999,0.365611317251,0.317665682896
72.0,0.521022546114,505.061025974,0.365719207383,0.329254904906
73.0,0.518690983511,512.380530758,0.366159519249,0.303919325525
74.0,0.51656448405,516.910643435,0.364947220545,0.256472862693
75.0,0.520919577341,507.603608904,0.364954924589,0.297004419808
76.0,0.523046631143,508.011577549,0.366176973013,0.30130001536
77.0,0.518878812994,511.22924657,0.365444741611,0.305828509361
78.0,0.505053938886,527.11786332,0.363175064601,0.170873468432
79.0,0.519422394445,508.607018768,0.366302124649,0.321624607357
80.0,0.51958996224,510.552359571,0.365937700242,0.307251739832
81.0,0.519685591598,512.367902269,0.366221685672,0.292098415333
82.0,0.519240616621,505.775372309,0.364708410996,0.326758073516
83.0,0.514572710511,518.070431048,0.363957120115,0.234322952956
84.0,0.518354502169,514.384715419,0.365148359683,0.285932193536
85.0,0.509521327801,518.061634502,0.364674367588,0.263478853423
86.0,0.52197502477,510.051721971,0.365198159672,0.30021688693
87.0,0.519140989379,509.015105425,0.366133573129,0.295921464711
88.0,0.515048742924,519.160558128,0.365751477549,0.245702245148
89.0,0.512622634916,515.869631508,0.364866327483,0.262583460509
90.0,0.522292809694,505.417872842,0.365057461228,0.315813671713
91.0,0.522244811753,508.407119368,0.36631742336,0.316390603372
92.0,0.515960256939,509.860624156,0.364759431388,0.289575186352
93.0,0.519018587913,510.396327016,0.365766917412,0.30463475043
94.0,0.520518694331,508.847613151,0.367011357371,0.290924577552
95.0,0.515782237623,513.276763462,0.365698332953,0.30048583511
96.0,0.516289380016,514.800926331,0.365511817356,0.280709320804
97.0,0.516715416767,514.948738357,0.365625559126,0.277612506342
98.0,0.518365534127,509.90649823,0.366818625774,0.304442286424
99.0,0.51448562273,511.908018091,0.365119961393,0.278516104263
100.0,0.519185938694,509.418743378,0.364920968514,0.280686052286
