username,active_sum_count,problem_avg_count,problem_sum_count,video_sum_count,video_backward_seek_sum,video_backward_seek_avg,all_type_video_backward_seek_sum,video_events_avg,mt_unit_sum,mt_online_practice_num_day,final_score
101302503,328.05555560000005,7.064814814,15.72222222,28.11111111,3.722222222,0.348535569,6.5,4.38954271,0.0,0.0,2
102602012,1.722222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
103602527,465.1666667,11.25925926,14.83333333,220.5,2.611111111,0.32452713,3.333333333,9.092708266,0.0,0.0,1
104602001,262.5,5.305555556,7.777777778,32.94444444,3.5555555560000003,0.585153775,5.1111111110000005,7.082121622000001,0.833333333,0.8888888890000001,1
104602002,248.1111111,4.833333333,11.66666667,30.55555556,0.7777777779999999,0.137271525,1.777777778,4.866125541000001,1.277777778,1.5,2
104602003,338.05555560000005,4.944444444,10.5,73.83333333,14.16666667,3.210227273,17.0,20.66881313,1.166666667,1.166666667,1
104602005,287.55555560000005,11.91666667,19.44444444,39.66666667,3.333333333,0.7335317459999999,4.722222222,9.169642857000001,1.611111111,1.888888889,2
104602006,174.88888889999996,2.361111111,4.722222222,28.05555556,3.666666667,0.445238095,4.722222222,5.660119047999999,1.166666667,1.5,2
104602007,594.3888889,4.927777778,16.33333333,108.8888889,7.277777778,0.6873038779999999,11.72222222,15.13124834,1.388888889,1.666666667,3
104602008,163.72222219999998,4.6111111110000005,4.6111111110000005,16.55555556,1.5555555559999998,0.159061939,2.888888889,3.018364198,0.944444444,1.0,2
104602009,120.1666667,6.8611111110000005,9.055555556,2.0,0.111111111,0.037037037,0.111111111,1.5,1.0555555559999998,1.166666667,2
104602010,414.5,6.805555556,8.888888889,166.5555556,11.88888889,0.6154645870000001,13.77777778,8.913807667,1.0,1.0555555559999998,2
104602011,300.0,7.233333332999999,13.11111111,33.77777778,5.166666667,0.7871252209999999,7.0,7.503990299999999,1.0555555559999998,1.111111111,2
104602012,457.61111110000013,8.004629629,15.66666667,81.77777778,10.27777778,1.059569463,14.55555556,11.9091671,1.388888889,1.777777778,3
104602013,225.2222222,3.75,5.5,42.22222222,6.944444444,2.689285714,9.333333332999999,14.01312831,1.0555555559999998,1.111111111,2
104602014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.166666667,1
104602016,24.44444444,0.0,0.0,4.6111111110000005,0.388888889,0.194444444,0.5555555560000001,2.535353535,0.5555555560000001,0.611111111,0
104602017,179.5,9.055555556,16.77777778,13.72222222,1.0,0.272486772,1.111111111,6.0806878310000005,0.7222222220000001,0.944444444,1
104602018,292.1666667,6.092592592999999,11.94444444,36.05555556,5.5,1.139351852,7.277777778,11.81666667,0.944444444,1.166666667,1
104602019,377.7222222,9.101851852000001,14.44444444,62.72222222,17.72222222,2.720216049,20.61111111,14.3219687,0.944444444,1.0,3
104602020,149.5,10.63888889,12.16666667,2.333333333,0.7777777779999999,0.7777777779999999,0.833333333,4.5,0.7222222220000001,0.7222222220000001,2
