username,final_score
Y1050160,3
Y1050161,4
Y1050162,3
Y1050163,0
Y1050164,0
Y1050165,0
Y1050166,2
Y1050167,3
Y1050168,1
Y1050169,0
Y1050170,1
Y1050171,1
Y1050172,1
Y1050173,7
Y1050174,8
Y1050175,3
Y1050176,9
Y1050177,2
Y1050178,2
Y1050179,9
Y1050180,4
Y1050181,2
Y1050182,9
Y1050183,1
Y1050184,1
Y1050185,9
Y1050186,8
Y1050187,2
Y1050188,4
Y1050189,9
Y1050190,9
Y1050191,4
Y1050192,7
Y1050193,2
Y1050194,2
Y1050195,4
Y1050196,1
Y1050197,8
Y1050198,2
Y1050199,3
Y1050200,3
Y1050201,6
Y1050202,7
Y1050203,1
Y1050204,9
Y1050205,8
Y1050206,7
Y1050207,4
Y1050208,7
Y1050209,8
Y1050210,2
Y1050211,4
Y1050212,2
Y1050213,1
Y1050214,2
Y1050215,2
Y1050216,1
Y1050217,1
Y1050218,1
Y1050219,2
Y1050220,3
Y1050221,8
Y1050222,5
Y1050223,2
Y1050224,6
Y1050225,7
Y1050226,4
Y1050227,1
Y1050228,6
Y1050229,9
Y1050230,0
Y1050231,1
Y1050232,1
Y1050233,1
Y1050234,1
Y1050235,1
Y1050236,2
Y1050237,0
Y1050238,4
Y1050239,1
Y1050240,1
Y1050241,2
Y1050242,2
Y1050243,1
Y1050244,1
Y1050245,1
Y1050246,3
Y1050247,3
Y1050248,3
Y1050249,3
Y1050250,1
Y1050251,0
Y1050252,1
Y1050253,1
Y1050254,2
Y1050255,4
Y1050256,3
Y1050257,4
Y1050258,1
Y1050259,8
Y1050260,5
Y1050261,8
Y1050262,5
Y1050263,4
Y1050264,4
Y1050265,2
Y1050266,4
Y1050267,3
Y1050268,6
Y1050269,1
Y1050270,4
Y1050271,0
Y1050272,0
Y1050273,4
Y9999986,5
Y9999987,2
Y9999988,3
Y9999989,5
Y9999990,6
Y9999991,3
Y9999992,3
Y9999993,4
Y9999994,2
Y9999995,5
Y9999996,5
Y9999997,5
Y9999998,4
Y9999999,7
