evaluation_num,acc,precision,recall,f1_score
5,0.8125,0.8078176398026317,0.8125,0.8081227878166916
6,0.8203125,0.8178037801659126,0.8203125,0.8156722596509183
7,0.8359375,0.8320436507936508,0.8359375,0.8308330278592375
8,0.828125,0.8231126559251559,0.828125,0.822816312437434
9,0.8828125,0.8802645095017976,0.8828125,0.8800483874975153
10,0.859375,0.8549330701078582,0.859375,0.8558581881619671
11,0.8515625,0.8481701542867701,0.8515625,0.8496121322060534
12,0.8515625,0.8483016304347826,0.8515625,0.8481439175743611
13,0.859375,0.8541363856589147,0.859375,0.8554797660589659
14,0.796875,0.7892796846315238,0.796875,0.7916653220022949
15,0.8203125,0.8098011363636364,0.8203125,0.813234750689791
16,0.8359375,0.8355670783469294,0.8359375,0.8279573651749856
17,0.875,0.876695874785065,0.875,0.872401962396922
18,0.890625,0.8910491581234008,0.890625,0.8853801444729938
19,0.8515625,0.846100162876026,0.8515625,0.8473123778536605
20,0.8125,0.8033394607843137,0.8125,0.8069729528945631
21,0.84375,0.8421963276836159,0.84375,0.8428496346843121
22,0.8671875,0.8571983330727859,0.8671875,0.8581983728811752
23,0.828125,0.8213573123382225,0.828125,0.8185311624649858
24,0.828125,0.8238214604023427,0.828125,0.8219499336455232
25,0.8203125,0.8127664208380819,0.8203125,0.8108386853684391
26,0.8515625,0.8468984962406015,0.8515625,0.8446470386772014
27,0.84375,0.8293491054613936,0.84375,0.8319480201452817
28,0.8046875,0.7907279649147795,0.8046875,0.7950791331576267
29,0.8359375,0.8341278248587571,0.8359375,0.8323446249631594
30,0.8515625,0.8448794676347658,0.8515625,0.8440418601651186
31,0.84375,0.8440552147647433,0.84375,0.8390910104862017
32,0.8125,0.8021622474747475,0.8125,0.8038691620219104
33,0.828125,0.823108964330413,0.828125,0.8194612912836228
34,0.8203125,0.8166317951474201,0.8203125,0.816317260932721
35,0.796875,0.7861570847851335,0.796875,0.7899426762157744
36,0.8125,0.809780895334174,0.8125,0.8099463923500434
37,0.8359375,0.8269965277777777,0.8359375,0.8286956811516929
38,0.828125,0.8209022763443643,0.828125,0.8231925026308441
39,0.828125,0.8243447580645161,0.828125,0.8234375
40,0.828125,0.8179450757575757,0.828125,0.8219223578594406
41,0.84375,0.8442073383605642,0.84375,0.8388614937451468
42,0.8359375,0.8313226744186046,0.8359375,0.832358504842615
43,0.8359375,0.8278261612021859,0.8359375,0.8306853991596638
44,0.859375,0.8508713539015134,0.859375,0.8525605261956918
45,0.84375,0.8469798817696416,0.84375,0.8374747082627518
46,0.84375,0.8400246688958826,0.84375,0.8407810586186388
47,0.8359375,0.836764341421904,0.8359375,0.8340320270007769
48,0.84375,0.8444017364479747,0.84375,0.8382664932147441
49,0.8203125,0.8112757576752946,0.8203125,0.8138323278029159
50,0.828125,0.8243279569892473,0.828125,0.8229020952893353
51,0.859375,0.8656056426635694,0.859375,0.8535512370336962
52,0.8359375,0.8379612414187643,0.8359375,0.8266460561497326
53,0.828125,0.8308796759307997,0.828125,0.8271622474747474
54,0.8046875,0.8023129343191061,0.8046875,0.7906053046218487
55,0.8359375,0.8272251863143631,0.8359375,0.828871788808125
56,0.8828125,0.883996212121212,0.8828125,0.8801342339261287
57,0.84375,0.8368696231381613,0.84375,0.8396783873270182
58,0.828125,0.8249967174369747,0.828125,0.8232776070012766
