evaluation_num,acc,precision,recall,f1_score
1,0.828125,0.8262073863636363,0.828125,0.8268282253987409
2,0.8203125,0.8236972402597402,0.8203125,0.8181802123985414
3,0.84375,0.8417376893939393,0.84375,0.8410772581916665
4,0.8359375,0.8328835227272727,0.8359375,0.8338398520084566
5,0.84375,0.8406445085656213,0.84375,0.8394022812561722
6,0.828125,0.8226698232667067,0.828125,0.8242631143366437
7,0.8203125,0.8125,0.8203125,0.8157058979674385
8,0.84375,0.8366879480286739,0.84375,0.8372844183405069
9,0.8359375,0.8283623131629702,0.8359375,0.8298398905016552
10,0.84375,0.8444451214108472,0.84375,0.8427256944444445
11,0.8671875,0.8667372973050955,0.8671875,0.8647673489458478
12,0.7890625,0.7783281309569196,0.7890625,0.7818408613445378
13,0.8125,0.8078649333891423,0.8125,0.8088594358283043
14,0.8046875,0.8015360941142191,0.8046875,0.799679183709539
15,0.875,0.8688498694932518,0.875,0.8678826297432765
16,0.8828125,0.8829985119047619,0.8828125,0.8823004943502825
17,0.8515625,0.8498161764705882,0.8515625,0.8479248301985371
18,0.8359375,0.8306253115653041,0.8359375,0.8328052156177156
19,0.828125,0.825686553030303,0.828125,0.8243046659440284
20,0.8671875,0.8635416666666667,0.8671875,0.8639162561576355
21,0.859375,0.8573175031935277,0.859375,0.8575099333211544
22,0.84375,0.8365980910267472,0.84375,0.8339592086834733
23,0.8515625,0.8430432656482861,0.8515625,0.8448290841092626
24,0.8671875,0.8613399621212121,0.8671875,0.8627704841615974
25,0.8203125,0.8151041666666666,0.8203125,0.8164639778325123
26,0.8359375,0.8363222450219272,0.8359375,0.8349295788524937
27,0.828125,0.8199707220286488,0.828125,0.822527091838428
28,0.8203125,0.8160833676735825,0.8203125,0.817960365989097
29,0.8671875,0.8642844945355191,0.8671875,0.8641675420168067
30,0.8671875,0.8707679382021488,0.8671875,0.8682056791371755
31,0.8203125,0.8152837527849438,0.8203125,0.8153399900284628
32,0.828125,0.821110620847176,0.828125,0.8194923784872015
33,0.859375,0.8557070926196565,0.859375,0.8532010067783093
34,0.8359375,0.8313210227272727,0.8359375,0.8321486867630951
35,0.8671875,0.8640736735016397,0.8671875,0.864139244480324
36,0.8359375,0.8323863636363636,0.8359375,0.8338493132978344
37,0.84375,0.8460869055068836,0.84375,0.8374537155260471
38,0.8515625,0.846276623242349,0.8515625,0.8465912406629319
39,0.8203125,0.8201593592218591,0.8203125,0.8174370626222086
40,0.8203125,0.8212611607142857,0.8203125,0.818273253698763
41,0.8046875,0.8113670183982683,0.8046875,0.8026464462956397
42,0.7890625,0.7847146739130435,0.7890625,0.7853411709258484
43,0.828125,0.8222384482248184,0.828125,0.8206774466286197
44,0.8203125,0.824043204238217,0.8203125,0.8171413975279108
45,0.8515625,0.8486475573461091,0.8515625,0.8473089077621961
46,0.875,0.8743489583333333,0.875,0.8743863683340223
47,0.8203125,0.8097064393939393,0.8203125,0.8139071125226827
48,0.8515625,0.8522233317669172,0.8515625,0.8489130434782609
49,0.859375,0.8586531432748538,0.859375,0.855949047535056
50,0.765625,0.7568800403225806,0.765625,0.7603802891722099
51,0.8515625,0.8466145833333333,0.8515625,0.8485410246533128
52,0.8125,0.807608831467413,0.8125,0.8093348614089667
53,0.8515625,0.8468487795575896,0.8515625,0.8476721308582721
54,0.859375,0.8627551760835913,0.859375,0.8531949934123848
55,0.828125,0.8253202639751553,0.828125,0.8253314393939395
56,0.7890625,0.7843848347757671,0.7890625,0.7857243122048311
57,0.859375,0.8557054924242424,0.859375,0.8549264633425305
58,0.8515625,0.8470028520849725,0.8515625,0.848175252328964
59,0.828125,0.8257015281386961,0.828125,0.8138311341436342
60,0.8359375,0.8290729736662107,0.8359375,0.8303050129913291
61,0.84375,0.8344787750626566,0.84375,0.8353158452274755
62,0.828125,0.827051575203252,0.828125,0.8273314862786302
63,0.8046875,0.799905303030303,0.8046875,0.8020076232557587
64,0.8515625,0.8500000000000001,0.8515625,0.8504237132652728
65,0.8046875,0.804155501261034,0.8046875,0.8031390357867285
66,0.84375,0.8380296610169491,0.84375,0.8395051447748889
67,0.8203125,0.816139777131783,0.8203125,0.8169578318615582
68,0.8515625,0.8453697772960189,0.8515625,0.8480403583344759
69,0.8046875,0.8048012318029115,0.8046875,0.7914388543338684
70,0.828125,0.8284254807692307,0.828125,0.8249615147783251
71,0.84375,0.842375858000858,0.84375,0.8413226409666283
