username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,3,100.5,279.5,1,22.5,22.5,1,15.5,15.5,5,4,1,0.791666667,11.0308595,6.5,1,0.25,5,1,0,0,1.5,0.375,0.5,0.125,8,1.958333334,0.5,0.125,0,0,9.5,2.333333334,1,0.25,10.5,2.583333334,13.5,3.083333334,0,0,15.5,3.583333334,39.5,9.25,3,3,1.5,3,8.49,8.5,80
Y1050275,4,221.6666667,977,2,23.33333334,37,3,45.4,173,21,17.5,3.5,0.801470588,12.4373535,4.5,13.5,0.636029412,19.5,0.908088236,1.5,0.044117647,16,0.805147059,43,1.551470588,52.5,1.6875,21.5,0.632352941,0,0,68.5,2.492647059,64.5,2.18382353,133,4.676470588,90,3.125,1.5,0.044117647,154,5.676470588,378.5,13.52205883,1.5,1.5,0.5,1.5,5,7.5,20
Y1050276,2,254,672,1,79,79,1,15.5,31,8,4.5,3.5,0.28125,1.649750103,3,1,0.0625,8,0.5,0,0,0.5,0.03125,1.5,0.09375,12.5,0.78125,4,0.25,0,0,13,0.8125,5.5,0.34375,18.5,1.15625,24.5,1.53125,0,0,26.5,1.65625,69.5,4.34375,3,3,2,3,5.84375,5,40
Y1050277,1.5,358.6666667,1076,1.5,20.83333334,62.5,1.5,58.16666665,174.5,12,12,0,0.5,6.115136335,2.5,8,0.333333334,12,0.5,2,0.083333334,12,0.5,27.5,1.145833334,89,3.708333334,20.5,0.854166667,0,0,101,4.208333334,48,2,149,6.208333335,119.5,4.979166666,2,0.083333334,161,6.708333335,431.5,17.97916667,0,0,0,0,0,3,10
Y1050278,3,121.5,387,2,26.16666667,48.5,2,6.333333334,15,7,6,1,0.9,10.06067677,6,1,0.1,5,0.65,2.5,0.4,2.5,0.25,2,0.2,1,0.1,1,0.1,0,0,3.5,0.35,3,0.3,6.5,0.65,6.5,0.8,2.5,0.4,13.5,1.65,29,3.5,3,3,2,3,7.51125,6,54
Y1050279,5,520.375,2602,5,37.45833334,179,4,54.73333334,233,18,14,4,0.753246753,7.473971701,2,10.5,0.581168831,17.5,0.964285715,1.5,0.081168831,18,0.883116883,25,1.331168831,117,5.980519481,32,1.753246754,0,0,135,6.863636364,57,3.084415585,192,9.948051947,163,8.525974027,1.5,0.081168831,210,10.94805195,566.5,29.50324675,3,3,2.5,3,9.21875,7,70
Y1050280,3,45.66666667,137,0,0,0,1.5,11.5,19,4,3.5,0.5,0.916666667,3.72802669,2.5,0.5,0.083333334,3,0.833333333,2,0.666666667,0,0,0.5,0.083333334,9.5,2.416666667,3,0.5,0,0,9.5,2.416666667,3.5,0.583333334,13,3,14.5,3.25,2,0.666666667,17,4,46.5,10.91666667,1,1,1,1,0.875,3,10
Y1050281,1,129,129,0.5,4,4,0.5,20,20,1.5,0.5,1,0.166666667,6.1060995,0.5,1.5,0.5,1.5,0.5,0.5,0.166666667,1.5,0.5,2,0.666666667,12.5,4.166666666,1,0.333333334,0,0,14,4.666666666,3,1,17,5.666666665,14.5,4.833333334,0.5,0.166666667,18.5,6.166666665,50.5,16.83333334,0,0,0,0,0,3,10
Y1050282,2.5,216.6666667,524.5,2,13.75,27.5,2.5,33.41666667,82,6,4.5,1.5,0.625,7.377665659,2,3,0.5,5,0.8125,2,0.3125,10.5,2.5,5,0.6875,16.5,2.5625,2.5,0.375,0,0,27,5.0625,7.5,1.0625,34.5,6.125,22,3.4375,2,0.3125,40.5,7.125,99,17,0,0,0,0,0,6,10
Y1050283,2,184.5,369,1,19.25,38.5,1,17.25,34.5,5,1,4,0.1,3.598712785,1,2,0.2,5,0.5,0.5,0.05,7.5,0.75,11,1.1,4.5,0.45,1,0.1,0,0,12,1.2,12,1.2,24,2.4,10,1,0.5,0.05,29,2.9,63.5,6.35,0.5,0.5,0.5,0.5,0.75,3,20
Y1050284,3,105,315,0.5,10.5,10.5,3,7.833333331,23.5,5.5,1,4.5,0.142857143,7.472271495,2,1,0.142857143,5.5,1,0.5,0.071428572,2,0.285714286,3,0.428571429,8,1.196428572,1.5,0.214285715,0,0,10,1.482142857,4.5,0.642857143,14.5,2.125,14.5,2.339285715,0.5,0.071428572,20,3.125,49.5,7.660714285,0,0,0,0,0,7,30
Y1050286,4,247.9333334,1066,2,32.5,65,3.5,47.20833334,180,11.5,10.5,1,0.933333333,6.234316115,2,8,0.620833334,11.5,1,1.5,0.158333334,20,1.479166667,17.5,1.254166667,72,5.441666667,13.5,1.075,1,0.095833333,92,6.920833335,32,2.425,124,9.345833335,96,7.420833335,1.5,0.158333334,136,10.37916667,357.5,27.30416667,2,2,1.5,2,4.58375,9,72
Y1050287,3.5,186.7916667,651.5,1.5,21.5,35.5,3,26.75,86.5,10,8,2,0.846153846,6.94377274,2,6,0.560439561,9,0.89010989,3.5,0.335164836,10,0.835164836,11.5,1.016483517,29,2.923076923,4,0.34065934,2,0.153846154,39,3.758241759,17.5,1.510989011,56.5,5.269230769,40,4,4,0.373626374,67,6.34065934,167.5,15.98351649,0,0,0,0,0,9,50
Y1050289,4.5,620.9,2737,2.5,35.16666667,83.5,4,163.9,603.5,24.5,20,4.5,0.819166667,6.562516604,1,24,0.979166667,24,0.98,7.5,0.309166667,86.5,3.525833334,214.5,8.745,176,7.173333334,70.5,2.876666667,2,0.083333334,262.5,10.69916667,287,11.705,549.5,22.40416667,263,10.72333334,7.5,0.309166667,574,23.40416667,1394,56.84083334,0,0,0,0,2.25,6,60
Y1050291,1,245.5,491,0.5,56.5,56.5,0.5,16.5,16.5,5,4,1,0.4,3.033438255,2,1.5,0.15,4,0.4,1,0.1,4.5,0.45,1.5,0.15,1.5,0.15,1.5,0.15,0,0,6,0.6,3,0.3,9,0.9,6,0.6,1,0.1,14,1.4,30,3,0,0,0,0,0,9,40
Y1050292,5,221.625,1209,3.5,35.5,146,4,19.86666667,92,9,3.5,5.5,0.4125,11.22911316,1,5,0.525,8,0.8875,0.5,0.0625,49.5,4.95,10.5,1.075,12,1.3,3,0.3375,0,0,61.5,6.25,13.5,1.4125,75,7.6625,22.5,2.475,0.5,0.0625,84,8.6625,182,18.8625,3,3,2.5,3,7.83375,6,50
Y1050293,3.5,285.125,955,3,29.75,78,3,42,101.5,13.5,13,0.5,0.964285715,12.82498378,1.5,3,0.225274726,13.5,1,4.5,0.332417583,2,0.145604395,4,0.293956044,69,5.217032967,4,0.302197803,0.5,0.038461539,71,5.362637363,8.5,0.634615385,79.5,5.997252747,82,6.186813187,5,0.370879121,93,6.997252747,259.5,19.5521978,3,3,1,3,7.8225,10,80
Y1050294,3,212.125,625,2.5,22.25,57,2.5,16.91666667,40.5,10,9.5,0.5,0.961538462,10.37414365,4.5,3,0.362637363,8.5,0.851648352,3,0.296703297,3,0.395604396,6,0.725274725,9.5,1.093406593,7,0.703296703,1.5,0.181318682,12.5,1.489010989,14.5,1.60989011,27,3.098901099,23.5,2.5,3.5,0.368131869,37,4.098901099,91,10.06593407,0,0,0,0,0,7,40
Y1050295,2,286.625,1146.5,2,33.25,133,1.5,15,45,11,4.5,6.5,0.204545455,5.83484871,2,9,0.409090909,6.5,0.295454546,2,0.090909091,9.5,0.431818182,4,0.181818182,6,0.272727273,7.5,0.340909091,0,0,15.5,0.704545455,11.5,0.522727273,27,1.227272728,16.5,0.75,2,0.090909091,38,1.727272728,83.5,3.795454546,0.5,0.5,0.5,0.5,1,5,30
Y1050296,1.5,31,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0.5,1.5,3.75,4,20
Y1050297,1.5,11,16.5,0,0,0,0.5,0.5,0.5,0.5,0,0.5,0,6.971277085,1.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,1,0,0,0,0,0,1,10
Y1050298,1,293.5,293.5,1,28.5,28.5,1,21.5,21.5,4,2.5,1.5,0.625,7.587434859,6,2,0.5,4,1,0.5,0.125,6.5,1.625,2,0.5,6,1.5,1.5,0.375,0,0,12.5,3.125,3.5,0.875,16,4,11,2.75,0.5,0.125,20,5,47.5,11.875,0,0,0,0,0,6,10
Y1050299,1,187.75,375.5,0.5,34,34,0.5,43,43,3,2,1,0.333333334,5.66056063,2,2.5,0.416666667,2.5,0.416666667,0,0,15,2.5,8.5,1.416666667,6,1,1.5,0.25,0,0,21,3.5,10,1.666666667,31,5.166666665,9.5,1.583333334,0,0,34,5.666666665,74.5,12.41666667,0,0,0,0,0,2,10
Y1050300,2.5,171.5,411,1,51.5,51.5,1,16.5,16.5,1.5,1,0.5,0.5,6.943978477,4,1.5,1,1.5,1,0.5,0.25,9.5,5,2,1.25,1,0.5,1,0.5,0,0,10.5,5.5,3,1.75,13.5,7.25,3,1.75,0.5,0.25,15,8.25,32,17.5,0,0,0,0,0,6,10
Y1050301,2,351.6666667,800,2,29.16666667,71.5,2,39,91,8.5,8,0.5,0.961538462,13.20463147,3.5,5,0.644230769,6.5,0.846153846,1,0.076923077,53.5,4.894230769,8,0.788461538,8,1.048076923,3.5,0.528846154,0,0,61.5,5.942307693,11.5,1.317307693,73,7.259615385,17,2.346153846,1,0.076923077,81.5,8.259615385,172.5,17.94230769,1.5,1.5,0.5,1.5,3.75,0,10
Y1050302,4,251.0333334,842.5,3.5,24,78,3,23.5,70.5,14,9,5,0.611111111,11.18540582,2,5,0.322222222,12,0.844444445,1,0.1,10.5,0.672222222,14.5,0.827777778,19,1.144444445,5,0.3,0.5,0.05,29.5,1.816666667,20,1.177777778,49.5,2.994444445,36,2.288888889,1,0.1,63.5,3.994444445,150,9.37777778,1.5,1.5,1,1.5,6.125,0,10
Y1050303,3,301.3333334,904,1.5,44.75,57.5,2.5,58.16666665,168,7.5,5.5,2,0.7,5.010304165,3,7,0.9,6.5,0.9,1,0.1,92,9.55,23.5,2.6,25,2.85,3.5,0.4,1,0.1,117,12.4,28,3.1,145,15.5,33.5,4,1,0.1,152.5,16.5,332,36.1,1.5,1.5,0.5,1.5,4.70875,7,20
Y1050304,2,275.6666667,693,1.5,37.5,68.5,2,26,65,9.5,5.5,4,0.479166667,11.4412412,1.5,2.5,0.15625,9.5,1,2,0.125,19,1.1875,6,0.375,19.5,2.4375,5.5,0.479166667,0,0,38.5,3.625,11.5,0.854166667,50,4.479166666,32.5,3.791666667,2,0.125,59.5,5.479166666,144,13.875,0,0,0,0,0,3,10
Y1050305,5,223.6,1118,3.5,31.5,102,4,18.375,73.5,15,9,6,0.523809524,13.78161281,1.5,6.5,0.404761905,14.5,0.976190476,3.5,0.198412699,8.5,0.626984127,8.5,0.5,29.5,1.753968254,6,0.444444445,0.5,0.023809524,38,2.380952381,15,0.968253968,53,3.349206349,47,3,3.5,0.198412699,68,4.34920635,171.5,10.8968254,1.5,1.5,0.5,1.5,5.375,7,20
Y1050306,3.5,172.3333333,711.5,2.5,22,74.5,1.5,11.5,17.5,3,0.5,2.5,0.1,6.544039821,3,2,0.8,2,0.4,0,0,5,2.6,0,0,3,0.6,0,0,0,0,8,3.2,0,0,8,3.2,4.5,0.9,0,0,11,4.2,23.5,8.3,3,3,2.5,3,6.21875,0,10
Y1050307,1.5,189,353.5,1,18.5,37,1.5,13.25,23.5,5,3,2,0.523809524,7.281839248,2,2,0.380952381,4,0.761904762,0.5,0.071428572,8.5,1.404761905,1,0.142857143,6,0.857142857,0,0,0,0,14.5,2.261904762,1,0.142857143,15.5,2.404761905,10,1.619047619,0.5,0.071428572,20.5,3.404761905,46.5,7.5,1.5,1.5,0.5,1.5,3.54125,0,10
Y1050308,4.5,275.575,1332,3.5,20.79166667,78.5,3.5,72.29166667,281.5,12,8,4,0.568421053,8.151434447,2,7.5,0.615789474,12,1,0.5,0.02631579,89.5,5.22631579,54,3.136842106,83,5.105263158,18,1.610526316,0,0,172.5,10.33157895,72,4.747368421,244.5,15.07894737,112,7.663157895,0.5,0.02631579,256.5,16.07894737,613.5,38.84736842,1.5,1.5,0.5,1.5,4.21875,0,10
Y1050310,2,162.8333333,306.5,2,15.5,29.5,1.5,10.5,15.5,5.5,3.5,2,0.660714286,6.772849938,1,2,0.339285715,4.5,0.803571429,1,0.196428571,0,0,3.5,0.660714286,3,0.482142857,1.5,0.321428572,0,0,3,0.482142857,5,0.982142857,8,1.464285715,8.5,1.535714286,1,0.196428571,13.5,2.464285715,31,5.660714285,0,0,0,0,0,5,10
Y1050311,5,502.8333334,2438,4.5,35.825,158,4.5,60.25,273.5,24.5,12,12.5,0.486531987,1.245835377,1,22,0.907407408,20.5,0.835016835,2,0.078282828,90,3.77946128,37.5,1.531986532,79,3.388888889,19.5,0.827441078,0.5,0.022727273,169,7.168350169,57.5,2.382154882,226.5,9.550505053,109,4.634680135,2,0.078282828,251,10.55050505,588.5,24.81397307,0.5,0.5,0.5,0.5,0.6875,4,20
Y1050312,1,104.75,209.5,0.5,13,13,0.5,16,16,5,1,4,0.1,5.302533665,3.5,4,0.4,4.5,0.45,0,0,4.5,0.45,0.5,0.05,4.5,0.45,0,0,0,0,9,0.9,0.5,0.05,9.5,0.95,6,0.6,0,0,14.5,1.45,30,3,0,0,0,0,0,5,10
Y1050313,1,133,133,0.5,2.5,2.5,1,14,14,2.5,1,1.5,0.333333334,7.443598702,4,1,0.416666667,2.5,1,0,0,1.5,0.75,1.5,0.5,2.5,1.083333334,0,0,0,0,4,1.833333334,1.5,0.5,5.5,2.333333334,5,2.083333334,0,0,8,3.333333334,18.5,7.75,1.5,1.5,1,1.5,3.5,4,30
Y1050314,2,851.25,1702.5,1.5,135.25,190,2,64,128,20,15,5,0.757575758,10.53348677,2,12,0.621212121,16.5,0.815656566,4.5,0.224747475,22.5,1.194444445,16,0.833333333,29,1.368686869,9.5,0.477272728,1,0.045454546,51.5,2.563131313,26.5,1.356060606,78,3.919191919,52,2.505050506,4.5,0.224747475,98,4.919191919,232.5,11.56818182,2.5,2.5,2,2.5,3.875,3.5,30
Y1050315,3,887.125,2473.5,2.5,47.16666667,125,3,212,547.5,22,17,5,0.7875,11.41941814,2,20,0.9125,22,1,1,0.05,213.5,9.8375,72,3.404166666,162,7.554166667,21.5,0.995833333,0.5,0.025,375.5,17.39166667,94,4.425,469.5,21.81666667,202,9.391666666,1,0.05,491.5,22.81666667,1164,54.075,1.5,1.5,1,1.5,4.14625,6,20
Y1050316,3.5,491.1666667,1614.5,2,102.75,205.5,2.5,28.5,74,12.5,12.5,0,1,11.22889881,1,3.5,0.272435898,11.5,0.919871795,3.5,0.275641026,6,0.461538462,12.5,0.983974359,32,2.544871795,4,0.310897436,1,0.076923077,38,3.006410256,17.5,1.371794872,55.5,4.378205128,46,3.657051282,3.5,0.275641026,68,5.378205128,173,13.68910256,2,2,1,2,2.25,3,10
Y1050317,3.5,506.8333334,1704,3.5,40.20833334,137.5,3.5,45.54166667,152,20.5,13.5,7,0.656698565,6.123030461,2,8.5,0.411483254,20.5,1,1,0.049043062,11,0.535885167,28,1.373205742,66.5,3.177033493,16,0.766746412,0.5,0.022727273,77.5,3.71291866,44.5,2.162679426,122,5.875598086,101.5,4.868421053,1,0.049043062,142.5,6.875598086,367,17.66866029,3,3,1.5,3,6.125,6,55
Y1050318,5,344.6,1723,3.5,28.25,88.5,4,62,222,19.5,18,1.5,0.916666667,7.632430396,1,16,0.813492063,19.5,1,5.5,0.26984127,15,0.761904762,79.5,4.067460317,73,3.690476191,22,1.107142857,1,0.047619048,88,4.452380953,102.5,5.222222223,190.5,9.674603172,109,5.527777778,5.5,0.26984127,210,10.67460317,515,26.1468254,3,3,2.5,3,5,7,40
Y1050319,1.5,825.75,947.5,1.5,66.5,77.5,1.5,95.5,103,17,13,4,0.84,10.52417504,4.5,7.5,0.406666667,15.5,0.94,2.5,0.135555556,40,1.742222222,5,0.306666666,22,1.2,7,0.422222222,0.5,0.02,62,2.942222222,12.5,0.748888889,74.5,3.691111111,42,2.426666667,2.5,0.135555556,91.5,4.691111111,210.5,10.94444444,0,0,0,0,2.25,7,76
Y1050320,4.5,173.2142857,460,1,42,42,1,52,52,8.5,7,1.5,0.825757576,9.652623182,3.5,4,0.477272728,8,0.916666667,1.5,0.174242425,26.5,2.712121212,6,0.696969697,4,0.401515152,0.5,0.045454546,0.5,0.045454546,30.5,3.113636364,7,0.787878788,37.5,3.901515152,11,1.189393939,1.5,0.174242425,46,4.901515152,96,10.16666667,0,0,0,0,0,6,10
Y1050321,0.5,134,134,0.5,14.5,14.5,0.5,7,7,2.5,1.5,1,0.3,6.885432615,0.5,0.5,0.1,2.5,0.5,0,0,2.5,0.5,0,0,0.5,0.1,0,0,0,0,3,0.6,0,0,3,0.6,3,0.6,0,0,5.5,1.1,11.5,2.3,0,0,0,0,0,6,20
Y1050322,6,177.1571429,1057.5,2.5,6,30,5.5,35.46428572,169.5,16.5,12.5,4,0.766666667,13.11937513,1,8,0.483333334,16,0.972222222,4.5,0.266666667,6,0.355555555,26,1.555555556,98.5,6.294444445,16.5,1.011111111,0,0,104.5,6.649999998,42.5,2.566666667,147,9.216666667,126.5,8.005555554,4.5,0.266666667,163.5,10.21666667,441.5,27.70555556,3,3,2.5,3,9.125,10,99
Y1050323,6.5,282.0476191,1835,5.5,26.26785715,140,6.5,33.83333334,223.5,19.5,17.5,2,0.896825397,13.4275035,1,12.5,0.642857143,19,0.976190476,2.5,0.126984127,22,1.107142857,90,4.551587302,52.5,2.603174603,15.5,0.78968254,0.5,0.023809524,74.5,3.710317461,106,5.365079365,180.5,9.075396826,84.5,4.238095238,2.5,0.126984127,200,10.07539683,467.5,23.51587302,3,3,3,3,9.34375,10,88
Y1050324,2.5,500.4166667,1184.5,1.5,41.25,46,2,132.75,265.5,17.5,11.5,6,0.642857143,9.177678459,3.5,15,0.857142857,17.5,1,0.5,0.023809524,129,7.547619048,58,3.642857143,41,2.440476191,13.5,0.809523809,1,0.047619048,170,9.98809524,72.5,4.5,242.5,14.48809524,71.5,4.214285714,1,0.047619048,260,15.48809524,575,34.23809524,1.5,1.5,1,1.5,5.58375,7,30
Y1050325,4,387.4,1553,2.5,52.08333334,130.5,2.5,50,111,14,8,6,0.511111111,10.59028008,2.5,10.5,0.761111111,13,0.9,2.5,0.138888889,10.5,0.783333333,14,1.066666667,34.5,2.227777778,10.5,0.716666667,1.5,0.083333334,45,3.011111111,26,1.866666667,71,4.877777778,53,3.477777778,2.5,0.138888889,85,5.877777778,211.5,14.37222222,1.5,1.5,1,1.5,4.4275,3.5,20
Y1050326,2,390.5,705.5,2,42.5,78.5,2,29.83333334,51.5,7.5,6,1.5,0.704545455,6.922063893,4,4,0.602272727,7.5,1,1.5,0.215909091,10.5,1.352272728,7.5,1.238636364,8,1.443181818,7.5,1,0.5,0.045454546,18.5,2.795454546,15.5,2.284090909,34,5.079545455,20.5,3.056818182,1.5,0.215909091,41.5,6.079545455,97.5,14.43181818,0,0,0,0,0,5,20
Y1050328,6,376.2857143,2608,3,25.58333334,153.5,3.5,114.6,552,21,19,2,0.951219512,9.582250388,1.5,20.5,0.987804878,20.5,0.987804878,1,0.024390244,326.5,10.8902439,30.5,1.231707317,117,10.17073171,25.5,2.573170732,1,0.024390244,443.5,21.06097561,57,3.829268293,500.5,24.8902439,160.5,13.67073171,1,0.024390244,521.5,25.8902439,1183.5,64.47560976,3,3,1.5,3,10,6.5,71
Y1050329,4,212.2,861,2.5,49.25,115.5,1,21,42,3.5,0.5,3,0.071428572,7.51578948,1,3,0.428571429,1.5,0.214285715,0,0,21,3,9.5,1.357142857,3,0.428571429,1,0.142857143,0,0,24,3.428571429,10.5,1.5,34.5,4.928571429,5,0.714285715,0,0,38,5.42857143,77.5,11.07142857,1.5,1.5,0.5,1.5,3.125,2.5,20
Y1050330,3.5,220.4,901,3,31.125,106.5,3,12.75,43,14,12.5,1.5,0.9375,13.86310371,1.5,3,0.229166666,9.5,0.708333333,3.5,0.25,1.5,0.0625,4,0.479166667,13,1.166666667,1.5,0.166666667,0,0,14.5,1.229166667,5.5,0.645833333,20,1.875,24,2.041666667,3.5,0.25,34,2.875,81.5,7.041666666,0,0,0,0,0,5,10
Y1050331,3,91.33333335,274,2,14,28,1.5,15.5,18,3,0.5,2.5,0.166666667,13.64699042,2,1,0.333333334,2.5,0.833333333,0.5,0.166666667,6.5,2.166666667,2,0.666666667,2,0.666666667,0,0,0,0,8.5,2.833333334,2,0.666666667,10.5,3.5,4.5,1.5,0.5,0.166666667,13.5,4.5,29,9.666666665,0.5,0.5,0.5,0.5,1,3.5,10
Y1050332,3.5,481.7916667,1652.5,2.5,61.91666667,150.5,3,55.83333334,167.5,23,22.5,0.5,0.979166667,14.10175398,2,14.5,0.626893939,20,0.873106061,7,0.303030303,46.5,1.998106061,39,1.696969697,23.5,1.047348485,12,0.526515152,2,0.085227273,70,3.045454546,53,2.308712121,123,5.354166666,51.5,2.267045455,7.5,0.323863637,146,6.354166666,328,14.29924243,3,3,1.5,3,5.90625,6,40
Y1050333,6,53,353,2.5,12.375,36,3,2.8,10,4.5,2,2.5,0.25,7.567281019,2,1.5,0.1875,4,0.9375,0.5,0.0625,0,0,1.5,0.1875,1,0.5625,0.5,0.0625,0,0,1,0.5625,2,0.25,3,0.8125,5.5,1.5625,0.5,0.0625,7.5,1.8125,16.5,4.25,0.5,0.5,0.5,0.5,0,5,10
Y1050334,4.5,141.175,613.5,3,15.5,37,4,21.83333334,78.5,11,7,4,0.59375,10.11684915,1.5,4.5,0.385416667,11,1,2,0.177083334,6,0.583333333,7.5,0.625,34,3.947916667,6.5,0.666666667,0.5,0.03125,40,4.53125,14.5,1.322916666,54.5,5.854166666,48,5.291666666,2,0.177083334,65.5,6.854166666,170,18.17708334,1.5,1.5,1,1.5,3.5,5.5,20
Y1050335,3,301.6666667,905,2,31,62,3,40,120,15,11,4,0.719457013,8.642139536,2,4,0.271493213,14,0.941176471,2.5,0.165158371,16.5,1.12443439,10.5,0.744343892,55.5,3.843891403,16,1.113122172,1,0.076923077,72,4.968325792,27.5,1.93438914,99.5,6.902714932,83.5,5.762443439,3,0.20361991,114.5,7.902714932,300.5,20.77149322,0.5,0.5,0.5,0.5,0,5.5,10
Y1050336,1.5,317,443.5,1,25.5,25.5,1.5,47.75,61,8.5,3.5,5,0.388888889,12.6792554,4,6.5,0.777777778,7.5,0.881944445,0.5,0.055555556,19,2.354166667,7,0.819444445,19,2.194444444,2,0.243055556,0,0,38,4.548611111,9,1.0625,47,5.611111111,27.5,3.201388889,0.5,0.055555556,55.5,6.611111111,130.5,15.47916667,0.5,0.5,0.5,0.5,0,8,50
Y1050337,0.5,91,91,0.5,2.5,2.5,0.5,14,14,2.5,1,1.5,0.2,7.396955815,3.5,1,0.2,2.5,0.5,0.5,0.1,0,0,5,1,5.5,1.1,0.5,0.1,0,0,5.5,1.1,5.5,1.1,11,2.2,8,1.6,0.5,0.1,13.5,2.7,33,6.6,0.5,0.5,0.5,0.5,1,5.5,10
Y1050338,2.5,109.875,388.5,1.5,8.5,25.5,1.5,18,54,4,3.5,0.5,0.4375,4.338001638,1.5,2.5,0.3125,3.5,0.4375,1.5,0.1875,18.5,2.3125,11.5,1.4375,11.5,1.4375,2,0.25,0,0,30,3.75,13.5,1.6875,43.5,5.4375,16,2,1.5,0.1875,47.5,5.9375,108.5,13.5625,0,0,0,0,0,5,10
Y1050339,1,94.25,188.5,0.5,16,16,1,7.5,15,3.5,3,0.5,0.428571429,5.390679475,0.5,1,0.142857143,3.5,0.5,0,0,1,0.142857143,0.5,0.071428572,9.5,1.357142857,0.5,0.071428572,0,0,10.5,1.5,1,0.142857143,11.5,1.642857143,13.5,1.928571429,0,0,15,2.142857143,40,5.714285715,0.5,0.5,0.5,0.5,3.28125,8,20
Y1050340,3,94.5,286.5,2,11.5,23,2.5,13.08333334,35.5,5,4.5,0.5,0.875,14.25625917,2.5,1.5,0.25,5,1,0.5,0.125,0.5,0.083333334,4,0.666666667,18,3.333333334,4,0.75,0,0,18.5,3.416666667,8,1.416666667,26.5,4.833333334,26.5,4.958333334,0.5,0.125,31.5,5.833333334,85,15.75,0,0,0,0,0,5,10
Y1050341,3.5,523.2083334,1871.5,3.5,50.54166667,177,3.5,46.33333334,174,21.5,19.5,2,0.905701755,17.95768464,3,10.5,0.464912281,21.5,1,0,0,54,2.29385965,22.5,1.019736842,33,1.440789474,22,0.938596492,0,0,87,3.734649123,44.5,1.958333334,131.5,5.692982456,75.5,3.337719298,0,0,153,6.692982455,360,15.72368421,0,0,0,0,1.83375,3,20
Y1050342,2.5,155.6666667,406,1.5,13.5,23,2.5,17.66666667,45.5,7.5,6,1.5,0.803571429,14.1680397,2.5,2,0.276785715,7.5,1,0.5,0.071428572,4,0.5625,5,0.714285715,21.5,2.946428572,3.5,0.464285715,0,0,25.5,3.508928572,8.5,1.178571429,34,4.6875,32,4.339285715,0.5,0.071428572,41.5,5.6875,108,14.78571429,0,0,0,0,0,7,50
Y1050344,6.5,172.9166667,1120.5,6,16.66666667,100,6.5,13,84,21.5,15,6.5,0.699134199,15.12367614,1,10,0.463203463,18,0.836580087,4,0.189393939,8,0.367965368,1.5,0.071428572,24,1.119047619,25.5,1.186147186,0,0,32,1.487012987,27,1.257575758,59,2.744588745,61.5,2.86038961,4,0.189393939,80.5,3.744588745,205,9.538961039,1.5,1.5,1,1.5,3.75,7,40
Y1050345,1.5,31.5,60,0.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
Y1050346,3.5,91.83333335,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,5.3225,5,50
Y1050347,3,309,927,3,26.5,79.5,3,30.33333334,91,17,14,3,0.813186813,6.919644091,3.5,7.5,0.45970696,15.5,0.913919414,1.5,0.071428572,19,1.271062271,7,0.391941392,26,1.575091575,7.5,0.445054945,1,0.047619048,45,2.846153846,15.5,0.884615385,60.5,3.730769231,46.5,2.785714286,1.5,0.071428572,77.5,4.730769231,186,11.31868132,0,0,0,0,0,7,20
Y1050348,2,222.875,891.5,2,13.25,53,2,40.5,162,10,10,0,0.5,6.321629535,1.5,8,0.4,10,0.5,0.5,0.025,67.5,3.375,34,1.7,31,1.55,10.5,0.525,0,0,98.5,4.925,44.5,2.225,143,7.15,50.5,2.525,0.5,0.025,153,7.65,347,17.35,0,0,0,0,0,5,10
