username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050396,6,299.25,1795.5,5.5,27.86666667,151.5,6,38.75,232.5,23,23,0,1,12.70404908,1,11.5,0.503787879,22.5,0.979166667,3.5,0.153409091,70,3.085227273,42.5,1.839015152,59.5,2.619318182,17,0.748106061,1.5,0.066287879,129.5,5.704545455,61,2.653409091,190.5,8.357954545,96.5,4.238636364,3.5,0.153409091,213.5,9.357954545,504,22.10795455,2,2,1,2,6.125,7,20
Y1050398,0.5,152.5,152.5,0.5,16,16,0.5,8.5,8.5,2.5,2.5,0,0.5,0.749627244,0.5,0.5,0.1,2.5,0.5,0,0,2.5,0.5,0,0,3,0.6,0.5,0.1,0,0,5.5,1.1,0.5,0.1,6,1.2,6,1.2,0,0,8.5,1.7,20.5,4.1,0,0,0,0,0,0,0
Y1050400,5.5,274.4107143,1487,5.5,28.625,150.5,5.5,28.875,160.5,20,18.5,1.5,0.927083334,12.89803846,1,7.5,0.375,19,0.947916667,5.5,0.291666667,44,2.083333334,15,0.75,52,2.552083334,9,0.447916667,2.5,0.125,96,4.635416666,26.5,1.322916666,122.5,5.958333334,77.5,3.8125,5.5,0.291666667,142.5,6.958333334,348,17.02083334,1.5,1.5,0.5,1.5,3.21875,7,20
Y1050401,1,91,182,1,9.5,19,1,2.5,5,2,1,1,0.25,7.645226405,2,0.5,0.125,1,0.25,0.5,0.125,0.5,0.125,0,0,0.5,0.125,0.5,0.125,0,0,1,0.25,0.5,0.125,1.5,0.375,2,0.5,0.5,0.125,3.5,0.875,7.5,1.875,0.5,0.5,0.5,0.5,0,4,10
Y1050403,1,70.75,141.5,1,5,10,1,4.5,9,2,1,1,0.25,5.72327537,2.5,0,0,1.5,0.375,1,0.25,0,0,0,0,4.5,1.125,1.5,0.375,0,0,4.5,1.125,1.5,0.375,6,1.5,7,1.75,1,0.25,8,2,22,5.5,0.5,0.5,0.5,0.5,1.25,5,20
Y1050406,1,657.5,657.5,0.5,103.5,103.5,0.5,8,8,1,0,1,0,6.176060825,0.5,1,0.5,0.5,0.25,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0.5,0,0,1,0.5,1,0.5,0,0,2,1,4,2,0.5,0.5,0.5,0.5,0,2,10
Y1050407,3,471.4,1255,1.5,61.5,98.5,2,51.5,122.5,14.5,13.5,1,0.958333334,9.76909402,5,9,0.691666667,14,0.979166667,4,0.166666667,11.5,0.479166667,14,1.1375,66,4.016666667,10,0.575,1,0.041666667,77.5,4.495833334,25,1.754166667,102.5,6.25,84,5.241666667,4,0.166666667,117,7.25,307.5,18.90833334,0.5,0.5,0.5,0.5,2.40625,1,10
Y1050408,0.5,17.5,17.5,0,0,0,0.5,2,2,1,0,1,0,6.2014452,2,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,1,0.5,2,1,0,0,0,0,0,4,10
Y1050410,1,53.25,106.5,0.5,9.5,9.5,1,2.25,4.5,2,1.5,0.5,0.375,6.410455005,1.5,0,0,1.5,0.375,1,0.25,0,0,0,0,1,0.25,0,0,0,0,1,0.25,0,0,1,0.25,2,0.5,1,0.25,3,0.75,7,1.75,0,0,0,0,0,6,20
Y1050411,1.5,184.6666667,554,1.5,30.66666667,92,0.5,1,1,0.5,0.5,0,0.5,6.630586395,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,1,1,1,0.5,1,0.75,4,10
Y1050412,3,473,1355,2,59.16666667,94.5,2.5,80.5,202,12,7,5,0.557142857,5.189487934,3.5,9,0.757142857,12,1,0.5,0.035714286,80,6.714285715,33,2.685714286,43,3.485714286,15,1.171428572,0.5,0.035714286,123,10.2,48.5,3.892857143,171.5,14.09285715,70,5.657142857,0.5,0.035714286,184,15.12857143,426,34.91428572,1.5,1.5,0.5,1.5,5.875,6,30
Y1050413,3,157.875,596.5,1.5,8.333333335,25,2,18.875,75.5,9.5,6.5,3,0.342105263,6.42109158,0.5,4.5,0.236842106,9,0.473684211,2.5,0.131578948,2.5,0.131578948,20.5,1.078947369,25,1.315789474,8.5,0.447368421,1.5,0.078947368,27.5,1.447368421,30.5,1.605263158,58,3.052631579,42,2.210526316,2.5,0.131578948,67.5,3.552631579,170,8.94736842,3,3,1.5,3,5.59375,5,60
Y1050414,3.5,456.75,1973,3,30.7,127.5,3,81.5,303.5,20,16,4,0.666666667,13.08004976,1,12,0.555555556,18,0.833333333,4,0.222222222,70.5,2.736111111,49.5,2.597222222,106,3.833333334,22.5,0.958333333,1.5,0.263888889,176.5,6.569444445,73.5,3.819444444,250,10.38888889,144,5.555555556,4.5,0.347222222,270,11.38888889,668.5,27.68055556,3,3,2.5,3,7.75,4,53
Y1050415,3.5,239.4166667,1111.5,1,15,15,3.5,41.66666667,242.5,18,13,5,0.852941177,9.463317489,3,13,0.382352941,16.5,0.955882353,1.5,0.044117647,59.5,1.75,27,0.794117647,85.5,2.514705883,19.5,0.573529412,0.5,0.014705883,145,4.264705883,47,1.382352941,192,5.647058825,119,3.970588236,1.5,0.044117647,210,6.647058825,522.5,16.30882353,2,2,1.5,2,6.53125,7,30
Y1050416,5.5,188.8666667,1070.5,3.5,35.875,128.5,3.5,12.45833333,48,9.5,6.5,3,0.721428572,17.35125836,1,3,0.214285715,7,0.692857143,2.5,0.371428572,3.5,0.25,7.5,0.535714286,5,0.485714285,7.5,0.535714286,0.5,0.035714286,8.5,0.735714286,15.5,1.107142857,24,1.842857143,18.5,1.578571428,2.5,0.371428572,33.5,2.842857143,78.5,6.635714285,3,3,2,3,6.6875,5,63
