username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_sum_count,video_num_days,video_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050331,3,75,225,2,19,2,10,3,1,0.333333333,13.33021552,0,0,2,0.666666667,1,0.333333333,0,0,0,2,0.666666667,0,0,0,2,0.666666667,0,0,2,0.666666667,4,1.333333333,1,0.333333333,5,1.666666667,12,4,1,1,1,1,1.6,7,10
Y1050332,3,549.3333333,1648,2,141,3,180,24,23,0.958333333,14.01613967,17,0.708333333,19,0.791666667,8,0.333333333,61,40,1.666666667,11,0.458333333,10,3,0.125,72,3,53,2.208333333,125,5.208333333,39,1.625,9,0.375,149,6.208333333,322,13.41666667,3,3,2,3,5.6,8,40
Y1050333,7,88,616,4,63,5,18,8,4,0.5,13.96054852,3,0.375,7,0.875,1,0.125,0,3,0.375,1,0.125,1,0,0,1,0.125,4,0.5,5,0.625,9,1.125,1,0.125,13,1.625,28,3.5,1,1,1,1,0,10,10
Y1050334,4,184.75,739,2,50,3,92,16,11,0.6875,10.65468363,7,0.4375,16,1,3,0.1875,8,12,0.75,33,2.0625,8,1,0.0625,41,2.5625,21,1.3125,62,3.875,52,3.25,3,0.1875,78,4.875,195,12.1875,3,3,2,3,5.6,7,20
Y1050335,3,271,813,2,54,3,106,17,14,0.823529412,7.674101474,4,0.235294118,15,0.882352941,3,0.176470588,16,7,0.411764706,47,2.764705882,13,0,0,63,3.705882353,20,1.176470588,83,4.882352941,73,4.294117647,3,0.176470588,100,5.882352941,259,15.23529412,1,1,1,1,0,7,10
Y1050336,2,253,506,1,43,2,53,9,7,0.777777778,10.45768072,5,0.555555556,8,0.888888889,1,0.111111111,3,8,0.888888889,26,2.888888889,1,0,0,29,3.222222222,9,1,38,4.222222222,34,3.777777778,1,0.111111111,47,5.222222222,120,13.33333333,1,1,1,1,0,8,50
Y1050337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.6,7,10
Y1050338,4,185.75,743,3,51,3,108,8,7,0.875,8.676003276,5,0.625,7,0.875,3,0.375,37,23,2.875,23,2.875,4,0,0,60,7.5,27,3.375,87,10.875,32,4,3,0.375,95,11.875,217,27.125,0,0,0,0,0,6,10
Y1050339,2,188.5,377,1,32,2,30,7,6,0.857142857,10.78135895,2,0.285714286,7,1,0,0,2,1,0.142857143,19,2.714285714,1,0,0,21,3,2,0.285714286,23,3.285714286,27,3.857142857,0,0,30,4.285714286,80,11.42857143,1,1,1,1,5.25,10,20
Y1050340,2,91.5,183,2,20,2,15,4,3,0.75,14.17565687,0,0,4,1,1,0.25,0,0,0,8,2,2,0,0,8,2,2,0.5,10,2.5,13,3.25,1,0.25,14,3.5,38,9.5,0,0,0,0,0,8,10
Y1050341,3,442.6666667,1328,3,151,3,68,19,17,0.894736842,23.27488942,5,0.263157895,19,1,0,0,8,15,0.789473684,12,0.631578947,4,0,0,20,1.052631579,19,1,39,2.052631579,35,1.842105263,0,0,58,3.052631579,132,6.947368421,0,0,0,0,2.934,4,20
Y1050342,3,189.3333333,568,2,38,3,61,7,6,0.857142857,15.62114033,3,0.428571429,7,1,1,0.142857143,7,10,1.428571429,29,4.142857143,3,0,0,36,5.142857143,13,1.857142857,49,7,38,5.428571429,1,0.142857143,56,8,144,20.57142857,0,0,0,0,0,8,50
Y1050344,7,166,1162,6,95,7,84,22,14,0.636363636,14.72399681,12,0.545454545,19,0.863636364,1,0.045454545,12,0,0,22,1,26,0,0,34,1.545454545,26,1.181818182,60,2.727272727,63,2.863636364,1,0.045454545,82,3.727272727,206,9.363636364,3,3,2,3,6,8,40
Y1050345,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
Y1050346,3,104.6666667,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,6.716,8,50
Y1050347,3,267.3333333,802,3,67,3,83,13,10,0.769230769,11.99746535,7,0.538461538,12,0.923076923,0,0,25,4,0.307692308,23,1.769230769,6,0,0,48,3.692307692,10,0.769230769,58,4.461538462,39,3,0,0,71,5.461538462,168,12.92307692,0,0,0,0,0,8,20
Y1050348,4,445.75,1783,4,106,4,324,20,20,1,12.64325907,16,0.8,20,1,1,0.05,135,68,3.4,62,3.1,21,0,0,197,9.85,89,4.45,286,14.3,101,5.05,1,0.05,306,15.3,694,34.7,0,0,0,0,0,10,10
Y1050349,5,146.2,731,3,83,3,26,5,0,0,13.10555139,4,0.8,4,0.8,0,0,10,3,0.6,1,0.2,1,0,0,11,2.2,4,0.8,15,3,5,1,0,0,20,4,40,8,3,3,2,3,5.2,10,65
Y1050350,6,253.5,1521,4,120,5,274,18,10,0.555555556,12.17235616,17,0.944444444,13,0.722222222,3,0.166666667,148,42,2.333333333,20,1.111111111,8,2,0.111111111,168,9.333333333,52,2.888888889,220,12.22222222,37,2.055555556,3,0.166666667,238,13.22222222,498,27.66666667,1,1,1,1,0,10,10
Y1050351,6,198.5,1191,5,34,6,218,21,16,0.761904762,14.22336947,16,0.761904762,21,1,3,0.142857143,90,24,1.142857143,55,2.619047619,10,0,0,145,6.904761905,34,1.619047619,179,8.523809524,83,3.952380952,3,0.142857143,200,9.523809524,465,22.14285714,3,3,3,3,6,10,70
Y1050352,5,248.4,1242,3,119,5,67,17,16,0.941176471,12.24416288,5,0.294117647,14,0.823529412,5,0.294117647,20,11,0.647058824,10,0.588235294,2,1,0.058823529,30,1.764705882,14,0.823529412,44,2.588235294,24,1.411764706,5,0.294117647,61,3.588235294,134,7.882352941,3,3,1,3,8.65,10,80
Y1050353,6,252,1512,5,94,6,168,19,12,0.631578947,10.65952551,9,0.473684211,18,0.947368421,5,0.263157895,49,19,1,47,2.473684211,23,2,0.105263158,96,5.052631579,44,2.315789474,140,7.368421053,85,4.473684211,5,0.263157895,159,8.368421053,389,20.47368421,3,3,2,3,8.75,8,50
Y1050354,7,223.5714286,1565,5,156,7,146,20,17,0.85,13.55577758,10,0.5,16,0.8,5,0.25,22,25,1.25,40,2,16,0,0,62,3.1,41,2.05,103,5.15,68,3.4,5,0.25,123,6.15,299,14.95,3,3,2,3,8.8,9,50
Y1050355,1,159,159,1,21,1,5,3,2,0.666666667,11.94769023,0,0,3,1,0,0,0,0,0,1,0.333333333,0,0,0,1,0.333333333,0,0,1,0.333333333,4,1.333333333,0,0,4,1.333333333,9,3,0,0,0,0,0,6,10
Y1050356,6,273,1638,5,155,5,149,22,19,0.863636364,7.378367932,12,0.545454545,21,0.954545455,1,0.045454545,19,27,1.227272727,45,2.045454545,21,1,0.045454545,64,2.909090909,49,2.227272727,113,5.136363636,85,3.863636364,1,0.045454545,135,6.136363636,334,15.18181818,3,3,2,3,7.6,8,30
Y1050357,7,306.2857143,2144,5,157,5,310,21,18,0.857142857,6.263172195,19,0.904761905,21,1,5,0.238095238,59,78,3.714285714,107,5.095238095,23,0,0,166,7.904761905,101,4.80952381,267,12.71428571,145,6.904761905,5,0.238095238,288,13.71428571,705,33.57142857,3,3,2,3,8.866,8,20
Y1050358,5,375.2,1876,4,192,3,94,14,8,0.571428571,15.13748739,4,0.285714286,14,1,2,0.142857143,47,10,0.714285714,13,0.928571429,4,1,0.071428571,60,4.285714286,15,1.071428571,75,5.357142857,29,2.071428571,2,0.142857143,89,6.357142857,195,13.92857143,3,3,1,3,9.8,10,50
Y1050359,5,159.8,799,2,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,8.682,6,20
Y1050360,4,503.5,2014,2,169,2,239,24,18,0.75,12.46034252,13,0.541666667,23,0.958333333,3,0.125,21,64,2.666666667,96,4,14,0,0,117,4.875,78,3.25,195,8.125,129,5.375,3,0.125,219,9.125,546,22.75,3,3,1,3,9.2,10,30
Y1050361,4,109.75,439,2,37,3,35,8,5,0.625,11.9386647,2,0.25,8,1,2,0.25,2,10,1.25,9,1.125,3,0,0,11,1.375,13,1.625,24,3,18,2.25,2,0.25,32,4,76,9.5,3,3,2,3,8.584,9,30
Y1050362,6,229.6666667,1378,6,98,6,179,20,20,1,11.31015305,14,0.7,19,0.95,3,0.15,38,25,1.25,72,3.6,9,0,0,110,5.5,34,1.7,144,7.2,95,4.75,3,0.15,164,8.2,406,20.3,3,3,3,3,8,9,80
Y1050364,4,218.75,875,2,23,4,234,14,7,0.5,13.50312853,12,0.857142857,11,0.785714286,0,0,107,28,2,48,3.428571429,3,0,0,155,11.07142857,31,2.214285714,186,13.28571429,59,4.214285714,0,0,200,14.28571429,445,31.78571429,0,0,0,0,0,10,72
Y1050365,3,342.6666667,1028,3,55,3,167,11,10,0.909090909,12.465941,5,0.454545455,11,1,2,0.181818182,13,27,2.454545455,72,6.545454545,19,1,0.090909091,85,7.727272727,47,4.272727273,132,12,101,9.181818182,2,0.181818182,143,13,378,34.36363636,3,3,1,3,9.8,10,96
Y1050366,3,479,1437,3,134,3,130,24,23,0.958333333,9.353837077,7,0.291666667,24,1,9,0.375,7,21,0.875,44,1.833333333,11,4,0.166666667,51,2.125,36,1.5,87,3.625,70,2.916666667,10,0.416666667,111,4.625,278,11.58333333,0,0,0,0,0,10,10
Y1050367,5,354,1770,5,152,5,146,24,22,0.916666667,13.35512709,13,0.541666667,21,0.875,6,0.25,42,24,1,15,0.625,6,3,0.125,57,2.375,33,1.375,90,3.75,40,1.666666667,6,0.25,114,4.75,250,10.41666667,3,3,1,3,9.884,10,90
Y1050368,3,620,1860,3,147,3,333,20,12,0.6,11.39460083,15,0.75,20,1,0,0,168,17,0.85,85,4.25,10,0,0,253,12.65,27,1.35,280,14,114,5.7,0,0,300,15,694,34.7,3,3,1,3,9.5,10,20
Y1050369,1,253,253,1,23,1,18,4,4,1,2.971650867,2,0.5,4,1,1,0.25,0,5,1.25,5,1.25,2,0,0,5,1.25,7,1.75,12,3,10,2.5,1,0.25,16,4,39,9.75,0,0,0,0,0,10,10
Y1050370,2,488.5,977,2,63,2,169,13,10,0.769230769,4.36023597,12,0.923076923,12,0.923076923,2,0.153846154,43,60,4.615384615,29,2.230769231,11,0,0,72,5.538461538,71,5.461538462,143,11,48,3.692307692,2,0.153846154,156,12,349,26.84615385,0,0,0,0,0,10,20
Y1050371,2,594,1188,2,91,2,174,15,13,0.866666667,14.96847726,10,0.666666667,15,1,2,0.133333333,30,15,1,85,5.666666667,14,0,0,115,7.666666667,29,1.933333333,144,9.6,112,7.466666667,2,0.133333333,159,10.6,417,27.8,1,1,1,1,1.55,10,40
Y1050372,5,258.6,1293,4,148,4,85,8,5,0.625,12.90655998,6,0.75,7,0.875,2,0.25,26,13,1.625,16,2,3,0,0,42,5.25,16,2,58,7.25,23,2.875,2,0.25,66,8.25,149,18.625,3,3,3,3,9.034,8,50
Y1050373,4,197,788,1,95,2,43,13,7,0.538461538,7.794469095,7,0.538461538,11,0.846153846,3,0.230769231,4,2,0.153846154,16,1.230769231,3,1,0.076923077,20,1.538461538,6,0.461538462,26,2,24,1.846153846,3,0.230769231,39,3,92,7.076923077,0,0,0,0,0,10,20
Y1050374,3,405,1215,2,104,3,99,20,18,0.9,15.79709798,7,0.35,19,0.95,7,0.35,13,14,0.7,25,1.25,12,2,0.1,38,1.9,28,1.4,66,3.3,51,2.55,7,0.35,86,4.3,210,10.5,0,0,0,0,0,10,30
Y1050375,4,179.75,719,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30
Y1050376,7,348.5714286,2440,7,152,7,221,30,29,0.966666667,12.5958487,12,0.4,28,0.933333333,7,0.233333333,52,42,1.4,53,1.766666667,11,0,0,105,3.5,53,1.766666667,158,5.266666667,85,2.833333333,7,0.233333333,188,6.266666667,438,14.6,3,3,3,3,9.6,10,90
