username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,3.5,211.875,780.5,1.5,9.25,18.0,3.0,48.333333335,145.0,0.0,0.0,0.0,22.0,16.5,5.5,0.7424242425,0.2575757575,3.6274615785,1.0,9.5,0.53030303,21.5,0.984848485,0.5,0.015151515,18.5,1.2272727275,19.0,1.0909090904999998,71.5,2.8636363635000004,7.0,0.3333333335,0.0,0.0,90.0,4.090909091,26.0,1.424242424,116.0,5.5151515149999994,99.0,4.121212121499999,0.5,0.015151515,138.0,6.5151515149999994,353.5,16.166666665,2.0,2.0,1.0,2.0,8.0,8.4,80.0
Y1050275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Y1050276,4.0,228.56666665,1028.5,3.5,33.7,132.5,3.0,13.4,53.0,0.0,0.0,0.0,14.0,10.0,4.0,0.6933333335,0.3066666665,1.3825601955,3.0,4.0,0.16,13.5,0.98,1.0,0.04,4.0,0.16,5.5,0.22,12.5,0.6466666665,13.0,0.8133333334999999,0.0,0.0,16.5,0.8066666665,18.5,1.0333333335,35.0,1.84,38.5,2.42,1.0,0.04,49.0,2.84,123.5,7.14,2.0,2.0,1.0,2.0,7.3325,0.5,40.0
Y1050277,0.5,69.0,69.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,7.56970604,2.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
Y1050278,4.0,611.0,2029.0,3.5,106.20833334999999,334.5,2.0,8.25,33.0,0.0,0.0,0.0,4.5,2.5,2.0,0.27777777800000003,0.222222222,6.349229425,0.5,2.5,0.27777777800000003,4.5,0.5,0.0,0.0,0.5,0.0555555555,7.5,0.8333333334999999,11.5,1.277777778,3.5,0.38888888899999996,0.0,0.0,12.0,1.3333333335,11.0,1.222222222,23.0,2.5555555555000002,19.0,2.111111111,0.0,0.0,27.5,3.0555555555000002,69.5,7.72222222,2.0,2.0,1.0,2.0,8.5,5.5,54.0
Y1050279,4.5,309.375,1412.5,4.0,25.0,100.0,3.0,50.16666667,150.5,0.5,0.5,0.5,9.0,7.0,2.0,0.8333333334999999,0.1666666665,5.951284202,2.5,5.5,0.5833333334999999,9.0,1.0,1.0,0.1666666665,10.0,1.0833333335000002,13.5,1.3333333330000001,66.0,8.0416666685,28.5,3.125,0.5,0.0833333335,76.0,9.1250000015,42.5,4.541666666499999,118.5,13.66666667,102.0,12.0,1.0,0.1666666665,127.5,14.666666670000001,349.0,40.5,1.5,1.5,0.5,1.5,6.75,5.5,70.0
Y1050280,2.0,36.0,80.0,0.5,0.5,0.5,2.0,4.833333333500001,13.5,0.0,0.0,0.0,3.5,1.5,2.0,0.6666666665000001,0.3333333335,7.968626958,2.5,1.0,0.1666666665,3.5,1.0,0.5,0.0833333335,2.5,0.4166666665,1.0,0.1666666665,2.0,0.3333333335,1.5,0.25,0.0,0.0,4.5,0.75,2.5,0.4166666665,7.0,1.1666666665,6.5,1.5,0.5,0.0833333335,10.5,2.1666666665000003,24.5,4.916666666499999,0.0,0.0,0.0,0.0,0.0,0.35,10.0
Y1050281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Y1050282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Y1050283,1.5,8.666666665,26.0,0.0,0.0,0.0,1.0,2.5,5.0,0.0,0.0,0.0,1.0,0.5,0.5,0.25,0.25,0.396000147,1.5,1.0,0.5,0.5,0.25,0.0,0.0,2.5,1.25,0.5,0.25,0.0,0.0,0.5,0.25,0.0,0.0,2.5,1.25,1.0,0.5,3.5,1.75,1.0,0.5,0.0,0.0,4.5,2.25,9.0,4.5,0.0,0.0,0.0,0.0,0.0,3.85,20.0
