username,week,num_days,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,tmp
Y1050274,6,3.0,3.0,134.0,402.0,1.0,1.0,1.0,3.0,28.0,84.0,0.0,0.0,0.0,11.0,8.0,3.0,0.727272727,0.272727273,0.293941716,1.0,8.0,0.727272727,11.0,1.0,0.0,0.0,22.0,2.0,17.0,1.545454545,23.0,2.090909091,4.0,0.363636364,0.0,0.0,45.0,4.090909091,21.0,1.909090909,66.0,6.0,37.0,3.363636364,0.0,0.0,77.0,7.0,180.0,16.36363636,1.0,1.0,1.0,1.0,0.0
Y1050275,0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050275,1,3.0,3.0,131.3333333,394.0,1.0,33.0,33.0,1.0,27.0,27.0,0.0,0.0,0.0,8.0,6.0,2.0,0.75,0.25,13.93254599,7.0,5.0,0.625,7.0,0.875,0.0,0.0,7.0,0.875,6.0,0.75,3.0,0.375,0.0,0.0,0.0,0.0,10.0,1.25,6.0,0.75,16.0,2.0,10.0,1.25,0.0,0.0,24.0,3.0,50.0,6.25,3.0,3.0,1.0,3.0,0.0
Y1050275,2,5.0,5.0,312.0,1560.0,3.0,13.66666667,41.0,5.0,63.8,319.0,0.0,0.0,0.0,34.0,29.0,5.0,0.852941176,0.147058824,10.942161,2.0,22.0,0.647058824,32.0,0.941176471,3.0,0.088235294,25.0,0.735294118,80.0,2.352941176,102.0,3.0,43.0,1.264705882,0.0,0.0,127.0,3.735294118,123.0,3.617647059,250.0,7.352941176,170.0,5.0,3.0,0.088235294,284.0,8.352941176,707.0,20.79411765,0.0,0.0,0.0,0.0,0.0
Y1050275,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050275,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050275,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050275,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050276,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050276,1,3.0,3.0,418.0,1254.0,1.0,144.0,144.0,2.0,31.0,62.0,0.0,0.0,0.0,16.0,9.0,7.0,0.5625,0.4375,3.299500206,6.0,2.0,0.125,16.0,1.0,0.0,0.0,1.0,0.0625,3.0,0.1875,25.0,1.5625,8.0,0.5,0.0,0.0,26.0,1.625,11.0,0.6875,37.0,2.3125,49.0,3.0625,0.0,0.0,53.0,3.3125,139.0,8.6875,3.0,3.0,2.0,3.0,0.0
