label,username,week,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,tmp
1.0,Y1050211,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050274,1,2.0,245.0,1.0,6.0,5.0,0.0,6.0,0.0,7.0,0.0,0.0,7.0,0.0,3.0,3.0,2.0,3.0,0.0
1.0,Y1050275,1,3.0,394.0,1.0,8.0,6.0,5.0,7.0,0.0,27.0,7.0,6.0,10.0,0.0,3.0,3.0,1.0,3.0,0.0
1.0,Y1050276,1,3.0,1254.0,2.0,16.0,9.0,2.0,16.0,0.0,62.0,1.0,3.0,49.0,0.0,3.0,3.0,2.0,3.0,0.0
1.0,Y1050277,1,3.0,2152.0,3.0,24.0,24.0,16.0,24.0,4.0,349.0,24.0,55.0,239.0,4.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050278,1,4.0,576.0,3.0,10.0,8.0,2.0,8.0,3.0,26.0,5.0,4.0,11.0,3.0,3.0,3.0,1.0,3.0,0.0
1.0,Y1050279,1,4.0,2081.0,3.0,14.0,9.0,8.0,13.0,1.0,122.0,5.0,15.0,86.0,1.0,3.0,3.0,2.0,3.0,0.0
1.0,Y1050280,1,3.0,197.0,2.0,6.0,5.0,1.0,4.0,2.0,30.0,0.0,1.0,24.0,2.0,1.0,1.0,1.0,1.0,0.0
1.0,Y1050281,1,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050282,1,2.0,502.0,2.0,4.0,1.0,2.0,3.0,1.0,73.0,19.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050283,1,2.0,721.0,2.0,10.0,2.0,4.0,10.0,1.0,69.0,15.0,22.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0
