label,username,week,active_num_days,active_sum_count,problem_num_days,problem_sum_count,video_num_days,video_sum_count,num_watched,num_complete,num_incomplete
0.0,Y1050274,1,2.0,245.0,1.0,26.0,1.0,7.0,6.0,5.0,1.0
0.0,Y1050274,2,4.0,314.0,1.0,19.0,1.0,24.0,4.0,3.0,1.0
0.0,Y1050274,3,3.0,1011.0,3.0,74.0,3.0,79.0,16.0,13.0,3.0
0.0,Y1050274,4,1.0,464.0,1.0,52.0,1.0,42.0,7.0,5.0,2.0
0.0,Y1050274,5,4.0,1159.0,2.0,35.0,3.0,206.0,33.0,25.0,8.0
1.0,Y1050274,6,2.0,365.0,1.0,1.0,2.0,77.0,10.0,8.0,2.0
0.0,Y1050275,1,3.0,394.0,1.0,33.0,1.0,27.0,8.0,6.0,2.0
1.0,Y1050275,2,5.0,1560.0,3.0,41.0,5.0,319.0,34.0,29.0,5.0
0.0,Y1050276,1,3.0,1254.0,1.0,144.0,2.0,62.0,16.0,9.0,7.0
0.0,Y1050276,2,1.0,90.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050276,3,2.0,931.0,1.0,103.0,1.0,102.0,13.0,11.0,2.0
0.0,Y1050276,4,1.0,212.0,1.0,30.0,1.0,7.0,3.0,3.0,0.0
0.0,Y1050276,5,5.0,1714.0,5.0,217.0,5.0,99.0,25.0,18.0,7.0
1.0,Y1050276,6,2.0,61.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050277,1,3.0,2152.0,3.0,125.0,3.0,349.0,24.0,24.0,0.0
1.0,Y1050277,4,1.0,494.0,0.0,0.0,1.0,6.0,3.0,0.0,3.0
0.0,Y1050278,1,4.0,576.0,3.0,67.0,3.0,26.0,10.0,8.0,2.0
0.0,Y1050278,2,2.0,198.0,1.0,30.0,1.0,4.0,4.0,4.0,0.0
0.0,Y1050278,3,1.0,205.0,1.0,21.0,1.0,12.0,6.0,3.0,3.0
0.0,Y1050278,4,6.0,555.0,0.0,0.0,4.0,16.0,5.0,1.0,4.0
0.0,Y1050278,5,5.0,980.0,4.0,127.0,4.0,66.0,9.0,5.0,4.0
1.0,Y1050278,6,2.0,2848.0,2.0,503.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050279,1,4.0,2081.0,4.0,183.0,3.0,122.0,14.0,9.0,5.0
0.0,Y1050279,2,6.0,3123.0,6.0,175.0,5.0,344.0,22.0,19.0,3.0
0.0,Y1050279,3,4.0,1414.0,4.0,130.0,2.0,110.0,13.0,10.0,3.0
0.0,Y1050279,4,4.0,1556.0,4.0,146.0,4.0,168.0,13.0,12.0,1.0
0.0,Y1050279,5,5.0,1750.0,4.0,120.0,3.0,200.0,12.0,8.0,4.0
1.0,Y1050279,6,4.0,1075.0,4.0,80.0,3.0,101.0,6.0,6.0,0.0
0.0,Y1050280,1,3.0,197.0,0.0,0.0,2.0,30.0,6.0,5.0,1.0
0.0,Y1050280,2,3.0,77.0,0.0,0.0,1.0,8.0,2.0,2.0,0.0
0.0,Y1050280,3,1.0,182.0,1.0,26.0,1.0,6.0,3.0,3.0,0.0
0.0,Y1050280,4,2.0,77.0,0.0,0.0,1.0,6.0,3.0,2.0,1.0
0.0,Y1050280,5,3.0,132.0,1.0,1.0,3.0,26.0,6.0,2.0,4.0
1.0,Y1050280,6,1.0,28.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.0,Y1050281,1,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050281,2,1.0,252.0,1.0,8.0,1.0,40.0,3.0,1.0,2.0
0.0,Y1050282,1,2.0,502.0,2.0,27.0,2.0,73.0,4.0,1.0,3.0
0.0,Y1050282,2,3.0,547.0,2.0,28.0,3.0,91.0,8.0,8.0,0.0
1.0,Y1050282,3,1.0,125.0,1.0,15.0,1.0,4.0,3.0,2.0,1.0
0.0,Y1050283,1,2.0,721.0,2.0,77.0,2.0,69.0,10.0,2.0,8.0
0.0,Y1050283,2,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050283,3,2.0,234.0,1.0,15.0,2.0,25.0,5.0,3.0,2.0
0.0,Y1050283,4,1.0,47.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0
1.0,Y1050283,5,3.0,52.0,0.0,0.0,2.0,10.0,2.0,1.0,1.0
0.0,Y1050284,1,3.0,511.0,1.0,21.0,3.0,40.0,7.0,2.0,5.0
0.0,Y1050284,2,3.0,119.0,0.0,0.0,3.0,7.0,4.0,0.0,4.0
0.0,Y1050284,3,5.0,232.0,0.0,0.0,3.0,9.0,5.0,0.0,5.0
0.0,Y1050284,4,1.0,165.0,0.0,0.0,1.0,35.0,2.0,1.0,1.0
0.0,Y1050284,5,2.0,112.0,0.0,0.0,1.0,26.0,2.0,0.0,2.0
1.0,Y1050284,6,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050286,1,3.0,521.0,2.0,40.0,3.0,53.0,8.0,8.0,0.0
0.0,Y1050286,2,5.0,1611.0,2.0,90.0,4.0,307.0,15.0,13.0,2.0
0.0,Y1050286,3,2.0,390.0,1.0,5.0,2.0,102.0,6.0,5.0,1.0
0.0,Y1050286,4,4.0,796.0,3.0,35.0,3.0,174.0,6.0,6.0,0.0
0.0,Y1050286,5,5.0,1558.0,4.0,92.0,4.0,251.0,17.0,17.0,0.0
1.0,Y1050286,6,3.0,1362.0,1.0,40.0,3.0,351.0,9.0,4.0,5.0
0.0,Y1050287,1,3.0,574.0,2.0,56.0,2.0,41.0,7.0,7.0,0.0
0.0,Y1050287,2,4.0,729.0,1.0,15.0,4.0,132.0,13.0,9.0,4.0
0.0,Y1050287,3,3.0,653.0,2.0,43.0,2.0,88.0,14.0,10.0,4.0
0.0,Y1050287,4,2.0,410.0,2.0,21.0,2.0,62.0,7.0,6.0,1.0
0.0,Y1050287,5,2.0,864.0,2.0,46.0,2.0,123.0,19.0,16.0,3.0
1.0,Y1050287,6,2.0,319.0,2.0,8.0,2.0,53.0,8.0,4.0,4.0
0.0,Y1050289,1,5.0,2534.0,3.0,79.0,5.0,559.0,24.0,23.0,1.0
0.0,Y1050289,2,4.0,2940.0,2.0,88.0,3.0,648.0,25.0,17.0,8.0
0.0,Y1050289,3,2.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050289,4,5.0,1730.0,2.0,69.0,4.0,341.0,14.0,4.0,10.0
0.0,Y1050289,5,4.0,1463.0,1.0,15.0,3.0,353.0,11.0,7.0,4.0
1.0,Y1050289,6,1.0,61.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,Y1050291,2,2.0,982.0,1.0,113.0,1.0,33.0,10.0,8.0,2.0
