username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,mt_mean,hw_mean,qz_mean,final_score
101302503,3.0,594.833333333,2.66666666667,8.0,6.16666666667,2.33333333333,4.66666666667,6.16666666667,38.6666666667,3.66666666667,3.0,13.3333333333,6.83333333333,0.0,0.0,0.0,0.0,0.0,9.93333333333,7.5,61.0
102602012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.57
103602527,2.16666666667,569.166666667,1.33333333333,4.33333333333,2.66666666667,1.83333333333,3.16666666667,2.0,263.333333333,8.33333333333,1.83333333333,7.83333333333,2.0,0.0,0.0,0.0,0.0,0.0,9.27777777783,7.888888889,47.15
104602001,2.16666666667,327.0,1.66666666667,6.5,3.5,4.33333333333,2.83333333333,3.5,28.6666666667,1.5,3.16666666667,6.16666666667,3.83333333333,3.5,1.66666666667,1.0,1.83333333333,5.98473544967,9.477777778,9.1666666665,58.21
104602002,2.33333333333,526.166666667,2.0,7.66666666667,2.16666666667,4.33333333333,6.0,1.66666666667,50.3333333333,2.16666666667,0.833333333333,15.6666666667,1.66666666667,4.16666666667,1.83333333333,1.16666666667,2.5,6.637037037,9.76111111117,7.94444444433,69.33
104602003,2.5,522.5,1.66666666667,3.16666666667,2.0,2.5,1.66666666667,1.5,85.3333333333,17.1666666667,11.6666666667,12.8333333333,1.5,3.5,1.5,1.0,1.5,4.29538888867,9.54444444433,7.61111111133,55.3
104602005,2.66666666667,392.833333333,0.833333333333,1.83333333333,0.666666666667,1.16666666667,1.5,0.666666666667,12.3333333333,3.0,1.83333333333,3.5,0.666666666667,7.33333333333,2.16666666667,1.33333333333,2.66666666667,7.449283414,9.80000000017,9.1666666665,74.12
104602006,2.0,395.666666667,1.33333333333,5.33333333333,2.5,3.66666666667,4.83333333333,2.16666666667,50.6666666667,16.0,8.16666666667,17.8333333333,2.16666666667,4.0,1.5,1.33333333333,1.83333333333,6.05176900583,9.78888888883,6.49999999983,61.13
104602007,2.33333333333,869.5,2.33333333333,5.66666666667,4.33333333333,2.66666666667,4.66666666667,3.83333333333,153.666666667,28.5,6.66666666667,26.1666666667,3.83333333333,3.16666666667,2.0,1.83333333333,2.66666666667,8.254605475,9.5833333335,9.888888889,85.72
104602008,1.16666666667,220.333333333,0.833333333333,2.5,2.5,0.5,2.0,2.33333333333,11.3333333333,0.333333333333,0.666666666667,4.33333333333,2.33333333333,3.83333333333,1.66666666667,1.0,1.83333333333,6.277614379,9.888888889,9.11111111133,72.53
104602009,1.0,360.5,0.333333333333,0.833333333333,0.666666666667,0.5,0.833333333333,0.5,6.0,2.66666666667,0.333333333333,2.16666666667,0.5,3.83333333333,1.66666666667,1.0,2.0,5.9981042885,9.67222222233,9.722222222,79.78
104602010,2.0,463.166666667,1.0,5.5,1.0,5.16666666667,2.33333333333,0.833333333333,63.6666666667,43.0,4.0,4.16666666667,0.833333333333,3.16666666667,1.83333333333,1.33333333333,2.0,7.485130719,9.988888889,9.9444444445,76.68
104602011,3.33333333333,593.5,1.66666666667,6.83333333333,4.66666666667,3.5,5.0,3.5,37.3333333333,2.33333333333,4.5,18.6666666667,3.5,3.83333333333,1.66666666667,1.5,1.83333333333,7.5607098765,9.8833333335,9.1666666665,70.97
104602012,3.83333333333,850.166666667,2.33333333333,9.0,4.5,6.83333333333,7.83333333333,3.83333333333,82.3333333333,13.8333333333,14.0,34.0,4.16666666667,4.66666666667,2.0,1.16666666667,2.16666666667,8.6012824935,9.9166666665,8.9444444445,88.14
104602013,2.66666666667,591.333333333,2.16666666667,7.16666666667,5.33333333333,4.5,6.33333333333,5.0,104.833333333,13.8333333333,12.3333333333,29.8333333333,6.0,3.66666666667,1.83333333333,1.16666666667,2.0,8.17757716033,9.87222222233,8.3333333335,66.43
104602014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.166666666667,0.166666666667,0.166666666667,1.206388889,7.61111111117,3.22222222217,50.89
104602016,1.33333333333,70.1666666667,1.0,2.83333333333,1.66666666667,1.33333333333,1.66666666667,1.66666666667,13.5,5.16666666667,1.16666666667,3.5,1.83333333333,3.66666666667,1.33333333333,1.16666666667,1.5,3.094925926,9.70000000017,7.0,25.71
