feature,pearson,p-value,distance_correlation
num_days,0.694386901989,9.98496467105e-20,0.305613098011
active_num_days,0.694386901989,9.98496467105e-20,0.305613098011
active_avg_count,0.22550094884,0.0104889860604,0.77449905116
active_sum_count,0.594929224774,1.31097512024e-13,0.405070775226
problem_num_days,0.651562963576,8.19740768932e-17,0.348437036424
problem_avg_count,0.214734398478,0.0149298979067,0.785265601522
problem_sum_count,0.510869119132,7.21972984736e-10,0.489130880868
video_num_days,0.58688246269,3.33474959395e-13,0.41311753731
video_avg_count,0.228365931021,0.00952328210833,0.771634068979
video_sum_count,0.373549763956,1.40511786435e-05,0.626450236044
forum_num_days,0.124294299832,0.162154625654,0.875705700168
forum_avg_count,0.11974926587,0.178183842639,0.88025073413
forum_sum_count,0.123199748404,0.165912844136,0.876800251596
num_watched,0.54134032743,4.1792573239e-11,0.45865967257
num_complete,0.509284224459,8.30982535191e-10,0.490715775541
num_incomplete,0.279245815055,0.00141261488399,0.720754184945
complete_rate,0.41484203612,1.12404507083e-06,0.58515796388
incomplete_rate,-0.0104376179906,0.90691320513,1.01043761799
watched_time_hour,0.406489154939,1.92624697807e-06,0.593510845061
watched_time_weekday,0.151646784131,0.0874965089835,0.848353215869
seek_video_sum,0.474763174984,1.49733889492e-08,0.525236825016
seek_video_avg,0.320229053686,0.000228735020057,0.679770946314
pause_video_sum,0.58602900236,3.67633675497e-13,0.41397099764
pause_video_avg,0.442850335766,1.65520651732e-07,0.557149664234
stop_video_sum,0.270837083732,0.00198733709293,0.729162916268
stop_video_avg,0.170897030427,0.0537649080063,0.829102969573
video_forward_seek_sum,0.229344259163,0.00921194232177,0.770655740837
video_forward_seek_avg,0.178699632414,0.0435706481136,0.821300367586
video_backward_seek_sum,0.215504336127,0.0145652073456,0.784495663873
video_backward_seek_avg,0.0929484138908,0.296699933181,0.907051586109
video_pause_forward_seek_sum,0.354757754381,3.9787678131e-05,0.645242245619
video_pause_forward_seek_avg,0.203836017715,0.0210100726079,0.796163982285
video_pause_backward_seek_sum,0.39627192214,3.65075023925e-06,0.60372807786
video_pause_backward_seek_avg,0.309124654992,0.000384637296152,0.690875345008
video_stop_backward_seek_sum,0.316444662251,0.00027367993212,0.683555337749
video_stop_backward_seek_avg,0.137245187757,0.122385029109,0.862754812243
all_type_video_forward_seek_sum,0.364096519053,2.39130679211e-05,0.635903480947
all_type_video_forward_seek_avg,0.249033161106,0.00458757553587,0.750966838894
all_type_video_backward_seek_sum,0.287265310463,0.00100996657574,0.712734689537
all_type_video_backward_seek_avg,0.165713975607,0.0615679424579,0.834286024393
all_type_video_seek_sum,0.357594438286,3.41437991692e-05,0.642405561714
all_type_video_seek_avg,0.240626219872,0.00621929116079,0.759373780128
video_pause_sum,0.406024100611,1.98404445921e-06,0.593975899389
video_pause_avg,0.257338427765,0.00336304243133,0.742661572235
video_stop_sum,0.261666783948,0.00284930642242,0.738333216052
video_stop_avg,0.150666971094,0.089586053579,0.849333028906
video_play_sum,0.381392918025,8.92434345494e-06,0.618607081975
video_play_avg,0.25812859709,0.00326345570125,0.74187140291
video_events_sum,0.386713531244,6.51514393499e-06,0.613286468756
video_events_avg,0.259322103598,0.00311806291007,0.740677896402
mt_practice_sum,0.420980292594,7.49571809042e-07,0.579019707406
mt_unit_sum,0.502620056283,1.48932614578e-09,0.497379943717
mt_online_num_day,0.266172483678,0.00239074759905,0.733827516322
mt_online_practice_num_day,0.502528161999,1.50122592769e-09,0.497471838001
hw_mean,0.758752821716,3.24601650907e-25,0.241247178284
qz_mean,0.825962050619,3.68906070594e-33,0.174037949381
