username,hw_mean,qz_mean,indicator,final_score
101302503,-0.465667667992,-0.285009763276,1.0,61.0
102602012,7.00457355324,1.28666317119,0.0,52.57
103602527,-0.264042955547,-0.0419915890924,0.0,47.15
104602001,-0.568955467377,0.232604362132,0.0,58.21
104602002,-0.40330916175,-0.0467290450563,1.0,69.33
104602003,0.0847404343393,-0.458987239857,0.0,55.3
104602005,-0.882079700955,0.229931091018,1.0,74.12
104602006,0.11189803325,-0.700887142035,1.0,61.13
104602007,-0.994307757945,0.531637650848,1.0,85.72
104602008,-0.918056134765,0.245696484572,1.0,72.53
104602009,-1.01126388227,0.452591333785,1.0,79.78
104602010,-1.24257257371,0.448946681695,1.0,76.68
104602011,-0.720003615405,0.143646406601,1.0,70.97
104602012,-0.706157488827,0.054008879189,1.0,88.14
104602013,-0.740749310033,0.060810519729,1.0,66.43
104602014,2.15514797295,-0.975671055298,0.0,50.89
104602016,0.226507552151,-0.772548200493,0.0,25.71
104602017,-0.581587367581,0.219972462054,0.0,52.83
104602018,-0.168187405184,-0.256587001186,0.0,54.02
104602019,0.14896727062,-0.808695020523,1.0,80.67
104602020,-0.67190446715,0.398712863203,1.0,77.99
104602021,0.426820111062,-0.634325834071,1.0,80.61
104602022,-0.964040161111,0.458421593572,1.0,83.56
104602023,-0.140781041318,1.09541013564,1.0,95.5
104602024,0.842654445629,0.298926771306,1.0,72.67
104602025,1.03652765863,-0.0970568443765,1.0,61.38
104602026,4.63911025806,0.494151419184,0.0,25.57
104602027,-0.823923996287,0.391570449796,0.0,57.3
104602028,-1.02015517604,0.340216385895,1.0,104.16
104602029,-0.0137883872277,-0.55751606155,1.0,67.13
104602030,0.526901958115,-0.989572065212,0.0,54.11
104602031,0.463403657877,-0.701225941493,0.0,50.2
104602032,-1.01957155822,0.506373850571,0.0,51.06
104602033,0.499722837475,0.00773699014444,1.0,82.94
104602035,-1.09536295943,0.43058244936,1.0,80.48
104602037,-0.610738665382,-0.0161461439741,1.0,61.61
104602501,-0.261007389739,-0.297665158749,0.0,56.93
104602502,-0.131797739753,-0.199500605012,1.0,67.38
104602503,0.964792167962,-0.406804739635,0.0,48.27
104602504,0.190750468529,-0.559944514021,1.0,71.49
104602505,-0.627692816728,0.442924513751,1.0,81.71
104602506,-0.182762067401,-0.105587816922,1.0,63.62
104602507,0.276502471999,-0.2465284717,0.0,39.87
104602508,0.080028446803,-0.277428649916,1.0,60.32
104602509,0.949146224128,-0.919172223529,0.0,47.45
104602510,-0.733170169641,0.0683896598677,1.0,70.1
104602511,-0.874014870286,0.196602460067,1.0,78.77
104602513,-1.11256192904,0.371990018132,1.0,93.69
104602514,-0.675257310361,0.250482904135,1.0,74.75
104602515,0.196243901935,0.376901806769,1.0,60.84
104602516,-0.916914367169,0.257186617421,0.0,56.89
104602517,-0.537448175833,0.377943673292,1.0,82.97
104602519,-0.986826545148,0.332151555425,1.0,94.97
104602520,2.1147788026,0.1636734317,0.0,48.24
104602521,-0.38839372674,-0.0111168790496,1.0,80.87
104602522,0.447591274018,-0.230665150663,0.0,59.34
104602524,0.279708424132,-0.408896365921,1.0,68.02
104602525,0.432068725948,-0.215142602738,0.0,59.69
104602526,-0.643532642092,0.0545435333072,1.0,76.48
