username,hw_mean,qz_mean,indicator,final_score
101302503,-0.652131312158,-0.0944055718985,1.0,61.0
102602012,6.82680834403,1.65846354915,0.0,52.57
103602527,-0.4072146958,-0.0403579732973,0.0,47.15
104602001,-0.44079453953,0.11693120062,0.0,58.21
104602002,-0.434874324069,0.141938317901,1.0,69.33
104602003,0.257688993348,-0.597015998239,0.0,55.3
104602005,-0.899775673201,0.23055712046,1.0,74.12
104602006,0.0184122946317,-0.569076072249,1.0,61.13
104602007,-0.940601988023,0.456947430805,1.0,85.72
104602008,-0.945961607826,0.317979498587,1.0,72.53
104602009,-0.997302097625,0.400247320969,1.0,79.78
104602010,-1.22369240797,0.441073635791,1.0,76.68
104602011,-0.554755354593,0.117491796255,1.0,70.97
104602012,-0.597523117906,0.0365502295293,1.0,88.14
104602013,-0.894621117861,0.235711676028,1.0,66.43
104602014,1.82381962548,-0.786880330402,0.0,50.89
104602016,0.364553804293,-0.910063026688,0.0,25.71
104602017,-0.560470505669,0.226298056,0.0,52.83
104602018,-0.244285604084,0.0080497077135,0.0,54.02
104602019,-0.0940172005327,-0.528810353179,1.0,80.67
104602020,-0.675067149644,0.531613251193,1.0,77.99
104602021,0.34998562902,-0.581066969853,1.0,80.61
104602022,-0.851367992225,0.393486212369,1.0,83.56
104602023,-0.37087314582,0.644938237136,1.0,95.5
104602024,0.934952436842,0.194768855843,1.0,72.67
104602025,0.475356110233,-0.0930453547111,1.0,61.38
104602026,4.81567019658,0.525322883787,0.0,25.57
104602027,-0.6574363344,0.282027441388,0.0,57.3
104602028,-0.936418156729,0.308436047638,1.0,104.16
104602029,0.302623905634,-0.781123907473,1.0,67.13
104602030,1.07584849225,-1.42033005282,0.0,54.11
104602031,0.99266454298,-1.00725455586,0.0,50.2
104602032,-0.919983766199,0.47756565263,0.0,51.06
104602033,0.305741143131,-0.186312714754,1.0,82.94
104602035,-1.00503393089,0.392515487938,1.0,80.48
104602037,-0.615078699822,0.0953422547888,1.0,61.61
104602501,-0.192869880706,-0.265011899308,0.0,56.93
104602502,-0.320557977633,-0.106396469482,1.0,67.38
104602503,0.871156323099,-0.174417686479,0.0,48.27
104602504,0.385172026067,-0.889444804804,1.0,71.49
104602505,-0.876655407305,0.444546404347,1.0,81.71
104602506,-0.367024210023,0.0380063158918,1.0,63.62
104602507,0.130205960648,-0.304587191999,0.0,39.87
104602508,0.381958919179,-0.587267483113,1.0,60.32
104602509,1.28823122295,-1.24612112588,0.0,47.45
104602510,-0.829628579093,0.186182803863,1.0,70.1
104602511,-0.839452327935,0.252706662197,1.0,78.77
104602513,-1.0246061947,0.334769420594,1.0,93.69
104602514,-0.565625060912,0.221143500641,1.0,74.75
104602515,0.245882524075,0.574565443048,1.0,60.84
104602516,-0.967906084928,0.391469530254,0.0,56.89
104602517,-0.446865221805,0.473511652273,1.0,82.97
104602519,-0.839452327975,0.252706662384,1.0,94.97
104602520,1.53729039848,0.0718045496157,0.0,48.24
104602521,-0.620513552978,0.147168106982,1.0,80.87
104602522,0.446035330987,-0.275061348192,0.0,59.34
104602524,0.252944566685,-0.334543799969,1.0,68.02
104602525,0.465252063724,0.0304589110777,0.0,59.69
104602526,-0.737817305762,0.125298862967,1.0,76.48
