number_of_comp,pMAPC,pMSE,r2,r2_adj
1.0,0.811795837101,250.443127368,0.115323739656,0.0998031035095
2.0,0.824203229614,237.191024625,0.264799745397,0.238542593447
3.0,0.835628499706,213.887189497,0.367669093885,0.333178317188
4.0,0.834734757747,218.739394754,0.38346003016,0.337790402765
