username,active_avg_count,active_sum_count,hw_mean,qz_mean,predict_score,real_score
101302503,242.666666667,259.333333333,9.95,8.33333333333,59.9332327208,61.0
102602012,2.5,4.5,0.0,0.0,40.6013974463,52.57
103602527,183.013888883,537.333333333,9.62777777783,8.05555555567,71.321042648,47.15
104602001,108.75,222.333333333,9.49444444467,8.33333333317,69.4739246667,58.21
104602002,50.7777777833,117.666666667,9.46111111117,8.361111111,70.9263770786,69.33
104602003,127.472222217,271.833333333,9.511111111,6.277777778,58.0237629231,55.3
104602005,195.083333333,387.166666667,9.86666666683,9.1666666665,71.9038854176,74.12
104602006,40.5833333333,66.8333333333,9.73888888883,6.6666666665,60.2807169749,61.13
104602007,164.861111117,477.5,9.66666666683,9.55555555567,79.2363692822,85.72
104602008,48.6111111117,128.166666667,9.82222222233,9.36111111133,76.3567646888,72.53
104602009,0.0,0.0,9.788888889,9.55555555533,77.3749218177,79.78
104602010,110.583333333,381.333333333,9.988888889,9.9444444445,82.074534584,76.68
104602011,68.9722222167,198.0,9.61666666683,8.49999999983,72.4164463804,70.97
104602012,99.9722222172,363.333333333,9.74999999983,8.4444444445,74.367982099,88.14
104602013,21.6666666667,21.6666666667,9.85555555567,9.16666666683,74.1244509312,66.43
104602014,0.0,0.0,8.02777777783,3.72222222217,47.8044829632,50.89
104602016,0.0,0.0,9.7333333335,5.66666666667,55.7626111153,25.71
104602017,68.8333333333,68.8333333333,9.50555555567,8.66666666667,69.8234185214,52.83
104602018,21.3333333333,21.3333333333,9.4,7.888888889,67.7804538472,54.02
104602019,39.8833333333,162.0,9.81666666667,6.88888888867,64.1828316229,80.67
104602020,0.666666666667,0.666666666667,9.29999999983,9.27777777767,76.6245951009,77.99
104602021,4.36666666667,19.8333333333,9.39444444433,6.16666666667,59.3796038765,80.61
104602022,106.300000005,256.5,9.63888888883,9.3333333335,75.9748978902,83.56
104602023,13.8333333333,26.8333333333,8.85,8.99999999983,75.6251895594,95.5
104602024,39.7166666667,97.3333333333,7.927777778,6.4444444445,63.0572402048,72.67
104602025,12.7777777783,31.0,8.73333333317,6.6944444445,63.151887308,61.38
104602026,38.1666666667,39.8333333333,3.38888888867,1.27777777783,40.3800856904,25.57
104602027,64.4833333333,117.666666667,9.55,8.88888888867,72.7149776419,57.3
104602028,2.91666666667,5.83333333333,9.82222222217,9.33333333317,76.0318833553,104.16
104602029,10.4583333333,25.3333333333,9.66111111133,5.9444444445,57.3977342233,67.13
104602030,6.46666666667,27.6666666667,9.51666666683,3.888888889,46.5297806467,54.11
104602031,29.9583333333,96.8333333333,9.16111111117,4.611111111,51.4326912178,50.2
104602032,0.0,0.0,9.62222222217,9.55555555567,77.6578384291,51.06
104602033,112.388888888,119.5,9.01666666667,6.8055555555,58.5268581528,82.94
104602035,48.0,100.0,9.80555555567,9.55555555567,76.703598919,80.48
104602037,190.833333333,337.833333333,9.7055555555,8.55555555567,67.6568020833,61.61
104602501,72.125,206.166666667,9.638888889,7.41666666667,66.3357045156,56.93
104602502,62.2083333333,137.833333333,9.60555555533,7.83333333333,67.4770622859,67.38
104602503,107.138888883,177.5,8.3944444445,6.0,57.1435732977,48.27
104602504,75.9277777783,207.5,9.68888888883,5.66666666683,56.2420334996,71.49
104602505,89.5,152.5,9.61111111133,9.4444444445,74.8789674992,81.71
104602506,15.1666666667,42.6666666667,9.5,8.111111111,69.9186549216,63.62
104602507,0.0,0.0,9.3333333335,6.88888888867,63.263690366,39.87
104602508,150.75,364.833333333,9.36666666683,6.11111111133,58.3092975772,60.32
104602509,134.625,319.833333333,9.09999999983,3.83333333317,45.9354199161,47.45
104602510,73.4722222167,216.666666667,9.83888888867,8.99999999983,75.0375433052,70.1
104602511,219.866666667,504.0,9.77777777783,9.111111111,73.2915409727,78.77
104602513,79.555555555,204.5,9.88888888867,9.50000000017,76.9462157741,93.69
104602514,23.2222222217,34.6666666667,9.5166666665,8.6666666665,72.1692520018,74.75
104602515,12.4166666667,24.3333333333,8.261111111,8.00000000017,71.075112694,60.84
104602516,65.7222222217,149.5,9.7666666665,9.5,76.5845760432,56.89
104602517,26.9583333333,84.3333333333,9.11666666683,8.861111111,75.090453066,82.97
104602519,110.416666667,290.833333333,9.77777777767,9.11111111133,75.1858301035,94.97
104602520,149.888888883,463.333333333,7.411111111,5.38888888883,60.4992732983,48.24
104602521,121.861111117,267.666666667,9.65555555533,8.638888889,71.249544904,80.87
104602522,171.669444455,505.5,8.961111111,6.47222222233,63.5307230198,59.34
104602524,55.8611111167,109.666666667,9.23333333317,6.66666666683,61.2513429028,68.02
104602525,0.0,0.0,8.61111111117,6.88888888867,64.4896623396,59.69
104602526,13.9583333333,55.8333333333,9.8055555555,8.77777777767,73.5892536677,76.48
