username,hw_mean,qz_mean,final_score
101302503,0.463522514167,-0.596374682379,61.0
102602012,-4.75557378883,-2.67932050175,52.57
103602527,0.327654698726,0.299515992663,47.15
104602001,0.398542254712,0.344310526299,58.21
104602002,0.318793754237,-1.12271045399,69.33
104602003,0.301071865174,-0.350004746666,55.3
104602005,0.366052124895,0.00835152317644,74.12
104602006,0.510780884735,-0.327607479946,61.13
104602007,0.428078736307,1.30739300204,85.72
104602008,0.519641829309,0.82585176427,72.53
104602009,0.493058995847,0.971433998775,79.78
104602010,0.537363718287,1.26259846826,76.68
104602011,0.454661569769,0.277118725677,70.97
104602012,0.472383458566,1.06102306639,88.14
104602013,0.510780884825,0.747461330185,66.43
104602014,-1.6040311995,-1.71623802615,50.89
104602016,0.490105347714,-0.529182881756,25.71
104602017,0.404449550978,1.15061213387,52.83
104602018,0.366052124804,0.635474995786,54.02
104602019,0.410356847244,-0.0364430105972,80.67
104602020,0.117945679074,1.12821486694,77.99
104602021,0.177018642354,-0.46199108113,80.61
104602022,0.289257272552,1.28499573518,83.56
104602023,-0.0947169885295,1.08342033318,95.5
104602024,-2.02049559031,0.0531460570146,72.67
104602025,-0.0592732106691,-1.12271045392,61.38
104602026,-2.95384840987,-2.09699156298,25.57
104602027,0.35719118032,1.24020120128,57.3
104602028,0.404449550888,0.949036731923,104.16
104602029,0.442846977147,0.0531460570146,67.13
104602030,0.428078736307,-1.44747082358,54.11
104602031,0.407403199111,-1.29068995555,50.2
104602032,0.439893328839,1.30739300204,51.06
104602033,-0.29851871174,-0.33880611334,82.94
104602035,0.528502773798,1.30739300204,80.48
104602037,0.4664761623,1.10581760016,61.61
104602501,0.493058995847,-0.965929585817,56.93
104602502,0.386727661825,-0.327607479882,67.38
104602503,-1.21414964206,-1.33548448925,48.27
104602504,0.448754273322,0.00835152330948,71.49
104602505,0.416264143685,0.725064063264,81.71
104602506,0.366052124804,-0.215621145551,63.62
104602507,0.366052124895,-0.506785614968,39.87
104602508,0.419217791818,-0.55158014854,60.32
104602509,0.312886457796,-1.60425169182,47.45
104602510,0.475337106699,0.344310526299,70.1
104602511,0.531456421931,-0.0812375443023,78.77
104602513,0.546224662595,1.21780393456,93.69
104602514,0.419217791643,0.209926925051,74.75
104602515,-1.9407470901,-0.999525486063,60.84
104602516,0.463522514077,0.747461330117,56.89
104602517,0.304025513482,0.691468162885,82.97
104602519,0.451707921455,1.26259846833,94.97
104602520,-2.33948959203,-0.573977415526,48.24
104602521,0.46647616221,0.736262696723,80.87
104602522,-0.921738474067,-0.540381515146,59.34
104602524,-0.0326903772073,-1.26829268856,68.02
104602525,-0.974904140901,-1.58185442497,59.69
104602526,0.510780884735,0.321913259447,76.48
