username,active_num_days,active_sum_count,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,predict_score,real_score
101302503,3.0,594.833333333,0.0,0.0,0.0,0.0,53.2120585068,61.0
102602012,0.0,0.0,0.0,0.0,0.0,0.0,42.1145500824,52.57
103602527,2.16666666667,569.166666667,0.0,0.0,0.0,0.0,52.4290705063,47.15
104602001,2.16666666667,327.0,3.5,1.66666666667,1.0,1.83333333333,70.205274431,58.21
104602002,2.33333333333,526.166666667,4.16666666667,1.83333333333,1.16666666667,2.5,70.8820803583,69.33
104602003,2.5,522.5,3.5,1.5,1.0,1.5,70.335407138,55.3
104602005,2.66666666667,392.833333333,7.33333333333,2.16666666667,1.33333333333,2.66666666667,65.4907449213,74.12
104602006,2.0,395.666666667,4.0,1.5,1.33333333333,1.83333333333,61.5220663197,61.13
104602007,2.33333333333,869.5,3.16666666667,2.0,1.83333333333,2.66666666667,79.7393099719,85.72
104602008,1.16666666667,220.333333333,3.83333333333,1.66666666667,1.0,1.83333333333,66.7655122426,72.53
104602009,1.0,360.5,3.83333333333,1.66666666667,1.0,2.0,67.9072534996,79.78
104602010,2.0,463.166666667,3.16666666667,1.83333333333,1.33333333333,2.0,75.5173942044,76.68
104602011,3.33333333333,593.5,3.83333333333,1.66666666667,1.5,1.83333333333,70.1895044722,70.97
104602012,3.83333333333,850.166666667,4.66666666667,2.0,1.16666666667,2.16666666667,82.6121793951,88.14
104602013,2.66666666667,591.333333333,3.66666666667,1.83333333333,1.16666666667,2.0,77.2624711156,66.43
104602014,0.0,0.0,0.333333333333,0.166666666667,0.166666666667,0.166666666667,43.9751524926,50.89
104602016,1.33333333333,70.1666666667,3.66666666667,1.33333333333,1.16666666667,1.5,55.1058569055,25.71
104602017,1.66666666667,453.833333333,6.66666666667,1.83333333333,1.0,2.5,61.2467570768,52.83
104602018,2.33333333333,628.5,5.5,2.0,1.5,2.66666666667,69.4582431167,54.02
104602019,3.5,716.0,6.16666666667,2.0,1.16666666667,2.16666666667,74.6320052693,80.67
104602020,2.16666666667,431.833333333,4.5,1.83333333333,1.33333333333,1.83333333333,71.1685430151,77.99
104602021,2.5,256.166666667,3.16666666667,1.5,0.833333333333,1.5,68.4173719003,80.61
104602022,1.33333333333,488.5,3.33333333333,1.66666666667,1.33333333333,1.66666666667,71.7865041691,83.56
104602023,1.83333333333,257.333333333,5.0,2.0,1.0,2.0,73.0457519356,95.5
104602024,1.83333333333,282.166666667,3.66666666667,1.16666666667,0.833333333333,1.33333333333,56.9247143406,72.67
104602025,2.5,313.0,3.83333333333,1.5,0.666666666667,1.5,68.073962015,61.38
104602026,0.833333333333,37.3333333333,0.0,0.0,0.0,0.0,43.0897734089,25.57
