evaluation_num,number_of_comp,kfold_split_num,pMAPC,pMSE
1,1,55,8.22929923263,13098.3471372
2,1,55,8.25220024575,12701.1899794
3,1,55,8.24995890883,12324.3810945
4,1,55,8.2605687339,12352.5414458
5,1,55,8.26482109807,12213.7065695
6,1,55,8.19070584473,13060.0242378
7,1,55,8.26109699618,12119.6435331
8,1,55,8.28427363359,12371.8121052
9,1,55,8.271006292,12262.6192198
10,1,55,8.25367646461,12407.3391338
11,1,55,8.24809441539,12430.7353207
12,1,55,8.2406759284,12603.1317357
13,1,55,8.25602145916,12519.7599145
14,1,55,8.22815331723,12792.8283527
15,1,55,8.22094738865,12992.1586184
16,1,55,8.21134455288,13079.7860813
17,1,55,8.27535906708,12639.1786313
18,1,55,8.24797669382,13065.4014909
19,1,55,8.23438690119,12579.4513913
20,1,55,8.22293122103,12683.7866961
21,1,55,8.23972365552,12649.8065758
22,1,55,8.24233961783,12690.9161035
23,1,55,8.23854369437,12591.419964
24,1,55,8.25033730353,12633.7071876
25,1,55,8.21484630535,13082.5461087
26,1,55,8.29153718025,12416.1116687
27,1,55,8.23447914747,12368.2477564
28,1,55,8.25026596575,12828.1502812
29,1,55,8.27776809439,12606.8204178
30,1,55,8.21566543154,12887.4945687
31,1,55,8.2718001406,12374.374014
32,1,55,8.24243064559,12709.9785843
33,1,55,8.2476913378,12510.7364667
34,1,55,8.27517783036,12527.8977114
35,1,55,8.21847919282,13107.6948958
36,1,55,8.242378022,12697.2446313
37,1,55,8.2113764611,13282.5674235
38,1,55,8.24952912735,12493.5927733
39,1,55,8.23792810222,12563.4045093
40,1,55,8.23915153556,12835.9801398
41,1,55,8.24361581848,12827.8021542
42,1,55,8.22735985049,12906.2902815
43,1,55,8.24173542971,12773.268183
44,1,55,8.26337197255,12135.6743962
45,1,55,8.26918668362,12441.4713968
46,1,55,8.26901617163,12150.4434664
47,1,55,8.28142530869,12427.7723697
48,1,55,8.26316179024,12406.2053855
49,1,55,8.2584616741,12286.3721381
50,1,55,8.2316372691,12744.993693
51,1,55,8.20903844439,12772.6796072
52,1,55,8.25592856302,12283.172834
53,1,55,8.23401507716,12673.2101225
54,1,55,8.21193018116,12449.7415172
55,1,55,8.29067665398,12247.4971923
56,1,55,8.21731100439,13018.6700098
57,1,55,8.26784773363,12385.9213943
58,1,55,8.20635222314,12817.3134722
59,1,55,8.20673496006,13135.9604854
60,1,55,8.23874410956,12625.4765727
61,1,55,8.26764397499,12649.000883
62,1,55,8.2532837066,12641.5567227
63,1,55,8.25808681301,12492.3824674
64,1,55,8.21223393462,12642.8316129
65,1,55,8.20717235831,13012.1304771
66,1,55,8.24238777117,12513.8715895
67,1,55,8.25398913203,12747.9827993
68,1,55,8.26284926581,12530.5722103
69,1,55,8.22476231436,12561.4779205
70,1,55,8.21789409463,12894.4346394
71,1,55,8.27727780739,12397.0926455
72,1,55,8.227459136,12766.7886429
73,1,55,8.2584969583,12699.7176339
74,1,55,8.26156596958,12505.543549
75,1,55,8.23922048465,12640.7634365
76,1,55,8.25016887725,12687.4953441
77,1,55,8.23681171137,12792.1722971
78,1,55,8.26851057775,12350.9577026
79,1,55,8.23605003677,12858.7862236
80,1,55,8.2136470938,13157.8121128
81,1,55,8.27428572964,12319.403491
82,1,55,8.25751672809,12464.1728851
83,1,55,8.22675444567,12843.5168684
84,1,55,8.24197182407,12448.8026155
85,1,55,8.22773385518,12352.5755586
86,1,55,8.24649551294,12648.6495034
87,1,55,8.24110716093,12641.9319776
88,1,55,8.19097254571,13363.9664742
89,1,55,8.18933772604,12982.7416701
90,1,55,8.27419095261,12157.7050875
91,1,55,8.23880244334,12671.5230742
92,1,55,8.26801935979,12602.7905783
93,1,55,8.21259406504,13160.7743145
94,1,55,8.22054551504,12965.0026183
95,1,55,8.23660439363,12766.0663117
96,1,55,8.22333157956,12698.75592
97,1,55,8.23119474658,12898.8752693
98,1,55,8.28833349507,12355.8369129
99,1,55,8.22441609711,12774.8716133
100,1,55,8.24457627541,12778.778395
