username,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,predict_score,real_score
101302503,0.0,0.0,0.0,0.0,9.9,7.0,51.8489826912,61.0
102602012,0.0,0.0,0.0,0.0,0.0,0.0,42.9800135615,52.57
103602527,0.0,0.0,0.0,0.0,9.488888889,7.777777778,57.2700615735,47.15
104602001,1.777777778,0.833333333,0.555555556,0.888888889,9.555555556,8.333333333,70.9448785247,58.21
104602002,2.166666667,1.277777778,0.833333333,1.5,9.588888889,6.722222222,71.4242480557,69.33
104602003,2.222222222,1.166666667,0.833333333,1.166666667,9.522222222,6.555555556,64.3288563786,55.3
104602005,5.555555556,1.611111111,1.055555556,1.888888889,9.766666667,8.333333333,78.1828264882,74.12
104602006,3.666666667,1.166666667,1.0,1.5,9.811111111,6.333333333,60.5467500312,61.13
104602007,2.777777778,1.388888889,1.111111111,1.666666667,9.666666667,9.777777778,85.3981027169,85.72
104602008,2.277777778,0.944444444,0.555555556,1.0,9.877777778,9.055555556,75.9503093225,72.53
104602009,2.611111111,1.055555556,0.666666667,1.166666667,9.777777778,9.444444444,79.582945887,79.78
104602010,2.722222222,1.0,0.722222222,1.055555556,9.977777778,9.888888889,77.7995929681,76.68
104602011,2.666666667,1.055555556,0.833333333,1.111111111,9.766666667,8.333333333,69.7645521544,70.97
104602012,5.0,1.388888889,0.944444444,1.777777778,9.833333333,8.888888889,79.3688059049,88.14
104602013,2.222222222,1.055555556,0.722222222,1.111111111,9.877777778,8.666666667,74.2404905395,66.43
104602014,0.388888889,0.166666667,0.111111111,0.166666667,7.188888889,3.111111111,40.6769996289,50.89
104602016,1.611111111,0.555555556,0.5,0.611111111,9.766666667,6.0,51.0374383853,25.71
104602017,2.444444444,0.722222222,0.388888889,0.944444444,9.577777778,9.0,74.9577507199,52.83
104602018,3.0,0.944444444,0.666666667,1.166666667,9.6,7.777777778,68.4875427754,54.02
104602019,3.055555556,0.944444444,0.611111111,1.0,9.8,6.444444444,59.2355944035,80.67
104602020,1.777777778,0.722222222,0.5,0.722222222,9.333333333,9.222222222,73.4242437952,77.99
104602021,1.333333333,0.611111111,0.333333333,0.611111111,9.322222222,6.0,56.7674315373,80.61
104602022,1.5,0.722222222,0.555555556,0.722222222,9.611111111,9.666666667,74.6863403727,83.56
104602023,2.111111111,0.777777778,0.444444444,0.888888889,8.3,9.333333333,80.3896605621,95.5
104602024,1.444444444,0.5,0.333333333,0.555555556,6.955555556,6.888888889,65.8294514127,72.67
104602025,3.5,1.0,0.555555556,1.055555556,8.333333333,5.388888889,59.3655716393,61.38
104602026,0.0,0.0,0.0,0.0,3.444444444,1.888888889,43.1041564039,25.57
104602027,2.611111111,0.888888889,0.555555556,0.888888889,9.6,9.444444444,75.7287873649,57.3
104602028,1.5,0.833333333,0.444444444,0.833333333,9.811111111,9.333333333,77.4567404308,104.16
104602029,3.5,1.111111111,0.833333333,1.333333333,9.755555556,6.888888889,63.9175618581,67.13
104602030,1.611111111,0.611111111,0.388888889,0.666666667,9.666666667,4.777777778,48.2694599827,54.11
104602031,2.0,0.666666667,0.555555556,0.722222222,9.488888889,5.222222222,48.9566515692,50.2
104602032,0.111111111,0.111111111,0.111111111,0.111111111,9.711111111,9.777777778,68.44204505,51.06
104602033,1.5,0.722222222,0.444444444,0.722222222,8.5,6.611111111,63.3499485442,82.94
104602035,3.166666667,1.333333333,1.166666667,1.722222222,9.877777778,9.777777778,82.8152904297,80.48
104602037,2.944444444,1.111111111,0.611111111,1.277777778,9.811111111,8.777777778,78.439726671,61.61
104602501,1.0,0.611111111,0.388888889,0.611111111,9.777777778,6.5,57.938407133,56.93
104602502,3.444444444,1.388888889,1.0,1.5,9.544444444,7.0,68.8179269532,67.38
104602503,3.055555556,1.0,0.444444444,1.0,7.888888889,5.0,60.7956849459,48.27
104602504,3.166666667,1.333333333,0.833333333,1.722222222,9.611111111,6.666666667,72.6159054136,71.49
104602505,3.666666667,1.222222222,0.833333333,1.5,9.455555556,8.888888889,79.2144114131,81.71
104602506,4.0,1.222222222,0.888888889,1.444444444,9.5,7.222222222,67.5326173973,63.62
104602507,1.0,0.666666667,0.5,0.722222222,9.266666667,6.444444444,59.545174066,39.87
104602508,2.777777778,1.055555556,1.111111111,1.444444444,9.466666667,6.555555556,60.436700983,60.32
104602509,1.5,0.611111111,0.5,0.666666667,9.233333333,4.333333333,45.4342657601,47.45
104602510,3.166666667,1.055555556,0.722222222,1.5,9.844444444,8.333333333,75.6702823777,70.1
