username,active_num_days,active_sum_count,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,predict_score,real_score
101302503,2.0,427.083333333,0.0,0.0,0.0,0.0,54.4956207764,61.0
102602012,0.25,2.25,0.0,0.0,0.0,0.0,45.8862355723,52.57
103602527,2.08333333333,553.25,0.0,0.0,0.0,0.0,56.3459363397,47.15
104602001,1.75,274.666666667,2.16666666667,1.08333333333,0.666666666667,1.16666666667,68.7655149909,58.21
104602002,1.83333333333,321.916666667,2.91666666667,1.58333333333,1.0,1.91666666667,79.9791805215,69.33
104602003,2.08333333333,397.166666667,2.66666666667,1.41666666667,0.916666666667,1.41666666667,74.7478186282,55.3
104602005,2.16666666667,390.0,6.16666666667,1.83333333333,1.16666666667,2.25,75.3112266079,74.12
104602006,1.66666666667,231.25,3.41666666667,1.33333333333,1.08333333333,1.66666666667,66.5196428505,61.13
104602007,2.41666666667,673.5,2.75,1.58333333333,1.33333333333,2.0,80.8937002431,85.72
104602008,1.5,174.25,3.16666666667,1.25,0.75,1.33333333333,67.2711974108,72.53
104602009,0.5,180.25,3.58333333333,1.41666666667,0.916666666667,1.58333333333,67.5256542597,79.78
104602010,1.5,422.25,3.33333333333,1.41666666667,1.0,1.5,70.9174355681,76.68
104602011,2.91666666667,395.75,3.41666666667,1.33333333333,1.08333333333,1.41666666667,68.1267556868,70.97
104602012,3.33333333333,606.75,5.0,1.58333333333,1.08333333333,2.0,77.6777447935,88.14
104602013,1.5,306.5,2.83333333333,1.41666666667,0.916666666667,1.5,72.8226620344,66.43
104602014,0.0,0.0,0.583333333333,0.25,0.166666666667,0.25,48.5519296225,50.89
104602016,0.666666666667,35.0833333333,2.41666666667,0.833333333333,0.75,0.916666666667,52.7458233817,25.71
104602017,1.0,261.333333333,3.66666666667,1.08333333333,0.583333333333,1.41666666667,65.9131516729,52.83
104602018,1.5,324.916666667,3.16666666667,1.16666666667,0.833333333333,1.5,67.5651878008,54.02
104602019,3.0,439.0,4.58333333333,1.41666666667,0.916666666667,1.5,70.4122308251,80.67
104602020,1.16666666667,216.25,2.66666666667,1.08333333333,0.75,1.08333333333,62.6634551395,77.99
104602021,1.91666666667,138.0,2.0,0.916666666667,0.5,0.916666666667,64.4366898575,80.61
104602022,1.83333333333,372.5,2.25,1.08333333333,0.833333333333,1.08333333333,65.8665159121,83.56
104602023,1.16666666667,142.083333333,3.16666666667,1.16666666667,0.666666666667,1.33333333333,65.9343353108,95.5
