username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050195,6.0,2111.0,6.0,15.0,12.0,12.0,15.0,2.0,235.0,42.0,38.0,135.0,2.0,5.0,4.0,1.0,5.0,4.333333333,80.0,4.0
Y1050196,3.0,169.0,1.0,2.0,0.0,1.0,2.0,0.0,11.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0
Y1050197,6.0,1502.0,4.0,13.0,10.0,5.0,12.0,2.0,67.0,21.0,7.0,23.0,2.0,9.0,3.0,1.0,4.0,9.333333333,65.0,8.0
Y1050198,2.0,568.0,2.0,8.0,6.0,7.0,8.0,2.0,43.0,6.0,12.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,70.0,2.0
Y1050199,3.0,1069.0,3.0,14.0,11.0,6.0,14.0,1.0,112.0,48.0,21.0,36.0,1.0,29.0,4.0,1.0,10.0,7.666666667,90.0,3.0
Y1050200,3.0,1040.0,2.0,7.0,5.0,6.0,6.0,1.0,115.0,22.0,29.0,58.0,1.0,14.0,4.0,5.0,4.0,8.666666667,45.0,3.0
Y1050201,4.0,1298.0,4.0,12.0,11.0,7.0,12.0,1.0,144.0,22.0,18.0,90.0,1.0,4.0,2.0,3.0,2.0,8.0,95.0,6.0
Y1050202,4.0,765.0,3.0,10.0,10.0,1.0,10.0,3.0,95.0,0.0,1.0,90.0,3.0,6.0,4.0,1.0,6.0,8.75,100.0,7.0
Y1050203,1.0,320.0,1.0,2.0,1.0,1.0,0.0,1.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0
Y1050204,3.0,635.0,3.0,9.0,5.0,6.0,6.0,2.0,65.0,33.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,8.5,97.0,9.0
Y1050205,3.0,997.0,3.0,12.0,12.0,4.0,10.0,7.0,115.0,6.0,12.0,62.0,8.0,2.0,2.0,1.0,2.0,9.5,95.0,8.0
Y1050206,4.0,1160.0,4.0,12.0,7.0,7.0,11.0,0.0,72.0,19.0,14.0,25.0,0.0,4.0,4.0,1.0,4.0,8.5,90.0,7.0
