username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,1.2,174.2,1.2,1.6,0.0,1.2,1.6,0.0,15.6,4.4,2.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,29.4,3.0
Y1050161,0.6,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0
Y1050162,2.2,1009.0,2.2,9.0,7.0,8.2,8.8,0.2,222.8,38.4,64.4,107.0,0.2,0.0,0.0,0.0,0.0,0.0,36.0,3.0
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050165,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050166,0.8,21.2,0.4,0.2,0.0,0.2,0.2,0.0,3.6,0.0,0.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0
Y1050167,0.8,276.2,0.6,4.0,1.8,1.4,3.4,0.2,11.0,0.8,0.6,6.8,0.2,0.0,0.0,0.0,0.0,0.0,39.2,3.0
Y1050168,0.6,32.8,0.2,0.4,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6.6,1.0
Y1050169,0.8,230.4,0.8,2.6,0.6,1.6,2.6,0.0,34.8,12.2,5.6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050170,1.0,286.8,1.0,3.8,3.4,1.8,3.8,0.8,28.0,1.0,2.4,20.8,0.8,0.6,0.6,0.2,0.6,1.967857143,0.0,1.0
Y1050171,2.4,451.0,2.2,7.6,7.4,0.6,7.0,1.8,16.2,0.2,0.6,12.6,1.8,0.0,0.0,0.0,0.0,0.0,15.6,1.0
Y1050172,0.4,22.2,0.2,0.2,0.0,0.0,0.2,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,1.0
Y1050173,2.8,529.6,1.4,4.8,2.8,2.6,4.6,1.2,45.0,5.8,3.6,29.8,1.2,0.4,0.4,0.2,0.4,0.571428571,84.6,7.0
Y1050174,5.2,554.0,0.8,1.8,1.4,0.6,1.6,0.4,9.0,0.8,0.2,7.2,0.4,5.8,2.6,2.0,3.6,6.647857143,80.0,8.0
Y1050175,2.6,558.4,2.6,8.0,5.0,4.6,7.0,0.8,40.4,3.4,5.0,25.6,0.8,0.6,0.4,0.4,0.4,0.642857143,36.6,3.0
Y1050176,4.2,1047.0,3.6,10.4,8.8,6.6,10.4,0.0,89.8,29.0,8.6,43.8,0.0,11.0,2.8,2.2,3.2,9.374285714,81.2,9.0
Y1050177,2.2,702.6,1.0,4.8,2.8,4.8,4.4,0.4,67.2,20.6,19.4,14.8,0.4,0.2,0.2,0.2,0.2,0.0,15.6,2.0
Y1050178,0.2,59.0,0.2,2.2,1.2,1.4,1.6,0.6,10.4,2.8,0.6,4.0,0.6,0.0,0.0,0.0,0.0,0.0,20.0,2.0
Y1050179,4.2,945.2,3.8,9.4,8.2,5.0,9.2,2.0,82.8,12.4,10.2,42.4,2.4,3.6,1.8,2.0,2.2,7.940714286,100.0,9.0
Y1050180,3.4,30.0,0.2,0.6,0.6,0.0,0.4,0.4,1.2,0.0,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,43.6,4.0
Y1050181,1.4,156.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0
Y1050182,4.4,896.2,3.8,11.2,8.2,7.0,11.0,2.8,98.8,5.6,13.4,64.0,2.8,2.2,1.6,2.2,2.0,6.821428571,91.0,9.0
Y1050183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050184,0.2,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,1.0
Y1050185,5.4,676.4,2.2,8.8,7.4,4.2,7.8,2.8,39.6,4.0,6.0,19.2,2.8,9.0,2.8,2.8,3.4,10.0,88.8,9.0
Y1050186,4.0,917.4,3.4,9.6,7.8,7.0,9.2,2.2,93.6,22.0,28.8,31.8,2.2,4.2,2.4,1.4,2.8,8.208571429,80.6,8.0
Y1050187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0
Y1050188,3.2,269.2,1.8,2.2,0.8,1.4,2.2,0.2,44.2,13.4,1.0,25.4,0.2,0.0,0.0,0.0,0.0,1.357142857,47.4,4.0
Y1050189,3.2,819.2,2.0,10.0,8.6,6.2,9.2,1.2,80.8,33.8,15.4,27.8,1.2,3.6,2.8,1.4,3.0,7.202857143,96.4,9.0
Y1050190,4.2,1361.2,2.8,11.6,8.8,10.0,11.0,1.4,191.0,27.2,43.4,96.4,1.4,4.8,2.4,1.2,3.8,6.342142857,87.0,9.0
Y1050191,3.4,659.4,2.6,9.4,3.0,8.4,8.2,0.0,179.0,138.6,8.4,20.6,0.0,0.2,0.2,0.2,0.2,0.357142857,42.0,4.0
Y1050192,2.4,1006.4,1.8,11.0,8.8,6.4,10.0,0.6,64.2,16.8,14.0,22.2,0.6,12.8,2.8,6.2,4.0,7.619285714,60.2,7.0
Y1050193,1.2,115.6,0.8,1.6,1.0,0.8,1.6,0.0,9.0,0.0,0.6,7.4,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0
Y1050194,1.8,423.8,1.2,3.6,1.8,3.0,3.6,0.2,57.2,5.8,22.2,22.8,0.2,0.0,0.0,0.0,0.0,0.0,17.0,2.0
Y1050195,4.2,1201.6,2.6,8.0,7.2,4.6,8.0,1.4,123.0,8.4,11.8,98.0,1.4,0.6,0.6,0.4,0.6,0.75,47.6,4.0
Y1050196,0.8,24.8,0.2,0.2,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
Y1050197,2.8,1881.6,2.6,22.8,20.8,20.4,21.2,4.8,475.4,226.4,95.2,94.6,5.0,2.2,2.0,2.2,2.0,4.571428571,83.6,8.0
Y1050198,1.0,114.6,0.8,1.6,1.2,1.2,1.6,0.2,11.6,1.2,4.2,3.6,0.2,0.0,0.0,0.0,0.0,0.0,29.8,2.0
Y1050199,1.4,258.4,1.2,4.4,2.8,2.8,4.0,0.6,45.6,22.6,6.4,13.0,0.6,4.4,1.2,2.0,1.4,3.392857143,24.0,3.0
Y1050200,2.4,581.0,2.0,5.6,4.0,3.8,5.6,0.0,114.2,1.2,18.6,84.2,0.0,0.0,0.0,0.0,0.0,0.0,24.2,3.0
Y1050201,3.6,859.6,3.0,15.6,11.4,11.6,14.6,1.0,122.4,21.0,16.2,63.4,1.0,5.4,1.6,1.6,2.8,6.353571429,60.2,6.0
Y1050202,4.0,901.0,3.0,9.6,9.2,2.4,9.6,3.0,91.4,4.8,1.8,77.4,3.0,1.8,1.2,0.8,1.4,6.512142857,72.0,7.0
Y1050203,0.2,2.4,0.2,0.2,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050204,2.2,585.4,2.0,12.4,10.2,4.2,11.8,3.6,52.8,4.6,10.2,30.6,3.8,0.8,0.8,0.6,0.8,6.265,87.4,9.0
Y1050205,3.0,668.0,2.4,10.0,8.6,5.0,9.8,3.0,61.8,1.8,13.2,35.4,3.0,3.6,1.6,0.6,1.6,7.327857143,84.0,8.0
Y1050206,3.0,659.6,2.6,8.8,5.2,3.2,8.0,1.2,31.0,6.0,3.6,13.4,1.2,0.0,0.0,0.0,0.0,1.642857143,84.8,7.0
Y1050207,0.8,485.2,0.8,11.0,6.2,9.6,8.2,1.0,155.4,101.8,11.4,24.2,1.0,0.0,0.0,0.0,0.0,0.0,56.6,4.0
Y1050208,5.6,1088.6,3.6,7.0,3.0,6.8,6.2,0.0,96.8,63.8,5.6,23.8,0.0,4.8,1.6,1.0,1.6,6.5,64.0,7.0
