username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,0.5,90.5,0.5,1.0,0.0,0.5,1.0,0.0,6.0,1.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0
Y1050161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,4.0
Y1050162,2.5,720.0,2.5,9.0,6.5,8.0,9.0,0.5,137.5,21.0,35.5,76.0,0.5,0.0,0.0,0.0,0.0,0.0,50.0,3.0
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050166,1.0,42.5,1.0,0.5,0.0,0.5,0.5,0.0,9.0,0.0,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Y1050167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0
Y1050168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050171,2.0,411.0,2.0,7.5,7.0,0.5,7.0,1.5,19.5,0.5,0.5,16.0,1.5,0.0,0.0,0.0,0.0,0.0,39.0,1.0
Y1050172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0
Y1050173,4.0,661.0,1.5,3.0,1.5,1.5,3.0,1.0,34.0,3.0,0.5,26.5,1.0,0.0,0.0,0.0,0.0,0.0,76.5,7.0
Y1050174,6.5,633.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8.5,3.0,3.5,5.5,5.833333333,74.5,8.0
Y1050175,3.0,538.0,3.0,10.0,6.0,4.5,9.0,1.5,43.5,4.5,4.5,27.0,1.5,0.0,0.0,0.0,0.0,0.0,54.5,3.0
Y1050176,5.0,1313.5,4.5,12.0,10.0,8.5,12.0,0.0,96.5,32.0,10.0,45.5,0.0,13.5,3.0,1.5,3.5,9.333333333,68.0,9.0
Y1050177,2.0,882.5,1.0,7.0,3.5,7.0,6.5,1.0,82.5,33.5,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,11.5,2.0
Y1050178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Y1050179,4.0,1015.5,3.5,10.0,9.0,4.5,10.0,1.5,82.5,14.0,9.5,37.5,2.5,6.5,3.0,3.5,4.0,8.528333333,97.5,9.0
Y1050180,3.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0
Y1050181,0.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Y1050182,4.5,1142.0,4.0,12.0,11.0,8.0,11.5,4.0,117.0,11.5,17.5,64.5,4.0,4.5,3.0,5.0,4.0,5.583333333,95.0,9.0
Y1050183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,1.0
Y1050185,6.0,887.0,3.0,12.5,10.0,5.0,10.0,3.5,49.5,1.5,7.0,30.5,3.5,11.0,3.0,2.0,3.5,10.0,74.5,9.0
Y1050186,4.0,1321.5,3.5,13.5,12.5,10.0,12.5,3.5,137.0,30.0,44.0,45.5,3.5,6.5,3.0,2.0,4.0,7.708333333,74.0,8.0
Y1050187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Y1050188,1.5,146.5,1.5,2.0,1.0,1.5,2.0,0.5,41.5,5.5,2.5,29.5,0.5,0.0,0.0,0.0,0.0,0.0,27.0,4.0
Y1050189,3.0,1062.0,1.5,13.0,11.0,8.0,12.5,2.0,112.5,45.5,23.0,37.5,2.0,4.5,3.0,2.0,3.5,6.695,94.5,9.0
Y1050190,4.5,1248.5,3.5,11.5,8.0,8.5,10.5,2.0,132.5,22.5,34.5,57.5,2.0,4.0,2.5,1.5,3.0,5.666666667,90.0,9.0
Y1050191,4.5,689.5,3.5,12.0,3.0,10.0,9.5,0.0,179.5,143.5,5.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,4.0
