evaluation_num,pmse,r_square,adj_r_square
1,276.222721736,0.636641723978,0.633757928137
2,259.086747363,0.659183309504,0.656478415135
3,312.987978436,0.588278721079,0.585011091882
4,332.983463439,0.561975580942,0.558499196663
5,216.522384929,0.715174769064,0.712914251359
6,213.409984451,0.719268988631,0.717040964731
7,288.16549465,0.62093155593,0.617923076216
8,365.857939867,0.5187307204,0.514911122943
9,388.310498002,0.489195413656,0.485141409003
10,307.13811642,0.595973945294,0.592767389304
11,362.22178378,0.523513916361,0.519732280776
12,358.005367736,0.529060417588,0.525322801854
13,205.279191976,0.729964671875,0.72782153435
14,395.154727044,0.480192145387,0.476066686224
15,186.187907216,0.755078378212,0.753134555817
16,208.896299436,0.725206533505,0.723025632977
17,316.560793302,0.583578847579,0.580273917798
18,368.16859757,0.51569115655,0.51184743557
19,359.166834939,0.527532560944,0.523782819364
20,195.523968228,0.742797219687,0.740755927779
21,265.147696705,0.651210409627,0.648442238275
22,172.109947553,0.773597286147,0.771800439211
23,228.741914361,0.699100540557,0.696712449609
24,255.535112966,0.663855321073,0.661187506161
25,451.315195089,0.406315634719,0.401603854042
26,298.166435324,0.607775778813,0.604662888168
27,339.631969122,0.553229777743,0.549683982329
28,285.914341821,0.623892843858,0.620907866428
29,321.039652517,0.577687114441,0.574335424873
30,268.06123784,0.647377780373,0.644579191328
31,239.943529137,0.684365331925,0.681860294876
32,510.461163232,0.328511836092,0.32318256495
33,305.808473491,0.597723029364,0.594530354994
34,246.981838948,0.675106759339,0.672528241556
35,254.902175799,0.664687920781,0.662026713803
36,240.165963946,0.684072729172,0.68156536988
37,308.680748697,0.593944683541,0.590722022299
38,325.684386431,0.571577180772,0.568176999667
39,454.306303786,0.402380968908,0.397637960725
40,216.186583138,0.715616500864,0.713359488966
41,358.824893923,0.527982368611,0.524236196934
42,369.690155529,0.513689617091,0.509830010878
43,342.342835158,0.549663758253,0.546089661096
44,299.791263457,0.605638392194,0.602508538164
45,289.162258088,0.619620359508,0.616601473472
46,229.315336204,0.698346230517,0.695952152982
47,404.601325197,0.46776558034,0.463541497645
48,362.416614801,0.523257625121,0.519473955479
49,329.431891851,0.566647509889,0.563208204412
50,247.657107841,0.674218474192,0.671632906527
51,316.784894794,0.583284052381,0.579976782955
52,296.615222429,0.609816327975,0.606719632165
53,329.776038831,0.566194800377,0.562751901968
54,351.149796739,0.538078605675,0.534412562863
55,333.043006034,0.561897255399,0.558420249489
56,257.160290547,0.661717474771,0.659032692825
57,385.374559878,0.493057505117,0.489034151983
58,353.114921936,0.535493573932,0.531807014995
59,440.454490113,0.4206023922,0.416003998487
60,357.300552966,0.529987568975,0.526257311586
61,310.715574384,0.591267964011,0.588024058964
62,313.507990246,0.587594669479,0.5843216113
63,294.841444249,0.612149651524,0.609071474155
64,260.431943505,0.657413765897,0.654694827531
65,252.885180623,0.667341185095,0.66470103577
66,329.145794453,0.567023857847,0.563587539258
67,327.656726809,0.56898265779,0.565561885233
68,284.45893482,0.625807364776,0.622837581957
69,376.21982127,0.505100142367,0.501172365719
70,228.934977587,0.69884657477,0.69645646822
71,275.67268957,0.637365265974,0.63448721253
72,240.036261315,0.684243347014,0.681737341831
73,304.42812697,0.599538811677,0.596360548277
74,367.701944627,0.516305017017,0.512466167945
75,317.567696827,0.582254312339,0.578938870373
76,357.531409625,0.529683887666,0.525951220108
77,430.885432928,0.433190046467,0.428691554773
78,297.269516247,0.608955634574,0.605852107864
79,301.358326258,0.60357699321,0.600430778871
80,581.000516731,0.235720563463,0.229654853649
81,356.502150962,0.53103783006,0.527315908077
82,264.122120467,0.652559507962,0.649802043739
83,356.321412843,0.531275582738,0.52755554768
84,439.147963614,0.422321067671,0.41773631424
85,245.899934602,0.676529954706,0.673962732124
86,283.752775739,0.626736284542,0.623773874102
87,379.122873932,0.501281310217,0.497323225377
88,281.706871021,0.629427578027,0.626486527059
89,391.999526566,0.484342666384,0.480250147863
90,313.311151169,0.587853602224,0.584582599067
91,305.788107708,0.597749819615,0.594557357866
92,302.601019217,0.601942287823,0.598783099632
93,311.415075068,0.59034780306,0.587096595147
94,397.04423723,0.477706581712,0.473561395852
95,356.826931904,0.530610595682,0.526885282949
96,226.763486123,0.701703071838,0.6993356359
97,303.749021861,0.600432143188,0.597260969721
98,346.354433737,0.544386684976,0.540770706285
99,290.347845419,0.618060773946,0.615029510248
100,447.774827866,0.410972824839,0.406298005989
