username,week,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,mt_mean,hw_mean,qz_mean
101302503,1,3,796,3,7,7,4,7,7,48,9,3,22,9,0,0,0,0,0,9.9,7
101302503,2,3,418,3,7,4,2,5,4,21,1,1,11,5,0,0,0,0,0,9.9,7
101302503,3,4,1027,3,12,8,3,4,8,56,6,1,8,8,0,0,0,0,0,10,4
101302503,4,3,645,3,12,11,1,4,11,28,1,0,8,11,0,0,0,0,0,10,10
101302503,5,3,646,3,9,7,4,7,7,75,5,13,28,8,0,0,0,0,0,9.9,10
101302503,6,2,37,1,1,0,0,1,0,4,0,0,3,0,0,0,0,0,0,9.9,7
101302503,7,1,204,1,7,6,2,6,6,24,1,3,9,7,0,0,0,0,0,10,7
101302503,8,1,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
101302503,9,2,200,1,8,7,2,4,7,30,0,11,8,8,0,0,0,0,0,10,9
101302503,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,10
101302503,12,1,436,1,33,32,5,6,33,69,0,13,14,38,0,0,0,0,0,9.9,7
101302503,13,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
101302503,14,1,83,1,5,4,2,3,4,17,0,7,4,5,0,0,0,0,0,9.4,10
101302503,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0
101302503,18,1,687,1,26,25,9,18,25,134,5,15,63,26,0,0,0,0,0,9.9,7
102602012,11,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102602012,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102602012,15,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102602012,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103602527,1,1,291,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9.488888889,7.777777778
