username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,mt_mean,hw_mean,qz_mean,counseling_join_num,final_score
101302503,3.25,721.5,3.0,9.5,7.5,2.5,5.0,7.5,38.25,4.25,1.25,12.25,8.25,0.0,0.0,0.0,0.0,0.0,9.95,7.0,0,61.0
102602012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52.57
103602527,2.25,690.75,1.25,4.75,3.25,1.75,3.25,2.75,274.5,5.5,1.25,8.5,2.75,0.0,0.0,0.0,0.0,0.0,9.17222222225,7.388888889,0,47.15
104602001,2.0,390.0,1.75,8.75,4.75,5.75,3.25,4.75,35.25,1.0,3.25,6.0,5.25,4.5,2.0,1.0,2.25,5.56424603175,9.438888889,9.1666666665,0,58.21
104602002,2.75,721.0,2.25,10.25,3.25,6.0,7.75,2.5,66.25,2.5,1.0,17.75,2.5,6.0,2.5,1.5,3.5,6.05777777775,9.84722222225,8.361111111,0,69.33
104602003,3.0,619.75,1.75,3.5,2.0,2.75,1.5,1.25,42.0,19.5,3.0,6.25,1.25,5.25,2.25,1.5,2.25,4.81737499975,9.5555555555,7.277777778,0,55.3
104602005,3.0,518.25,0.75,1.5,0.75,1.25,1.25,0.75,9.25,1.75,1.5,3.0,0.75,10.25,3.0,1.75,3.75,7.8969625605,9.81666666675,9.1666666665,0,74.12
104602006,2.25,470.25,1.5,6.0,3.0,4.0,5.5,2.5,52.0,16.75,8.25,18.25,2.5,5.0,1.75,1.5,2.25,5.26591008775,9.77777777775,5.6666666665,0,61.13
104602007,3.25,1266.5,3.25,8.0,6.25,3.5,6.75,5.75,221.5,35.5,9.5,38.5,5.75,4.5,2.75,2.5,3.75,8.1756763285,9.54166666675,9.888888889,0,85.72
104602008,1.25,327.75,1.25,3.75,3.75,0.75,3.0,3.5,17.0,0.5,1.0,6.5,3.5,5.75,2.5,1.5,2.75,7.57696078425,9.8944444445,9.527777778,0,72.53
104602009,1.5,540.75,0.5,1.25,1.0,0.75,1.25,0.75,9.0,4.0,0.5,3.25,0.75,5.75,2.5,1.5,3.0,7.03885599425,9.6194444445,9.722222222,0,79.78
104602010,2.0,598.75,0.75,4.5,1.25,4.0,2.0,1.0,81.75,60.75,4.0,4.0,1.0,4.25,2.25,1.5,2.5,6.80134803925,9.9944444445,9.9444444445,0,76.68
104602011,3.5,840.5,2.25,8.75,6.25,4.75,6.5,4.5,48.0,3.0,5.75,23.75,4.5,5.5,2.25,2.0,2.5,6.954699074,9.94166666675,9.1666666665,0,70.97
104602012,4.25,1054.75,3.0,10.5,5.25,8.0,9.25,4.5,93.75,16.0,14.0,38.25,4.75,6.75,2.75,1.5,3.0,8.3991563145,9.95833333325,8.6944444445,1,88.14
104602013,2.5,623.5,2.0,8.0,6.5,4.75,7.0,6.0,97.5,13.5,13.75,27.75,7.0,4.5,2.25,1.5,2.5,7.85193287025,9.8694444445,7.8333333335,0,66.43
