username,week
Bryan,1
Bryan,2
Bryan,3
Y1050185,1
Y1050185,2
Y1050185,3
Y1050211,1
Y1050211,2
Y1050211,3
Y1050240,1
Y1050240,2
Y1050240,3
Y1050274,1
Y1050274,2
Y1050274,3
Y1050275,1
Y1050275,2
Y1050275,3
Y1050276,1
Y1050276,2
Y1050276,3
Y1050277,1
Y1050277,2
Y1050277,3
Y1050278,1
Y1050278,2
Y1050278,3
Y1050279,1
Y1050279,2
Y1050279,3
Y1050280,1
Y1050280,2
Y1050280,3
Y1050281,1
Y1050281,2
Y1050281,3
Y1050282,1
Y1050282,2
Y1050282,3
Y1050283,1
Y1050283,2
Y1050283,3
Y1050284,1
Y1050284,2
Y1050284,3
Y1050286,1
Y1050286,2
Y1050286,3
Y1050287,1
Y1050287,2
Y1050287,3
Y1050289,1
Y1050289,2
Y1050289,3
Y1050291,1
Y1050291,2
Y1050291,3
Y1050292,1
Y1050292,2
Y1050292,3
Y1050293,1
Y1050293,2
Y1050293,3
Y1050294,1
Y1050294,2
Y1050294,3
Y1050295,1
Y1050295,2
Y1050295,3
Y1050296,1
Y1050296,2
Y1050296,3
Y1050297,1
Y1050297,2
Y1050297,3
Y1050298,1
Y1050298,2
Y1050298,3
Y1050299,1
Y1050299,2
Y1050299,3
Y1050300,1
Y1050300,2
Y1050300,3
Y1050301,1
Y1050301,2
Y1050301,3
Y1050302,1
Y1050302,2
Y1050302,3
Y1050303,1
Y1050303,2
Y1050303,3
Y1050304,1
Y1050304,2
Y1050304,3
Y1050305,1
Y1050305,2
Y1050305,3
Y1050306,1
Y1050306,2
Y1050306,3
Y1050307,1
Y1050307,2
Y1050307,3
Y1050308,1
Y1050308,2
Y1050308,3
Y1050310,1
Y1050310,2
Y1050310,3
Y1050311,1
Y1050311,2
Y1050311,3
Y1050312,1
Y1050312,2
Y1050312,3
Y1050313,1
Y1050313,2
Y1050313,3
Y1050314,1
Y1050314,2
Y1050314,3
Y1050315,1
Y1050315,2
Y1050315,3
Y1050316,1
Y1050316,2
Y1050316,3
Y1050317,1
Y1050317,2
Y1050317,3
Y1050318,1
Y1050318,2
Y1050318,3
Y1050319,1
Y1050319,2
Y1050319,3
Y1050320,1
Y1050320,2
Y1050320,3
Y1050321,1
Y1050321,2
Y1050321,3
Y1050322,1
Y1050322,2
Y1050322,3
Y1050323,1
Y1050323,2
Y1050323,3
Y1050324,1
Y1050324,2
Y1050324,3
Y1050325,1
Y1050325,2
Y1050325,3
Y1050326,1
Y1050326,2
Y1050326,3
Y1050327,1
Y1050327,2
Y1050327,3
Y1050328,1
Y1050328,2
Y1050328,3
Y1050329,1
Y1050329,2
Y1050329,3
Y1050330,1
Y1050330,2
Y1050330,3
Y1050331,1
Y1050331,2
Y1050331,3
Y1050332,1
Y1050332,2
Y1050332,3
Y1050333,1
Y1050333,2
Y1050333,3
Y1050334,1
Y1050334,2
Y1050334,3
Y1050335,1
Y1050335,2
Y1050335,3
Y1050336,1
Y1050336,2
Y1050336,3
Y1050337,1
Y1050337,2
Y1050337,3
Y1050338,1
Y1050338,2
Y1050338,3
Y1050339,1
Y1050339,2
Y1050339,3
Y1050340,1
Y1050340,2
Y1050340,3
Y1050341,1
Y1050341,2
Y1050341,3
Y1050342,1
Y1050342,2
Y1050342,3
Y1050344,1
Y1050344,2
Y1050344,3
Y1050345,1
Y1050345,2
Y1050345,3
Y1050346,1
Y1050346,2
Y1050346,3
Y1050347,1
Y1050347,2
Y1050347,3
Y1050348,1
Y1050348,2
Y1050348,3
Y1050349,1
Y1050349,2
Y1050349,3
Y1050350,1
Y1050350,2
Y1050350,3
Y1050351,1
Y1050351,2
Y1050351,3
Y1050352,1
Y1050352,2
Y1050352,3
Y1050353,1
Y1050353,2
Y1050353,3
Y1050354,1
Y1050354,2
Y1050354,3
Y1050355,1
Y1050355,2
Y1050355,3
Y1050356,1
Y1050356,2
Y1050356,3
Y1050357,1
Y1050357,2
Y1050357,3
Y1050358,1
Y1050358,2
Y1050358,3
Y1050359,1
Y1050359,2
Y1050359,3
Y1050360,1
Y1050360,2
Y1050360,3
Y1050361,1
Y1050361,2
Y1050361,3
Y1050362,1
Y1050362,2
Y1050362,3
Y1050364,1
Y1050364,2
Y1050364,3
Y1050365,1
Y1050365,2
Y1050365,3
Y1050366,1
Y1050366,2
Y1050366,3
Y1050367,1
Y1050367,2
Y1050367,3
Y1050368,1
Y1050368,2
Y1050368,3
Y1050369,1
Y1050369,2
Y1050369,3
Y1050370,1
Y1050370,2
Y1050370,3
Y1050371,1
Y1050371,2
Y1050371,3
Y1050372,1
Y1050372,2
Y1050372,3
Y1050373,1
Y1050373,2
Y1050373,3
Y1050374,1
Y1050374,2
Y1050374,3
Y1050375,1
Y1050375,2
Y1050375,3
Y1050376,1
Y1050376,2
Y1050376,3
Y1050377,1
Y1050377,2
Y1050377,3
Y1050378,1
Y1050378,2
Y1050378,3
Y1050379,1
Y1050379,2
Y1050379,3
Y1050380,1
Y1050380,2
Y1050380,3
Y1050381,1
Y1050381,2
Y1050381,3
Y1050382,1
Y1050382,2
Y1050382,3
Y1050383,1
Y1050383,2
Y1050383,3
Y1050384,1
Y1050384,2
Y1050384,3
Y1050385,1
Y1050385,2
Y1050385,3
Y1050386,1
Y1050386,2
Y1050386,3
Y1050387,1
Y1050387,2
Y1050387,3
