username,final_score
Y1050274,8
Y1050275,2
Y1050276,4
Y1050277,1
Y1050278,5
Y1050279,7
Y1050280,1
Y1050281,1
Y1050282,1
Y1050283,2
Y1050284,3
Y1050285,0
Y1050286,7
Y1050287,5
Y1050288,0
Y1050289,6
Y1050290,0
Y1050291,4
Y1050292,5
Y1050293,8
Y1050294,4
Y1050295,3
Y1050296,2
Y1050297,1
Y1050298,1
Y1050299,1
Y1050300,1
Y1050301,1
Y1050302,1
Y1050303,2
Y1050304,1
Y1050305,2
Y1050306,1
Y1050307,1
Y1050308,1
Y1050309,0
Y1050310,1
Y1050311,2
Y1050312,1
Y1050313,3
Y1050314,3
Y1050315,2
Y1050316,1
Y1050317,5
Y1050318,4
Y1050319,7
Y1050320,1
Y1050321,2
Y1050322,9
Y1050323,8
Y1050324,3
Y1050325,2
Y1050326,2
Y1050327,0
Y1050328,7
Y1050329,2
Y1050330,1
Y1050331,1
Y1050332,4
Y1050333,1
Y1050334,2
Y1050335,1
Y1050336,5
Y1050337,1
Y1050338,1
Y1050339,2
Y1050340,1
Y1050341,2
Y1050342,5
Y1050343,0
Y1050344,4
Y1050345,1
Y1050346,5
Y1050347,2
Y1050348,1
Y1050349,6
Y1050350,1
Y1050351,7
Y1050352,8
Y1050353,5
Y1050354,5
Y1050355,1
Y1050356,3
Y1050357,2
Y1050358,5
Y1050359,2
Y1050360,3
Y1050361,3
Y1050362,8
Y1050363,0
Y1050364,7
Y1050365,9
Y1050366,1
Y1050367,9
Y1050368,2
Y1050369,1
Y1050370,2
Y1050371,4
Y1050372,5
Y1050373,2
Y1050374,3
Y1050375,3
Y1050376,9
Y1050377,4
Y1050378,9
Y1050379,6
Y1050380,8
Y1050381,5
Y1050382,2
Y1050383,1
Y1050384,3
Y1050385,4
Y1050386,3
Y1050387,1
Y1050388,2
Y1050389,0
Y1050390,1
Y1050391,1
Y1050392,2
Y1050393,0
Y1050394,2
Y1050395,1
Y1050396,2
Y1050397,2
Y1050398,0
Y1050399,0
Y1050400,2
Y1050401,1
Y1050402,0
Y1050403,2
Y1050404,1
Y1050405,1
Y1050406,1
Y1050407,1
Y1050408,1
Y1050409,1
Y1050410,2
Y1050411,1
Y1050412,3
Y1050413,6
Y1050414,5
Y1050415,3
Y1050416,6
Y1050417,6
Y1050418,2
Y1050419,1
Y1050420,7
Y1050421,6
Y1050422,4
Y1050423,1
Y1050424,3
Y1050425,1
Y1050426,4
Y1050427,9
Y1050428,2
Y1050429,1
Y1050430,0
Y1050431,0
Y1050432,0
Y1050433,0
Y1050434,2
Y1050435,1
Y1050436,1
Y1050437,0
Y1050438,1
Y1050439,1
Y1050440,1
Y1050441,0
Y1050442,1
Y1050443,0
Y1050444,1
Y1050445,2
Y1050446,0
Y1050447,1
Y1050448,2
Y1050449,2
Y1050450,1
Y1050451,0
Y1050452,4
Y1050453,2
Y1050454,9
Y9999984,6
Y9999985,5
