username,active_num_days,active_avg_count,active_sum_count,problem_avg_count,problem_sum_count,video_num_days,num_watched,pause_video_sum,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
104602001.0,2.166666667,109.775,327.0,9.416666667000001,16.83333333,1.6666666669999999,6.5,2.833333333,0.329606625,3.5,1.6666666669999999,1.0,1.8333333330000001,9.477777778,9.166666667000001,1,58.21
104602002.0,2.333333333,158.65277780000002,526.1666667,14.5,35.0,2.0,7.666666667,6.0,0.7162698409999999,4.166666667,1.8333333330000001,1.166666667,2.5,9.761111111,7.944444444,1,69.33
104602003.0,2.5,186.0694445,522.5,13.0,29.66666667,1.6666666669999999,3.166666667,1.6666666669999999,0.5083333329999999,3.5,1.5,1.0,1.5,9.544444444,7.6111111110000005,0,55.3
104602005.0,2.666666667,142.52777780000002,392.8333333,21.58333333,33.66666667,0.833333333,1.8333333330000001,1.5,0.591666667,7.333333333,2.166666667,1.333333333,2.666666667,9.8,9.166666667000001,1,74.12
104602006.0,2.0,132.9027778,395.6666667,7.083333333,14.16666667,1.333333333,5.333333333,4.833333333,0.608134921,4.0,1.5,1.333333333,1.8333333330000001,9.788888888999999,6.5,0,61.13
104602007.0,2.333333333,190.4888889,869.5,4.977777778,26.83333333,2.333333333,5.666666667,4.666666667,0.530112045,3.166666667,2.0,1.8333333330000001,2.666666667,9.583333334,9.888888889,1,85.72
104602008.0,1.166666667,44.61666667,220.33333330000002,13.83333333,13.83333333,0.833333333,2.5,2.0,0.133333333,3.833333333,1.6666666669999999,1.0,1.8333333330000001,9.888888889,9.111111111,1,72.53
104602009.0,1.0,225.61111110000002,360.5,20.58333333,27.16666667,0.333333333,0.833333333,0.833333333,0.333333333,3.833333333,1.6666666669999999,1.0,2.0,9.672222222,9.722222222000001,1,79.78
104602010.0,2.0,178.5555556,463.16666669999995,20.41666667,26.66666667,1.0,5.5,2.333333333,0.2,3.166666667,1.8333333330000001,1.333333333,2.0,9.988888889,9.944444445,1,76.68
104602011.0,3.333333333,176.8011905,593.5,20.86666667,38.5,1.6666666669999999,6.833333333,5.0,0.523611111,3.833333333,1.6666666669999999,1.5,1.8333333330000001,9.883333334,9.166666667000001,1,70.97
104602012.0,3.833333333,263.9583333,850.1666667000002,24.01388889,47.0,2.333333333,9.0,7.833333333,0.8611111109999999,4.666666667,2.0,1.166666667,2.166666667,9.916666667000001,8.944444445,1,88.14
104602013.0,2.666666667,193.38888889999998,591.3333332999999,11.25,16.5,2.166666667,7.166666667,6.333333333,0.7715277779999999,3.666666667,1.8333333330000001,1.166666667,2.0,9.872222222000001,8.333333334,1,66.43
104602016.0,1.333333333,32.88888889,70.16666667,0.0,0.0,1.0,2.833333333,1.6666666669999999,0.424242424,3.666666667,1.333333333,1.166666667,1.5,9.7,7.0,0,25.71
