username,active_num_days,problem_num_days,video_num_days,complete_rate,pause_video_sum,pause_video_avg,all_type_video_backward_seek_sum,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050197,3.333333333,2.5,2.833333333,0.867760181,19.66666667,0.925584465,104.5,3.333333333,2.166666667,2.333333333,5.4117647060000005,80.5,3
Y1050198,1.166666667,0.833333333,1.0,0.375,2.666666667,0.666666667,6.333333333,0.0,0.0,0.0,0.0,36.5,0
Y1050199,1.666666667,1.0,1.5,0.350396826,5.666666667,0.472222222,11.33333333,8.5,1.666666667,2.833333333,4.147058824,35.0,1
Y1050200,2.5,1.333333333,2.0,0.609704185,5.666666667,0.976190476,29.5,2.333333333,0.666666667,0.666666667,1.529411765,27.66666667,1
Y1050201,3.666666667,2.333333333,3.166666667,0.803907127,14.16666667,0.9559133,31.5,5.166666667,1.666666667,2.666666667,6.644117647000001,66.0,2
Y1050202,4.0,2.833333333,3.0,0.965079365,9.666666667000001,1.0,12.66666667,2.5,1.666666667,2.166666667,6.907058824,76.66666667,2
Y1050203,0.333333333,0.166666667,0.333333333,0.083333333,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,12.83333333,0
Y1050204,2.333333333,1.666666667,2.166666667,0.727147822,10.83333333,0.918540241,15.5,0.666666667,0.666666667,0.666666667,6.659411765,89.0,3
Y1050205,3.166666667,1.833333333,2.5,0.7061923590000001,9.833333332999999,0.797979798,19.66666667,3.333333333,1.666666667,1.666666667,7.711176471,85.83333333,3
Y1050206,3.166666667,3.0,2.833333333,0.626165501,8.5,0.93482906,7.833333333,0.666666667,0.666666667,0.666666667,2.8529411760000003,85.66666667,2
Y1050207,1.0,0.666666667,1.0,0.528409091,8.833333332999999,0.7305871209999999,16.16666667,0.0,0.0,0.0,0.0,63.83333333,1
Y1050208,5.0,4.0,3.333333333,0.596891535,5.666666667,0.915343915,7.666666667,5.166666667,1.833333333,2.5,6.647058824,65.83333333,2
Y1050209,5.333333333,4.333333333,3.5,0.494444445,10.83333333,1.0,10.33333333,5.333333333,3.0,4.5,8.197058823999999,81.5,3
Y1050210,0.833333333,0.5,0.5,0.104166667,1.5,0.333333333,0.666666667,0.0,0.0,0.0,0.0,27.5,0
Y1050211,1.5,1.166666667,1.166666667,0.534090909,5.5,0.636363636,24.83333333,1.5,0.666666667,0.666666667,1.897058824,33.83333333,1
Y1050212,1.666666667,1.333333333,1.166666667,0.375,3.666666667,0.5,19.0,0.0,0.0,0.0,0.0,18.33333333,0
Y1050213,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333,0
Y1050214,2.333333333,1.666666667,2.333333333,0.436363636,4.666666667,0.6527777779999999,18.5,0.5,0.5,0.5,0.279411765,22.16666667,0
Y1050215,1.666666667,1.0,1.166666667,0.456699347,5.833333333,0.47630719,5.0,0.0,0.0,0.0,0.0,31.66666667,0
Y1050216,0.666666667,0.166666667,0.166666667,0.0,0.166666667,0.041666667,0.833333333,0.0,0.0,0.0,0.0,3.333333333,0
Y1050217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666667,0
Y1050218,0.333333333,0.333333333,0.333333333,0.111111111,1.0,0.166666667,2.666666667,0.0,0.0,0.0,0.0,4.166666667,0
Y1050219,1.666666667,1.0,1.166666667,0.0625,1.833333333,0.4166666670000001,1.166666667,1.0,0.666666667,1.0,1.294117647,34.0,0
Y1050220,1.833333333,0.833333333,1.833333333,0.582894737,8.833333332999999,0.65,35.0,0.0,0.0,0.0,0.0,35.0,1
Y1050221,2.833333333,1.833333333,1.5,0.074074074,2.333333333,0.625,1.0,3.666666667,2.333333333,3.0,7.149411765,80.5,3
Y1050222,3.0,1.833333333,1.833333333,0.311111111,4.333333333,0.7857142859999999,4.166666667,0.0,0.0,0.0,0.0,64.16666667,1
Y1050223,1.333333333,1.166666667,1.166666667,0.274621212,4.5,0.4375,8.166666667000001,0.5,0.5,0.5,0.235294118,24.66666667,0
Y1050224,2.5,1.666666667,2.0,0.492216117,7.0,0.8214285720000001,16.83333333,1.0,0.666666667,0.666666667,2.470588235,86.16666667,2
Y1050225,4.5,3.166666667,4.0,0.7675925929999999,9.333333332999999,0.894444445,31.33333333,7.0,2.5,3.833333333,7.723529412,71.33333333,2
Y1050226,1.333333333,0.333333333,1.0,0.396011396,7.333333333,0.5085470089999999,11.5,0.333333333,0.333333333,0.333333333,0.0,60.83333333,1
Y1050227,1.166666667,0.666666667,0.833333333,0.216666667,2.5,0.476190476,2.0,0.333333333,0.333333333,0.333333333,0.0,18.0,0
Y1050228,3.166666667,2.333333333,3.0,0.562349501,11.5,0.8240740740000001,24.5,2.333333333,2.0,2.166666667,5.674117647,66.33333333,2
Y1050229,5.0,3.0,3.166666667,0.76043771,10.83333333,0.833333333,21.16666667,9.333333332999999,3.0,5.0,9.980588235,100.0,3
Y1050230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050231,0.333333333,0.0,0.333333333,0.333333333,2.333333333,0.216666667,0.0,1.0,0.333333333,0.333333333,0.352941176,6.666666667,0
Y1050232,1.166666667,0.833333333,1.0,0.5625,2.833333333,0.666666667,11.83333333,0.0,0.0,0.0,0.0,15.0,0
Y1050233,0.5,0.166666667,0.5,0.236111111,1.5,0.444444445,6.5,0.0,0.0,0.0,0.0,7.5,0
Y1050234,0.166666667,0.0,0.166666667,0.166666667,1.166666667,0.12962963,0.0,1.666666667,0.333333333,0.333333333,0.352941176,5.833333333,0
Y1050235,0.5,0.0,0.5,0.305555556,1.333333333,0.344444445,0.333333333,0.666666667,0.333333333,0.333333333,0.132352941,7.5,0
Y1050236,0.333333333,0.166666667,0.166666667,0.083333333,0.333333333,0.166666667,0.166666667,5.5,1.333333333,2.333333333,1.058823529,15.83333333,0
Y1050237,0.166666667,0.0,0.166666667,0.166666667,0.5,0.1,0.166666667,0.0,0.0,0.0,0.0,0.0,0
Y1050238,0.666666667,0.5,0.5,0.166666667,0.666666667,0.4166666670000001,0.5,6.5,1.333333333,2.333333333,2.411764706,68.16666667,1
