username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,1.166666667,215.83333330000002,282.1666667,1.166666667,20.13888889,25.83333333,1.166666667,20.80555556,27.0,0.0,0.0,0.0,3.0,1.0,2.0,0.1,5.152333648,1.0,2.333333333,0.5083333329999999,3.0,0.666666667,0.0,8.333333332999999,2.05,3.666666667,0.908333333,5.5,1.95,1.8333333330000001,0.308333333,0.0,13.83333333,4.0,5.5,1.216666667,19.33333333,5.216666667,9.666666667000001,2.858333333,0.0,22.33333333,5.8833333329999995,51.33333333,13.95833333,0.0,0.0,0.0,0.0,0.0,37.0,1
Y1050161,0.833333333,93.33333333,148.16666669999998,0.5,12.91666667,19.33333333,0.166666667,7.166666667,7.166666667,0.0,0.0,0.0,1.0,0.166666667,0.833333333,0.027777778,1.80996962,0.5,0.5,0.083333333,1.0,0.166666667,0.0,1.0,0.166666667,0.833333333,0.13888888900000002,2.166666667,0.36111111100000004,0.333333333,0.055555556,0.0,3.166666667,0.5277777779999999,1.166666667,0.194444445,4.333333333,0.7222222220000001,3.5,0.583333333,0.0,5.333333333,0.8888888890000001,13.16666667,2.194444445,0.0,0.0,0.0,0.0,0.0,52.5,1
Y1050162,2.333333333,368.1111111,1070.333333,2.166666667,18.19444445,48.0,2.166666667,86.33333332,229.66666669999998,0.0,0.0,0.0,9.666666667000001,7.666666667,2.0,0.657295482,8.22577993,3.666666667,8.666666667000001,0.7291208790000001,9.5,0.8222222220000001,0.333333333,38.5,3.02936508,67.33333333,6.02905983,77.0,6.866361416,22.83333333,2.03943834,0.333333333,115.5,9.895726496,90.5,8.093223443,206.0,17.98894994,108.83333329999999,9.689407815,0.333333333,215.66666669999998,18.82228327,530.8333333,46.525366299999995,0.0,0.0,0.0,0.0,0.0,44.16666667,1
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050164,0.5,6.055555555,18.16666667,0.0,0.0,0.0,0.5,0.666666667,2.0,0.0,0.0,0.0,1.0,0.666666667,0.333333333,0.111111111,1.2383962720000001,0.333333333,0.166666667,0.027777778,0.666666667,0.111111111,0.333333333,0.0,0.0,0.0,0.0,0.166666667,0.027777778,0.0,0.0,0.166666667,0.166666667,0.027777778,0.166666667,0.027777778,0.333333333,0.055555556,0.833333333,0.13888888900000002,0.333333333,1.333333333,0.222222222,2.833333333,0.472222222,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050165,0.5,12.41666667,24.16666667,0.0,0.0,0.0,0.333333333,2.833333333,5.666666667,0.0,0.0,0.0,0.5,0.166666667,0.333333333,0.055555556,1.249698802,0.333333333,0.333333333,0.111111111,0.5,0.166666667,0.166666667,0.5,0.166666667,0.166666667,0.055555556,3.666666667,1.222222222,0.166666667,0.055555556,0.0,4.166666667,1.388888889,0.333333333,0.111111111,4.5,1.5,4.166666667,1.388888889,0.166666667,5.0,1.6666666669999999,13.83333333,4.611111112,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050166,1.166666667,24.83333333,65.66666667,0.5,1.083333333,2.0,0.833333333,2.444444445,5.833333333,0.0,0.0,0.0,0.666666667,0.0,0.666666667,0.0,1.475020089,0.833333333,0.333333333,0.222222222,0.666666667,0.333333333,0.0,0.666666667,0.222222222,0.166666667,0.166666667,2.0,1.111111111,0.666666667,0.666666667,0.0,2.666666667,1.333333333,0.833333333,0.833333333,3.5,2.166666667,3.333333333,2.111111111,0.0,4.166666667,2.5,11.0,6.777777778,0.0,0.0,0.0,0.0,0.0,27.5,0
Y1050167,1.166666667,142.02777780000002,311.0,0.666666667,35.41666667,39.83333333,0.833333333,9.0,13.0,0.0,0.0,0.0,4.0,2.0,2.0,0.27483165,3.2132539560000004,2.333333333,1.333333333,0.16456229,3.5,0.444444445,0.5,0.833333333,0.11237373699999999,0.666666667,0.097222222,3.833333333,0.534511785,0.5,0.07533669999999999,0.166666667,4.666666667,0.646885522,1.333333333,0.214225589,6.0,0.8611111109999999,7.166666667,0.937289562,0.5,10.0,1.361111111,23.66666667,3.2613636360000005,0.666666667,0.5,0.833333333,0.5,1.294117647,47.66666667,1
Y1050168,1.0,59.58333333,158.83333330000002,0.666666667,5.583333333,10.16666667,0.666666667,4.666666667,13.33333333,0.0,0.0,0.0,1.8333333330000001,1.333333333,0.5,0.148148148,3.6263169960000003,1.5,1.0,0.111111111,1.333333333,0.27777777800000003,0.833333333,4.166666667,0.46296296299999995,2.5,0.27777777800000003,1.333333333,0.148148148,1.333333333,0.148148148,0.666666667,5.5,0.611111111,4.5,0.5,10.0,1.111111111,4.0,0.574074074,1.0,11.83333333,1.444444445,26.83333333,3.24074074,0.666666667,0.666666667,0.166666667,0.666666667,1.029411765,11.33333333,0
Y1050169,1.166666667,132.1666667,350.8333333,1.0,13.33333333,29.0,1.166666667,19.55555556,52.66666667,0.0,0.0,0.0,4.0,2.0,2.0,0.25,2.637164382,1.5,2.333333333,0.34848484799999996,3.833333333,0.484848485,0.166666667,20.33333333,2.939393939,7.166666667,0.651515152,15.0,1.363636364,2.666666667,0.242424243,0.0,35.33333333,4.303030303,9.833333332999999,0.8939393940000001,45.16666667,5.196969697,21.16666667,2.060606061,0.166666667,49.16666667,5.696969697,115.66666670000001,12.96969697,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050170,1.333333333,150.34722219999998,355.1666667,0.833333333,21.83333333,30.16666667,1.0,18.95833333,32.33333333,0.0,0.0,0.0,5.166666667,4.666666667,0.5,0.43849206399999996,3.105629501,2.666666667,2.166666667,0.21031746,5.0,0.48611111100000004,1.0,1.0,0.083333333,2.666666667,0.27182539699999997,17.33333333,1.5833333330000001,3.166666667,0.293650794,0.0,18.33333333,1.6666666669999999,5.833333333,0.565476191,24.16666667,2.232142857,24.5,2.259920635,1.0,29.33333333,2.732142857,79.0,7.317460317,1.333333333,1.166666667,0.833333333,1.166666667,3.3264705880000003,0.0,0
Y1050171,2.833333333,161.7138889,491.0,2.166666667,25.38888889,65.0,2.333333333,7.819444445,21.0,0.0,0.0,0.0,8.166666667000001,8.0,0.166666667,0.80952381,5.68261827,1.5,0.833333333,0.080176768,7.5,0.766594517,1.8333333330000001,0.5,0.051136364000000004,1.0,0.09532828300000001,7.166666667,0.756132756,1.8333333330000001,0.19110750399999998,0.0,7.666666667,0.80726912,2.833333333,0.286435787,10.5,1.093704906,15.16666667,1.57783189,1.8333333330000001,18.66666667,1.92703824,46.16666667,4.786165223999999,0.333333333,0.333333333,0.166666667,0.333333333,0.529411765,13.0,0
Y1050172,0.5,157.5,157.5,0.166666667,7.666666667,7.666666667,0.333333333,24.5,24.5,0.0,0.0,0.0,1.5,1.333333333,0.166666667,0.166666667,2.080798553,0.5,1.0,0.125,1.333333333,0.3125,0.333333333,2.166666667,0.270833333,1.5,0.1875,17.83333333,5.0,0.666666667,0.083333333,0.166666667,20.0,5.270833333,2.333333333,0.291666667,22.33333333,5.5625,19.66666667,5.375,0.333333333,23.83333333,5.895833333,66.16666667,16.875,0.333333333,0.333333333,0.166666667,0.333333333,0.0,15.5,0
Y1050173,3.0,226.25555559999998,554.8333332999999,2.0,20.83333333,45.66666667,1.6666666669999999,34.52777778,50.83333333,0.0,0.0,0.0,5.666666667,3.666666667,2.0,0.480555556,7.244952281000001,2.5,3.166666667,0.447222222,5.5,0.819444445,1.166666667,7.5,0.975,4.833333333,0.530555556,23.66666667,4.044444445,4.0,0.775,0.166666667,31.16666667,5.019444445,9.0,1.361111111,40.16666667,6.380555556,32.0,5.466666667,1.166666667,45.83333333,7.213888889,119.16666670000001,19.27222222,0.833333333,0.833333333,0.333333333,0.833333333,1.058823529,87.16666667,2
Y1050174,5.166666667,117.8809524,613.3333332999999,3.333333333,21.23611111,73.33333333,1.0,11.75,20.33333333,0.0,0.0,0.0,3.0,2.166666667,0.833333333,0.41111111100000003,5.69172846,2.0,1.0,0.311111111,2.833333333,0.5,0.5,4.5,0.603703704,0.833333333,0.12962963,10.16666667,1.8037037040000001,1.166666667,0.166666667,0.0,14.66666667,2.407407407,2.0,0.296296296,16.66666667,2.7037037039999996,13.66666667,2.362962963,0.5,19.66666667,3.37037037,50.5,8.544444445,5.666666667,2.833333333,1.8333333330000001,3.666666667,6.71,83.33333333,3
Y1050175,2.666666667,177.84722219999998,575.6666667000001,2.5,18.26388889,54.0,2.666666667,12.09722222,40.0,0.0,0.0,0.0,8.666666667000001,5.833333333,2.833333333,0.536556036,11.86364906,1.333333333,4.333333333,0.45340307799999996,7.5,0.7010582009999999,1.0,3.333333333,0.321849447,4.5,0.45995671,14.33333333,1.328342953,4.833333333,0.412578163,0.166666667,17.66666667,1.6501924,9.5,0.884439635,27.16666667,2.534632035,25.5,2.325817701,1.0,35.83333333,3.367965368,89.5,8.316919192,0.5,0.333333333,0.333333333,0.333333333,0.529411765,37.16666667,1
Y1050176,4.333333333,233.0916667,993.1666667000002,3.0,28.11111111,85.16666667,3.833333333,24.43888889,89.16666667,0.0,0.0,0.0,10.0,8.666666667000001,1.333333333,0.837606838,10.53130432,1.166666667,6.166666667,0.581131831,10.0,1.0,0.0,25.5,2.519295519,9.666666667000001,0.918172106,31.16666667,3.1809116810000004,5.5,0.615821679,0.0,56.66666667,5.7002072,15.16666667,1.533993784,71.83333333,7.234200984,46.0,4.743120306000001,0.0,81.83333333,8.234200984,199.66666669999998,20.21152227,14.16666667,3.0,2.0,3.666666667,9.484705882,81.0,3
Y1050177,2.333333333,302.34722220000003,738.3333332999999,1.0,45.41666667,62.66666667,1.166666667,41.0,64.0,0.0,0.0,0.0,5.166666667,2.5,2.666666667,0.28214285699999997,7.771230455,1.8333333330000001,5.0,0.642857143,4.166666667,0.5380952379999999,0.333333333,18.0,2.310714286,19.5,2.167857143,5.5,0.614285714,5.333333333,0.533333333,0.333333333,23.5,2.925,25.16666667,2.75952381,48.66666667,5.68452381,13.0,1.478571429,0.333333333,53.83333333,6.351190476,115.83333329999999,13.57261905,1.333333333,0.833333333,0.333333333,0.833333333,1.058823529,28.83333333,0
Y1050178,0.333333333,135.33333330000002,135.33333330000002,0.333333333,9.166666667000001,9.166666667000001,0.333333333,22.16666667,22.16666667,0.0,0.0,0.0,3.5,1.8333333330000001,1.6666666669999999,0.17424242399999998,2.245897504,2.0,2.666666667,0.256060606,2.666666667,0.254545455,0.666666667,8.333333332999999,0.812121212,2.0,0.195454546,4.333333333,0.410606061,0.666666667,0.065151515,0.0,12.66666667,1.222727273,2.666666667,0.260606061,15.33333333,1.483333333,6.333333333,0.6030303029999999,0.666666667,18.83333333,1.8166666669999998,41.16666667,3.965151515,0.333333333,0.333333333,0.166666667,0.333333333,0.308823529,32.5,0
Y1050179,4.833333333,250.0805556,1269.5,3.5,27.07222222,96.66666667,4.333333333,33.18888889,158.5,0.0,0.0,0.0,11.5,10.16666667,1.333333333,0.848009116,12.99105486,1.0,7.0,0.571641727,11.16666667,0.9814241490000001,2.666666667,50.5,2.9405572760000003,24.16666667,1.570201238,36.33333333,3.04624613,12.66666667,1.082408841,1.5,86.83333333,5.986803406,38.33333333,2.754089267,125.16666670000001,8.740892672000001,57.5,4.915097179,3.0,136.66666669999998,9.740892672000001,322.3333333,23.61511868,3.666666667,1.8333333330000001,1.8333333330000001,2.5,7.980588235,96.33333333,3
Y1050180,3.5,49.94444444,153.83333330000002,0.333333333,3.833333333,7.666666667,1.0,4.833333333,14.5,0.0,0.0,0.0,3.5,2.666666667,0.833333333,0.254545455,1.946284865,1.0,0.833333333,0.08030303,3.0,0.28636363600000003,0.666666667,1.5,0.142424243,1.333333333,0.133333333,3.666666667,0.35,0.5,0.05,0.166666667,5.166666667,0.492424243,2.0,0.2,7.166666667,0.6924242429999999,6.666666667,0.637878788,0.666666667,10.66666667,1.025757576,25.16666667,2.41969697,0.333333333,0.333333333,0.166666667,0.333333333,0.352941176,51.33333333,1
Y1050181,2.0,71.56666667,215.0,1.333333333,15.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0
Y1050182,4.5,205.5166667,941.0,3.166666667,18.94444445,58.16666667,4.0,25.95833333,105.16666670000001,0.0,0.0,0.0,12.0,8.5,3.5,0.696136788,10.35610705,1.0,7.0,0.5756010739999999,11.66666667,0.975694445,2.333333333,5.833333333,0.48847455700000003,15.66666667,1.275414332,41.83333333,3.677054155,19.0,1.645629085,1.0,47.66666667,4.1655287119999995,35.66666667,3.000291783,83.33333333,7.165820495,68.83333333,5.980129552,2.333333333,95.33333333,8.165820495,249.83333330000002,21.5067402,2.666666667,2.0,2.0,2.333333333,7.117647058999999,89.16666667,3
Y1050183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0
Y1050184,0.166666667,10.33333333,10.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.166666667,0.5,0.647058824,18.83333333,0
Y1050185,5.833333333,130.515873,733.5,2.5,28.57777778,70.5,2.833333333,13.45555556,41.83333333,1.0,0.5555555560000001,1.6666666669999999,9.5,7.666666667,1.8333333330000001,0.8821830340000001,7.551737185,2.0,4.5,0.359343555,8.333333332999999,0.785953177,2.666666667,3.5,0.37005747899999997,8.333333332999999,0.686863861,9.166666667000001,0.758104215,4.166666667,0.311724508,0.666666667,12.66666667,1.128161693,13.16666667,1.0441370220000001,25.83333333,2.172298716,19.83333333,1.522615066,2.666666667,35.5,3.179545093,83.83333333,7.377890225,9.833333332999999,3.0,2.833333333,4.166666667,10.0,90.66666667,3
Y1050186,4.333333333,229.5,967.1666667000002,2.5,32.38888889,79.66666667,3.5,27.25,94.33333333,0.0,0.0,0.0,10.16666667,8.5,1.6666666669999999,0.780830281,6.56554816,1.333333333,7.333333333,0.746336997,9.833333332999999,0.974358974,2.666666667,20.66666667,2.494505495,29.33333333,2.611111111,17.66666667,1.5932539680000002,8.333333332999999,0.727564103,0.166666667,38.33333333,4.087759463,37.83333333,3.351495727,76.16666667,7.439255189,33.0,2.98489011,2.666666667,86.33333333,8.439255188999999,198.16666669999998,19.13186813,6.0,2.666666667,1.333333333,4.0,8.436470587999999,83.83333333,3
Y1050187,0.333333333,25.25,50.5,0.166666667,1.333333333,1.333333333,0.166666667,8.833333332999999,8.833333332999999,0.0,0.0,0.0,1.0,0.333333333,0.666666667,0.055555556,2.118412448,0.333333333,1.0,0.166666667,0.666666667,0.111111111,0.0,5.166666667,0.8611111109999999,0.833333333,0.13888888900000002,0.333333333,0.055555556,0.166666667,0.027777778,0.0,5.5,0.916666667,1.0,0.166666667,6.5,1.083333333,0.833333333,0.13888888900000002,0.0,7.5,1.25,14.83333333,2.472222222,0.0,0.0,0.0,0.0,0.0,26.66666667,0
Y1050188,3.833333333,82.16349206,323.1666667,2.5,5.133333333,17.0,2.166666667,20.86111111,52.83333333,0.0,0.0,0.0,2.666666667,1.0,1.6666666669999999,0.261111111,11.21586004,2.333333333,1.6666666669999999,0.544444445,2.666666667,1.0,0.166666667,17.83333333,4.833333333,1.0,0.311111111,24.33333333,7.786111112,3.0,1.538888889,0.0,42.16666667,12.61944445,4.0,1.85,46.16666667,14.46944445,29.66666667,10.22777778,0.166666667,48.83333333,15.46944445,124.83333329999999,40.22222222,1.333333333,0.666666667,1.6666666669999999,0.833333333,2.7058823530000002,55.0,1
Y1050189,3.333333333,314.8888889,941.1666667000002,2.333333333,28.94444445,74.66666667,2.0,57.05555556,106.66666670000001,0.0,0.0,0.0,11.5,9.5,2.0,0.844907407,10.80739841,3.833333333,8.333333332999999,0.707112795,10.83333333,0.9469907409999999,1.5,49.0,4.233038721000001,20.5,1.741056397,15.83333333,1.29452862,7.166666667,0.6721590909999999,0.333333333,64.83333333,5.52756734,28.0,2.4317340069999998,92.83333333,7.959301347,33.33333333,2.8835858589999996,1.5,104.33333329999999,8.959301347,232.0,19.90380892,4.0,3.0,1.333333333,3.5,7.52,91.66666667,3
Y1050190,3.833333333,322.6666667,1221.333333,2.833333333,24.80555556,63.0,2.5,83.26666667,177.16666669999998,0.0,0.0,0.0,10.33333333,8.0,2.333333333,0.799801587,10.78190574,2.5,9.0,0.879662698,9.833333332999999,0.967361111,1.166666667,29.0,3.538095238,39.66666667,3.896230159,58.66666667,5.73968254,20.33333333,2.054166667,0.666666667,87.66666667,9.277777777999999,60.66666667,6.006646826,148.33333330000002,15.284424599999998,87.0,8.592460317,1.166666667,158.66666669999998,16.284424599999998,395.1666667,40.25367064,7.333333333,2.666666667,1.166666667,5.166666667,6.9876470589999995,88.83333333,3
Y1050191,3.0,244.3055556,555.3333332999999,1.6666666669999999,11.54166667,17.5,2.333333333,74.57222222,151.16666669999998,0.0,0.0,0.0,7.833333333,2.5,5.333333333,0.217592593,2.359121253,2.5,7.0,0.784391535,6.833333333,0.756613757,0.0,116.5,11.78406085,7.5,1.243716931,7.5,1.59292328,3.833333333,0.809854498,0.0,124.0,13.37698413,11.33333333,2.0535714290000002,135.33333330000002,15.43055556,17.66666667,3.1263227510000005,0.0,143.16666669999998,16.26388889,296.1666667,34.8207672,0.166666667,0.166666667,0.166666667,0.166666667,0.294117647,41.66666667,1
Y1050192,2.666666667,430.0,1081.0,1.8333333330000001,71.41666667,124.66666670000001,2.166666667,31.05555556,64.33333333,0.0,0.0,0.0,11.5,8.833333332999999,2.666666667,0.749065518,9.495949608,3.0,6.333333333,0.560961261,10.5,0.9009920640000001,0.666666667,16.66666667,1.536741731,12.83333333,1.052799284,8.333333332999999,0.705775475,6.5,0.564329421,0.166666667,25.0,2.242517205,19.5,1.631017594,44.5,3.8735347989999998,23.5,2.033578227,0.666666667,56.0,4.873534799,124.66666670000001,10.83677156,14.5,3.0,5.666666667,5.0,7.8629411760000005,66.83333333,2
