username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,2.8,638.6,1.8,13.2,10.2,5.0,13.0,0.2,71.6,12.4,7.2,48.8,0.2,2.4,2.4,1.0,2.4,8.612941176,6.8,8.0
Y1050275,1.6,390.8,1.2,8.4,7.0,5.4,7.8,0.6,69.2,6.4,17.2,36.0,0.6,0.6,0.6,0.2,0.6,2.352941176,3.0,2.0
Y1050276,2.4,840.2,1.8,11.4,8.2,2.4,10.8,0.8,54.0,2.4,3.6,43.4,0.8,2.4,2.4,1.4,2.4,7.151764706,3.0,4.0
Y1050277,0.8,529.2,0.8,5.4,4.8,3.2,5.4,0.8,71.0,4.8,11.0,48.4,0.8,0.0,0.0,0.0,0.0,0.0,2.4,1.0
Y1050278,3.6,502.8,2.6,6.8,4.2,2.6,5.6,1.2,24.8,1.2,5.0,13.0,1.2,2.4,2.4,1.6,2.4,7.122941176,5.0,5.0
Y1050279,4.6,1984.8,3.4,14.8,11.6,7.0,14.6,0.8,188.8,10.8,15.4,139.0,0.8,2.4,2.4,1.8,2.4,9.455882353,6.0,7.0
Y1050280,2.4,133.0,1.6,4.0,2.8,0.6,3.6,1.2,15.2,1.0,0.6,10.0,1.2,0.4,0.4,0.4,0.4,0.411764706,1.6,1.0
Y1050281,0.4,51.6,0.2,0.6,0.2,0.6,0.6,0.2,8.0,0.6,0.8,5.8,0.2,0.0,0.0,0.0,0.0,0.0,1.2,1.0
Y1050282,1.2,234.8,1.2,3.0,2.2,1.4,2.4,0.8,33.6,4.2,2.0,9.2,0.8,0.0,0.0,0.0,0.0,0.0,2.4,1.0
Y1050283,2.0,214.2,1.4,3.6,1.4,1.8,3.2,0.4,21.2,4.6,5.2,7.2,0.4,0.2,0.2,0.2,0.2,0.352941176,3.8,2.0
Y1050284,2.8,227.8,2.2,4.0,0.6,1.2,3.8,0.2,23.4,1.2,1.4,17.0,0.2,0.0,0.0,0.0,0.0,0.0,3.6,3.0
Y1050285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050286,3.8,975.2,3.2,10.4,9.8,5.4,10.4,1.8,177.4,14.8,9.4,108.0,1.8,1.6,1.6,1.0,1.6,4.215882353,7.2,7.0
Y1050287,2.8,646.0,2.4,12.0,9.6,8.0,10.4,3.0,89.2,8.8,19.6,40.8,3.2,0.0,0.0,0.0,0.0,0.0,7.8,5.0
Y1050288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050289,4.0,1757.0,3.0,14.8,10.2,14.4,14.4,3.2,380.2,54.8,132.2,163.2,3.2,0.0,0.0,0.0,0.0,1.058823529,8.0,6.0
Y1050290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050291,1.4,512.4,0.6,6.8,4.4,2.4,5.8,2.0,36.2,2.6,2.0,24.2,2.0,0.0,0.0,0.0,0.0,0.0,6.8,4.0
Y1050292,4.4,1058.0,3.6,8.6,2.2,5.6,7.8,0.2,95.2,47.2,15.6,23.4,0.2,1.8,1.8,1.2,1.8,4.921764706,5.0,5.0
Y1050293,2.8,886.0,2.6,12.2,11.4,3.8,12.0,3.6,79.2,5.8,5.8,58.4,3.8,2.4,2.4,0.8,2.4,8.387058824,8.2,8.0
Y1050294,2.8,646.6,2.6,8.8,8.4,4.0,7.6,2.8,67.8,17.6,9.8,30.8,3.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
Y1050295,3.2,825.2,2.2,7.6,3.6,6.0,5.4,1.0,48.2,12.2,4.6,20.6,1.0,0.2,0.2,0.2,0.2,0.470588235,5.6,3.0
Y1050296,2.2,628.0,1.4,7.2,4.8,4.4,6.0,1.6,49.0,12.4,10.4,15.8,1.6,0.6,0.6,0.2,0.6,1.764705882,2.4,2.0
Y1050297,0.6,6.6,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0
Y1050298,0.8,144.6,0.8,2.4,1.8,1.0,2.2,0.4,13.0,2.8,2.6,6.6,0.4,0.0,0.0,0.0,0.0,0.0,2.4,1.0
Y1050299,0.4,150.2,0.2,1.2,0.8,1.0,1.0,0.0,17.2,6.0,3.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0
Y1050300,1.6,249.4,0.8,1.8,0.6,1.8,1.2,0.2,20.4,10.8,3.2,2.6,0.2,0.0,0.0,0.0,0.0,0.0,2.4,1.0
Y1050301,1.0,322.6,0.8,3.4,3.0,2.0,2.6,0.4,36.4,21.4,3.2,6.8,0.4,0.6,0.6,0.2,0.6,1.764705882,0.0,1.0
Y1050302,1.6,337.0,1.2,5.6,3.6,2.0,4.8,0.4,28.2,4.2,5.8,14.4,0.4,0.6,0.6,0.4,0.6,2.882352941,0.0,1.0
Y1050303,2.2,607.2,2.0,7.2,5.0,5.6,5.8,1.6,115.4,46.4,22.6,29.0,1.6,0.6,0.6,0.2,0.6,2.215882353,2.8,2.0
Y1050304,0.8,277.2,0.8,3.8,2.2,1.0,3.8,0.8,26.0,7.6,2.4,13.0,0.8,0.0,0.0,0.0,0.0,0.0,1.2,1.0
