username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,2.5,749.75,2.25,16.5,12.75,7.5,16.25,0.25,101.0,20.25,12.0,63.25,0.25,1.75,1.75,0.75,1.75,8.65,6.45,8.0
Y1050275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Y1050276,2.5,729.5,1.75,10.25,8.0,2.5,9.5,1.0,52.0,2.75,3.75,42.0,1.0,1.75,1.75,1.0,1.75,8.183,1.5,4.0
Y1050277,0.25,123.5,0.25,0.75,0.0,0.0,0.75,0.0,1.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0
Y1050278,3.5,1147.0,2.25,5.0,2.25,2.75,4.5,0.25,23.5,0.25,5.25,13.0,0.25,1.75,1.75,1.25,1.75,7.0,4.25,5.0
Y1050279,4.25,1448.75,3.0,11.0,9.0,4.25,11.0,0.75,144.75,6.0,8.0,113.25,0.75,1.5,1.5,1.0,1.5,8.7,5.5,7.0
Y1050280,1.75,104.75,1.5,3.25,2.0,0.5,3.25,0.5,9.75,1.25,0.5,5.5,0.5,0.0,0.0,0.0,0.0,0.0,0.675,1.0
Y1050281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050282,0.25,31.25,0.25,0.75,0.5,0.25,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050283,1.5,83.25,1.25,2.0,1.25,1.25,1.5,0.25,9.25,2.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,3.675,2.0
Y1050284,2.25,129.25,1.25,2.25,0.25,1.0,2.0,0.0,17.5,0.5,0.25,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Y1050285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050286,3.5,1026.5,3.0,9.5,8.0,4.5,9.5,1.5,219.5,13.5,6.0,115.25,1.5,1.25,1.25,0.75,1.25,3.9,6.875,7.0
Y1050287,2.25,561.5,2.0,12.0,9.0,8.75,10.0,2.0,81.5,7.0,20.5,39.0,2.0,0.0,0.0,0.0,0.0,0.0,6.75,5.0
Y1050288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050289,3.0,843.0,2.0,6.25,2.75,6.0,6.0,0.25,173.75,25.25,58.0,72.5,0.25,0.0,0.0,0.0,0.0,0.0,8.9,6.0
Y1050290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050291,1.25,395.0,0.5,6.0,3.5,2.25,5.25,2.0,37.0,1.0,1.75,27.25,2.0,0.0,0.0,0.0,0.0,0.0,5.05,4.0
