username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050394,0.333333333333,138.0,0.333333333333,1.33333333333,1.0,0.333333333333,1.33333333333,0.666666666667,7.0,0.333333333333,0.666666666667,5.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Y1050395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,1.0
Y1050396,4.0,605.666666667,3.66666666667,6.0,5.33333333333,4.33333333333,6.0,0.666666666667,78.0,30.6666666667,16.3333333333,21.0,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.666666666667,1.0,0.666666667,2.0
Y1050397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,2.0
Y1050398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050400,1.0,136.0,0.666666666667,2.0,2.0,1.0,1.66666666667,0.666666666667,15.0,4.66666666667,1.0,7.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Y1050401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050403,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,2.0
Y1050404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,1.0
Y1050406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,1.0
Y1050407,1.33333333333,158.0,0.666666666667,1.66666666667,0.666666666667,0.333333333333,1.0,0.333333333333,4.0,1.66666666667,0.0,1.66666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,2.333333333,1.0
Y1050408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,1.0
Y1050409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,2.0
Y1050411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050412,5.33333333333,1673.0,4.66666666667,15.0,12.0,11.3333333333,14.6666666667,2.33333333333,333.0,71.6666666667,43.0,146.666666667,2.33333333333,0.0,0.0,0.0,0.0,0.777777778,4.666666667,3.0
Y1050413,4.66666666667,1385.33333333,4.0,14.0,11.3333333333,13.3333333333,14.0,1.66666666667,260.0,11.6666666667,82.0,140.666666667,1.66666666667,2.0,2.0,1.0,2.0,6.055555556,4.333333333,6.0
Y1050414,5.66666666667,2090.0,4.66666666667,16.0,13.3333333333,15.3333333333,15.6666666667,3.0,405.333333333,55.6666666667,106.666666667,207.333333333,3.0,2.0,2.0,1.0,2.0,8.888888889,5.0,5.0
