username,active_sum_count,active_num_days,problem_num_days,problem_sum_count,video_num_days,num_watched,num_complete,complete_rate,seek_video_sum,pause_video_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,599.1666667000002,2.833333333,1.5,34.5,2.0,12.83333333,9.833333332999999,0.765827922,5.5,12.66666667,2.166666667,2.166666667,1.0,2.166666667,8.578888889,7.133333333,3
Y1050275,325.6666667,1.333333333,0.666666667,12.33333333,1.0,7.0,5.833333333,0.267156863,4.5,6.5,0.5,0.5,0.166666667,0.5,2.222222222,2.5,0
Y1050276,757.3333332999998,2.5,1.833333333,92.66666667,1.666666667,10.0,7.166666667,0.632553419,2.0,9.5,2.166666667,2.166666667,1.333333333,2.166666667,7.143333332999999,2.666666667,1
Y1050277,464.0,0.833333333,0.5,20.83333333,0.833333333,4.833333333,4.0,0.166666667,2.666666667,4.833333333,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050278,932.0,3.5,2.0,131.1666667,2.166666667,5.666666667,3.5,0.509259259,2.166666667,4.666666667,2.166666667,2.166666667,1.5,2.166666667,7.227222222000001,4.833333333,1
Y1050279,1833.166667,4.5,4.333333333,139.0,3.333333333,13.33333333,10.66666667,0.8109113109999999,6.333333333,13.16666667,2.0,2.0,1.5,2.0,8.930555556,6.0,2
Y1050280,115.5,2.166666667,0.333333333,4.5,1.5,3.5,2.5,0.805555556,0.5,3.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.388888889,1.45,0
Y1050281,43.0,0.333333333,0.166666667,1.333333333,0.166666667,0.5,0.166666667,0.055555556,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0
Y1050282,195.6666667,1.0,0.833333333,11.66666667,1.0,2.5,1.833333333,0.319444445,1.166666667,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050283,178.5,1.666666667,0.5,15.33333333,1.166666667,3.0,1.166666667,0.383333333,1.5,2.666666667,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,3.45,0
Y1050284,191.1666667,2.5,0.166666667,3.5,1.833333333,3.333333333,0.5,0.130952381,1.0,3.166666667,0.0,0.0,0.0,0.0,0.0,3.666666667,1
Y1050285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050286,1039.666667,3.666666667,2.166666667,50.33333333,3.166666667,10.16666667,8.833333332999999,0.8574074070000001,5.666666667,10.16666667,1.5,1.5,1.0,1.5,4.203888889,7.583333333,2
