username,active_sum_count,active_num_days,problem_num_days,problem_sum_count,video_num_days,num_watched,num_complete,complete_rate,seek_video_sum,pause_video_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050287,591.5,2.666666667,1.833333333,31.5,2.333333333,11.33333333,8.666666667000001,0.767640254,7.833333333,9.666666667000001,0.0,0.0,0.0,0.0,0.0,7.5,1
Y1050288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050289,1565.166667,3.666666667,1.5,42.83333333,2.833333333,13.5,9.0,0.498163781,13.0,13.0,0.0,0.0,0.0,0.0,1.0,7.933333332999999,2
Y1050290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050291,427.0,1.166666667,0.666666667,47.0,0.5,5.666666667,3.666666667,0.387301587,2.0,4.833333333,0.0,0.0,0.0,0.0,0.0,6.3666666670000005,1
Y1050292,1012.0,4.166666667,3.5,125.5,3.5,9.0,2.5,0.251719114,5.333333333,8.0,1.5,1.5,1.0,1.5,4.648333333,4.95,1
Y1050293,839.1666667000003,2.666666667,2.166666667,78.33333333,2.333333333,11.33333333,10.5,0.916666667,3.833333333,11.16666667,2.0,2.0,0.666666667,2.0,7.921111111,8.0,3
Y1050294,604.0,2.833333333,2.666666667,50.83333333,2.5,8.5,8.0,0.784798535,3.5,7.5,0.0,0.0,0.0,0.0,0.0,5.216666667,1
Y1050295,701.3333332999998,3.0,2.5,83.16666667,1.833333333,6.333333333,3.0,0.313131313,5.0,4.5,0.166666667,0.166666667,0.166666667,0.166666667,0.444444444,4.666666667,1
Y1050296,649.8333332999998,2.166666667,1.333333333,60.66666667,1.5,6.833333333,4.666666667,0.4323232320000001,4.166666667,5.833333333,0.5,0.5,0.166666667,0.5,1.666666667,2.0,0
Y1050297,5.5,0.5,0.0,0.0,0.166666667,0.166666667,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.333333333,0
Y1050298,120.5,0.666666667,0.5,10.33333333,0.666666667,2.0,1.5,0.375,0.833333333,1.833333333,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050299,125.1666667,0.333333333,0.166666667,11.33333333,0.166666667,1.0,0.666666667,0.111111111,0.833333333,0.833333333,0.0,0.0,0.0,0.0,0.0,0.666666667,0
Y1050300,207.8333333,1.333333333,0.666666667,23.0,0.666666667,1.5,0.5,0.194444445,1.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050301,268.8333333,0.833333333,0.666666667,23.83333333,0.666666667,2.833333333,2.666666667,0.320512821,1.666666667,2.166666667,0.5,0.5,0.166666667,0.5,1.666666667,0.0,0
Y1050302,280.8333333,1.333333333,1.166666667,26.0,1.0,4.666666667,3.0,0.203703704,1.666666667,4.0,0.5,0.5,0.333333333,0.5,2.722222222,0.0,0
Y1050303,506.0,1.833333333,1.166666667,26.16666667,1.666666667,6.0,4.166666667,0.45952381,4.666666667,4.833333333,0.5,0.5,0.166666667,0.5,2.0927777780000003,2.333333333,0
Y1050304,231.0,0.666666667,0.5,22.83333333,0.666666667,3.166666667,1.833333333,0.159722222,0.833333333,3.166666667,0.0,0.0,0.0,0.0,0.0,1.0,0
Y1050305,501.0,2.5,1.666666667,47.33333333,1.5,5.5,3.166666667,0.23015873,2.5,5.333333333,0.5,0.5,0.166666667,0.5,2.388888889,3.166666667,0
Y1050306,346.1666667,2.833333333,1.333333333,26.5,1.666666667,3.166666667,0.333333333,0.051851852,1.833333333,2.833333333,1.166666667,1.166666667,1.0,1.166666667,3.152777778,0.5,0
Y1050307,117.8333333,0.5,0.333333333,12.33333333,0.5,1.666666667,1.0,0.174603175,0.666666667,1.333333333,0.5,0.5,0.166666667,0.5,1.573888889,0.0,0
Y1050308,967.5,4.0,2.666666667,41.5,3.666666667,7.833333333,4.666666667,0.464473684,5.166666667,7.833333333,0.5,0.5,0.166666667,0.5,1.875,0.0,0
Y1050309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050310,102.1666667,0.666666667,0.666666667,9.833333332999999,0.5,1.833333333,1.166666667,0.220238095,0.666666667,1.5,0.0,0.0,0.0,0.0,0.0,1.666666667,0
Y1050311,1760.8333329999996,5.0,4.333333333,126.1666667,4.5,16.83333333,7.166666667,0.376264631,14.33333333,14.83333333,0.166666667,0.166666667,0.166666667,0.166666667,0.305555556,3.15,0
Y1050312,77.0,0.5,0.166666667,4.333333333,0.333333333,2.0,0.333333333,0.033333333,1.333333333,1.833333333,0.0,0.0,0.0,0.0,0.0,1.666666667,0
Y1050313,240.8333333,1.333333333,0.833333333,9.833333332999999,1.333333333,4.666666667,2.5,0.266666667,3.166666667,4.333333333,0.666666667,0.666666667,0.5,0.666666667,1.833333333,2.666666667,1
Y1050314,567.5,0.666666667,0.5,63.33333333,0.666666667,6.666666667,5.0,0.252525253,4.0,5.5,1.333333333,1.333333333,0.833333333,1.333333333,2.444444444,2.0,1
Y1050315,881.6666667000003,1.166666667,0.833333333,41.66666667,1.166666667,8.5,5.833333333,0.286309524,7.666666667,8.5,0.5,0.5,0.333333333,0.5,1.842777778,2.45,0
Y1050316,631.3333332999998,1.666666667,0.666666667,68.5,1.333333333,6.5,6.0,0.464285714,2.0,6.0,0.666666667,0.666666667,0.333333333,0.666666667,1.0,1.666666667,0
Y1050317,1229.333333,3.5,2.666666667,92.5,3.166666667,14.33333333,8.0,0.517973596,7.166666667,13.83333333,2.166666667,2.166666667,1.0,2.166666667,6.018333332999999,5.45,1
Y1050318,1008.166667,4.5,2.0,35.33333333,3.333333333,12.0,10.33333333,0.77991453,10.0,11.33333333,2.166666667,2.166666667,1.666666667,2.166666667,4.555555556,4.616666667,1
Y1050319,900.3333332999997,1.833333333,1.833333333,97.0,1.833333333,12.16666667,7.833333333,0.58489418,5.166666667,11.16666667,1.0,1.0,0.666666667,1.0,4.833333333,7.866666667,2
Y1050320,274.1666667,3.5,0.5,23.0,0.666666667,4.666666667,3.333333333,0.366161616,2.333333333,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050321,44.66666667,0.166666667,0.166666667,4.833333333,0.166666667,0.833333333,0.5,0.1,0.166666667,0.833333333,0.0,0.0,0.0,0.0,0.0,4.0,0
Y1050322,806.8333332999998,4.666666667,1.5,14.0,4.166666667,12.16666667,7.666666667,0.591064491,7.5,11.66666667,2.166666667,2.166666667,1.5,2.166666667,8.305555556,10.13333333,3
Y1050323,1225.666667,5.666666667,5.0,102.1666667,5.0,12.33333333,11.0,0.904497355,8.0,12.16666667,2.166666667,2.166666667,1.833333333,2.166666667,8.597222222000001,9.25,3
Y1050324,912.6666667000003,1.833333333,1.0,20.0,1.0,12.66666667,7.833333333,0.409126984,11.33333333,12.16666667,0.5,0.5,0.333333333,0.5,2.481666667,3.833333333,1
Y1050325,731.8333332999998,2.0,1.333333333,59.16666667,1.333333333,6.333333333,3.666666667,0.37037037,4.833333333,6.0,0.5,0.5,0.333333333,0.5,1.967777778,2.333333333,0
Y1050326,439.0,1.166666667,1.166666667,47.5,1.166666667,5.166666667,4.166666667,0.504545455,2.5,5.166666667,0.0,0.0,0.0,0.0,0.0,2.5,0
Y1050327,318.3333333,0.5,0.333333333,24.33333333,0.5,8.0,6.166666667,0.128472222,3.5,6.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050328,1874.833333,4.5,1.833333333,129.8333333,2.333333333,14.33333333,12.66666667,0.872628726,14.0,14.16666667,2.166666667,2.166666667,1.166666667,2.166666667,10.0,5.966666667,2
Y1050329,893.3333332999997,3.5,2.0,96.16666667,1.166666667,6.333333333,1.666666667,0.170496171,5.5,5.166666667,0.5,0.5,0.166666667,0.5,1.388888889,3.0,0
Y1050330,374.6666667,2.333333333,1.0,35.5,2.0,6.833333333,5.666666667,0.525,1.333333333,5.166666667,0.0,0.0,0.0,0.0,0.0,2.166666667,0
Y1050331,277.8333333,1.833333333,1.0,12.16666667,1.166666667,5.5,3.166666667,0.285669192,4.0,5.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.444444444,1.5,0
Y1050332,1277.666667,2.833333333,2.5,112.5,2.666666667,16.16666667,14.66666667,0.8974747470000001,12.0,15.0,1.666666667,1.666666667,1.0,1.666666667,5.625,4.166666667,1
Y1050333,216.8333333,2.5,1.333333333,26.16666667,1.333333333,2.0,0.666666667,0.083333333,0.5,1.833333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0,1.833333333,0
Y1050334,204.6666667,1.666666667,1.0,12.33333333,1.333333333,3.666666667,2.333333333,0.197916667,1.5,3.666666667,0.5,0.5,0.333333333,0.5,1.5555555559999998,1.833333333,0
Y1050335,330.3333333,1.333333333,0.666666667,20.66666667,1.333333333,5.5,3.833333333,0.323152338,1.666666667,5.0,0.166666667,0.166666667,0.166666667,0.166666667,0.0,1.833333333,0
Y1050336,552.3333332999998,1.166666667,0.666666667,51.16666667,0.833333333,7.333333333,5.333333333,0.283950617,3.333333333,7.0,0.166666667,0.166666667,0.166666667,0.166666667,0.0,7.016666667000001,1
Y1050337,333.0,0.5,0.333333333,26.5,0.333333333,4.333333333,2.0,0.146031746,2.5,4.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.444444444,1.833333333,0
Y1050338,187.6666667,1.5,0.666666667,12.83333333,0.666666667,2.333333333,1.333333333,0.173611111,1.833333333,1.666666667,0.0,0.0,0.0,0.0,0.0,1.666666667,0
Y1050339,182.6666667,1.333333333,1.0,17.0,1.0,2.666666667,1.166666667,0.30952381,1.0,2.666666667,0.166666667,0.166666667,0.166666667,0.166666667,1.458333333,2.666666667,0
Y1050340,703.8333332999998,3.5,2.666666667,53.83333333,3.166666667,9.333333332999999,8.0,0.803819445,5.0,9.166666667000001,0.0,0.0,0.0,0.0,0.0,1.666666667,0
Y1050341,709.1666667000002,1.333333333,1.333333333,66.16666667,1.333333333,9.166666667000001,8.5,0.4685672520000001,4.5,9.166666667000001,0.0,0.0,0.0,0.0,0.815,2.5,0
Y1050342,239.0,1.333333333,0.833333333,13.66666667,1.166666667,4.333333333,3.333333333,0.389069264,1.5,4.333333333,0.0,0.0,0.0,0.0,0.0,6.283333333,1
Y1050343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050344,681.6666667000002,4.833333333,3.166666667,53.16666667,4.0,13.66666667,8.666666667000001,0.601731602,7.166666667,11.83333333,0.666666667,0.666666667,0.5,0.666666667,2.166666667,5.0,1
Y1050345,21.83333333,0.666666667,0.166666667,1.833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
Y1050346,319.8333333,4.166666667,0.5,5.0,0.833333333,3.166666667,0.833333333,0.089285714,2.166666667,2.833333333,2.0,2.0,1.0,2.0,3.393333333,4.383333333,1
Y1050347,620.6666667000002,2.333333333,2.0,53.83333333,2.166666667,10.33333333,8.333333332999999,0.525030525,4.666666667,9.166666667000001,0.0,0.0,0.0,0.0,0.0,3.666666667,0
Y1050348,440.33333330000005,1.0,1.0,25.5,1.0,4.666666667,4.666666667,0.333333333,4.0,4.666666667,0.0,0.0,0.0,0.0,0.0,1.666666667,0
Y1050349,401.3333333,4.0,3.0,38.66666667,1.5,2.0,0.0,0.0,0.833333333,1.833333333,2.166666667,2.166666667,1.166666667,2.166666667,6.763888889,5.433333332999999,2
Y1050350,772.1666667000002,5.0,2.333333333,40.33333333,2.666666667,7.666666667,4.666666667,0.419088319,7.166666667,5.833333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0,1.666666667,0
Y1050351,584.6666667000002,4.333333333,2.666666667,17.5,4.166666667,13.33333333,10.66666667,0.7705627709999999,8.666666667000001,12.33333333,2.166666667,2.166666667,1.333333333,2.166666667,5.777777778,6.983333332999999,2
Y1050352,825.0,4.666666667,2.833333333,93.66666667,4.0,11.16666667,9.833333332999999,0.895246584,5.333333333,8.666666667000001,2.166666667,2.166666667,1.0,2.166666667,8.513888889,7.583333333,3
Y1050353,1139.166667,5.666666667,3.833333333,59.5,4.666666667,18.0,11.16666667,0.589939489,12.0,17.33333333,1.333333333,1.333333333,0.833333333,1.333333333,5.458333333,4.466666667,1
Y1050354,1034.666667,3.833333333,3.333333333,100.1666667,3.666666667,12.83333333,11.66666667,0.8485431240000001,6.166666667,11.66666667,1.333333333,1.333333333,0.666666667,1.333333333,4.796111111,5.45,1
Y1050355,60.0,0.833333333,0.666666667,7.0,0.5,1.0,0.5,0.166666667,0.333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.333333333,0
Y1050356,916.3333332999997,3.5,2.833333333,92.33333333,2.833333333,12.0,9.0,0.6016042779999999,8.5,11.66666667,0.833333333,0.833333333,0.666666667,0.833333333,3.027777778,3.166666667,1
Y1050357,547.8333332999998,1.666666667,1.333333333,43.83333333,1.333333333,6.166666667,5.0,0.337301587,5.333333333,6.166666667,0.5,0.5,0.333333333,0.5,2.462777778,2.116666667,0
Y1050358,1137.666667,3.666666667,3.166666667,126.5,3.0,11.83333333,5.333333333,0.464484127,4.166666667,11.33333333,2.0,2.0,0.833333333,2.0,6.245555556,4.466666667,1
Y1050359,177.66666669999995,1.5,0.666666667,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.166666667,0.5,2.411666667,1.5,0
Y1050360,675.6666667000002,1.333333333,0.833333333,57.0,1.0,8.5,5.333333333,0.263888889,5.0,7.833333333,0.5,0.5,0.166666667,0.5,2.555555556,2.916666667,1
Y1050361,243.1666667,2.833333333,1.5,13.0,2.0,5.5,3.666666667,0.445833333,2.666666667,4.333333333,0.666666667,0.666666667,0.5,0.666666667,2.662222222,3.233333333,1
Y1050362,1242.833333,5.5,4.833333333,92.0,4.833333333,15.16666667,13.5,0.894763015,9.166666667000001,14.66666667,2.166666667,2.166666667,1.333333333,2.166666667,7.31,7.766666667000001,3
Y1050363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050364,709.3333332999998,3.5,2.333333333,36.33333333,3.333333333,11.66666667,6.5,0.450706701,8.666666667000001,10.5,0.5,0.5,0.333333333,0.5,2.944444444,8.166666667000001,2
Y1050365,1250.833333,3.666666667,2.333333333,82.16666667,2.833333333,14.5,13.83333333,0.963131313,6.5,14.16666667,2.166666667,2.166666667,1.333333333,2.166666667,9.722222222000001,8.833333332999999,3
Y1050366,482.0,0.833333333,0.833333333,52.33333333,0.833333333,7.0,6.0,0.440972222,2.0,6.666666667,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050367,1156.333333,2.666666667,2.166666667,101.0,2.333333333,15.16666667,13.33333333,0.582619048,8.333333332999999,13.66666667,2.0,2.0,0.833333333,2.0,7.995555556,8.716666667,3
Y1050368,542.3333332999998,1.333333333,1.0,41.33333333,1.0,5.666666667,3.0,0.271717172,4.333333333,5.666666667,0.5,0.5,0.166666667,0.5,2.638888889,2.333333333,0
Y1050369,379.3333333,1.0,0.666666667,45.33333333,0.666666667,4.333333333,3.0,0.385714286,2.166666667,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050370,385.0,1.166666667,1.166666667,28.0,1.0,4.666666667,4.0,0.378205128,4.0,4.5,0.0,0.0,0.0,0.0,0.0,2.833333333,0
Y1050371,363.1666667,1.333333333,0.666666667,19.66666667,0.666666667,4.5,3.0,0.22020202,2.333333333,4.5,0.166666667,0.166666667,0.166666667,0.166666667,0.430555556,5.0,1
Y1050372,1171.333333,3.166666667,2.666666667,120.6666667,3.0,12.33333333,9.0,0.7039141409999999,8.0,12.16666667,2.166666667,2.166666667,1.666666667,2.166666667,8.328888889,4.333333333,1
Y1050373,171.83333330000005,1.333333333,0.5,21.66666667,0.5,2.666666667,1.5,0.200854701,1.166666667,2.333333333,0.0,0.0,0.0,0.0,0.0,2.583333333,0
Y1050374,389.3333333,1.5,0.833333333,30.83333333,1.5,7.333333333,5.5,0.3666666670000001,3.333333333,6.333333333,0.0,0.0,0.0,0.0,0.0,4.0,1
Y1050375,715.8333332999998,5.333333333,3.166666667,84.0,1.333333333,3.333333333,3.0,0.4166666670000001,2.666666667,3.333333333,0.0,0.0,0.0,0.0,0.0,3.75,1
Y1050376,1326.0,5.166666667,4.166666667,79.0,3.833333333,13.66666667,12.83333333,0.767171717,7.0,12.83333333,2.166666667,2.166666667,1.666666667,2.166666667,8.407222222,8.966666667,3
Y1050377,168.66666669999995,2.0,1.166666667,7.666666667,0.833333333,3.666666667,2.166666667,0.261904762,0.5,3.166666667,1.333333333,1.333333333,0.833333333,1.333333333,2.555555556,5.283333333,1
Y1050378,2490.333333,3.833333333,3.166666667,93.66666667,3.166666667,15.16666667,15.16666667,1.0,7.333333333,15.16666667,2.0,2.0,1.0,2.0,9.444444444,8.633333333,3
Y1050379,623.6666667000002,4.833333333,3.333333333,61.33333333,4.5,12.83333333,9.833333332999999,0.75028305,1.333333333,12.5,0.0,0.0,0.0,0.0,0.0,7.9,2
Y1050380,1002.166667,5.5,3.5,123.5,1.333333333,3.833333333,2.833333333,0.383012821,2.666666667,3.833333333,2.0,2.0,1.0,2.0,9.444444444,6.8,3
Y1050381,1109.833333,5.0,4.333333333,112.8333333,4.833333333,15.0,12.5,0.821184371,10.5,14.5,2.0,2.0,1.5,2.0,6.583333333,5.783333333,1
Y1050382,413.6666667,1.833333333,1.0,40.33333333,1.0,3.0,1.166666667,0.19949495,2.333333333,2.333333333,0.0,0.0,0.0,0.0,0.0,2.666666667,0
Y1050383,35.66666667,0.333333333,0.333333333,4.333333333,0.333333333,0.5,0.333333333,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,1.333333333,0
Y1050384,1014.666667,2.666666667,2.0,66.0,2.5,9.833333332999999,6.833333333,0.57196276,7.833333333,9.166666667000001,0.0,0.0,0.0,0.0,0.0,3.25,1
Y1050385,1003.666667,3.666666667,1.0,20.33333333,2.333333333,10.16666667,9.0,0.907017544,8.833333332999999,9.5,0.666666667,0.666666667,0.5,0.666666667,2.222222222,6.833333333,1
Y1050386,363.8333333,3.5,1.166666667,19.5,1.0,2.666666667,1.166666667,0.195238095,1.833333333,2.333333333,0.666666667,0.666666667,0.333333333,0.666666667,1.907222222,3.716666667,1
Y1050387,425.0,2.833333333,2.166666667,29.5,2.666666667,6.5,4.166666667,0.423063973,4.666666667,6.0,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.333333333,0
Y1050388,47.83333333,0.5,0.333333333,4.833333333,0.333333333,0.833333333,0.5,0.1,0.5,0.666666667,0.0,0.0,0.0,0.0,0.0,2.833333333,0
Y1050389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050390,47.0,0.5,0.166666667,1.5,0.166666667,1.0,0.666666667,0.111111111,0.0,0.833333333,0.166666667,0.166666667,0.166666667,0.166666667,0.370555556,1.0,0
Y1050391,208.1666667,0.833333333,0.333333333,11.83333333,0.833333333,4.666666667,2.166666667,0.147863248,1.5,3.833333333,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833333333,0
Y1050393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050394,246.1666667,0.833333333,0.666666667,17.83333333,0.666666667,2.666666667,1.833333333,0.236111111,1.833333333,2.333333333,0.0,0.0,0.0,0.0,1.111111111,2.166666667,0
Y1050395,40.5,0.5,0.0,0.0,0.333333333,1.0,0.333333333,0.055555556,0.833333333,0.833333333,0.0,0.0,0.0,0.0,0.0,0.333333333,0
Y1050396,901.3333332999997,4.0,3.5,79.33333333,3.833333333,10.66666667,10.33333333,0.642857143,6.0,10.5,1.0,1.0,0.5,1.0,3.222222222,2.666666667,0
Y1050397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333,0
Y1050398,50.83333333,0.166666667,0.166666667,5.333333333,0.166666667,0.833333333,0.833333333,0.166666667,0.166666667,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050400,563.6666667000002,2.333333333,2.166666667,57.16666667,2.166666667,7.666666667,7.166666667,0.475694445,3.0,7.166666667,0.5,0.5,0.166666667,0.5,1.4305555559999998,2.333333333,0
Y1050401,60.66666667,0.333333333,0.333333333,6.333333333,0.333333333,0.666666667,0.333333333,0.083333333,0.166666667,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0,1.333333333,0
Y1050402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050403,47.33333333,0.5,0.333333333,3.333333333,0.333333333,0.666666667,0.333333333,0.083333333,0.0,0.5,0.166666667,0.166666667,0.166666667,0.166666667,0.5555555560000001,2.0,0
Y1050404,207.3333333,0.166666667,0.166666667,31.0,0.166666667,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.333333333,0
Y1050405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0
Y1050406,219.1666667,0.333333333,0.166666667,34.5,0.166666667,0.333333333,0.0,0.0,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.0,1.0,0
Y1050407,497.33333330000005,1.666666667,0.833333333,35.16666667,1.0,5.666666667,4.833333333,0.486111111,3.166666667,5.166666667,0.166666667,0.166666667,0.166666667,0.166666667,1.0694444440000002,1.5,0
Y1050408,5.833333333,0.166666667,0.0,0.0,0.166666667,0.333333333,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,1.666666667,0
Y1050409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
Y1050410,35.5,0.333333333,0.166666667,3.166666667,0.333333333,0.666666667,0.5,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.333333333,0
Y1050411,184.6666667,0.5,0.5,30.66666667,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.166666667,0.333333333,0.333333333,0.166666667,0.333333333,0.333333333,1.333333333,0
Y1050412,1291.666667,3.833333333,2.166666667,74.83333333,3.333333333,11.66666667,8.333333332999999,0.5859321510000001,8.666666667000001,11.5,0.5,0.5,0.166666667,0.5,3.0,4.333333333,1
Y1050413,1077.833333,4.0,2.5,51.66666667,2.833333333,11.33333333,9.0,0.674505173,9.333333332999999,11.16666667,2.0,2.0,1.0,2.0,5.513888889,5.0,2
Y1050414,1715.1666670000004,4.166666667,3.0,96.83333333,3.5,14.83333333,12.16666667,0.8125,11.83333333,14.0,2.0,2.0,1.333333333,2.0,7.888888888999999,4.333333333,1
Y1050415,696.8333332999998,2.666666667,1.333333333,21.66666667,2.666666667,10.16666667,7.333333333,0.6205774620000001,7.833333333,9.666666667000001,0.666666667,0.666666667,0.5,0.666666667,2.902777778,3.5,1
Y1050416,1103.333333,5.833333333,3.5,118.1666667,3.666666667,9.833333332999999,6.333333333,0.662193362,4.166666667,8.5,2.0,2.0,1.166666667,2.0,7.277777778,6.083333333,2
Y1050417,724.8333332999998,3.166666667,1.833333333,52.16666667,2.166666667,7.5,5.333333333,0.618589744,5.333333333,7.333333333,1.833333333,1.833333333,1.0,1.833333333,5.458333333,6.466666667,2
Y1050418,440.0,1.166666667,0.833333333,60.66666667,0.666666667,2.166666667,1.666666667,0.25,0.5,2.166666667,1.5,1.5,0.833333333,1.5,1.888888889,1.45,0
Y1050419,217.8333333,0.666666667,0.333333333,17.83333333,0.666666667,2.333333333,1.833333333,0.233333333,2.0,2.166666667,0.0,0.0,0.0,0.0,0.0,1.35,0
Y1050420,953.6666667000003,4.333333333,3.5,99.0,1.833333333,4.666666667,1.166666667,0.102380952,2.166666667,4.333333333,2.166666667,2.166666667,1.5,2.166666667,8.652777777999999,6.55,2
Y1050421,953.0,1.666666667,1.666666667,104.8333333,1.666666667,15.33333333,12.16666667,0.630844156,8.5,12.16666667,2.166666667,2.166666667,1.166666667,2.166666667,7.120555556,4.883333333,2
Y1050422,386.6666667,1.5,0.333333333,2.166666667,1.5,9.833333332999999,7.166666667,0.475829726,5.0,8.0,0.0,0.0,0.0,0.0,0.0,5.333333333,1
Y1050423,396.0,2.166666667,1.166666667,36.83333333,1.0,2.833333333,1.666666667,0.216931217,1.833333333,2.833333333,0.5,0.5,0.166666667,0.5,0.092777778,1.283333333,0
