,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25,comp 26
active_num_days,0.143557120856,-0.139792201544,-0.0585159586707,-0.0111287925296,-0.144552829329,-0.149324177682,0.0267680777084,0.00170354061058,-0.1556889771,0.201435038642,-0.219388633856,-0.0894859969733,0.170236313226,0.0364991802822,0.0553437698023,0.27426375963,0.0797796827464,0.284442295198,-0.182561521517,0.412668651687,0.313463286366,-0.194868753746,-0.183588758954,-0.133990556287,-0.0655691059586,0.0672200809706
active_avg_count,0.147647302116,-0.0570701576233,0.0244406910861,-0.0401765270908,-0.0133654481109,0.343193340251,0.0160546162497,-0.117463003981,0.00976665446847,-0.0149224316607,0.354331966094,0.00401082781488,0.047174030986,-0.00303839589003,0.0369923175303,-0.101086335716,-0.124645297872,-0.0369453059293,-0.177996696517,-0.146159994259,-0.26266368508,-0.089149471769,0.204702509346,-0.344154288252,0.0364581800654,-0.00176706154025
active_sum_count,0.170407053564,-0.0554363167604,-0.00104727462715,-0.0410670707562,0.0022769024157,0.126975566153,0.161799471226,-0.0905003187356,-0.0727901787087,0.156234987273,0.0386269371099,-0.0270459051316,0.0793753635355,0.000456245480176,0.00689641455958,0.0226486527232,0.0885814583837,-0.0793645852892,0.0338460264721,-0.100139264766,-0.0185770194926,-0.117807111444,-0.0339101767019,0.221075416141,-0.181456105874,-0.109905767515
problem_num_days,0.136407959924,-0.157112229231,0.00671848234113,0.033455794818,-0.104055018996,-0.00860890932696,0.119467112023,-0.0892723312005,-0.106385544165,0.396134078152,-0.270161341543,-0.100266440876,0.0929364757617,0.0196355968912,-0.0181139690479,0.2932107353,0.138871852149,0.114378664415,0.0556464969917,-0.25265660123,-0.316821545197,0.130980560285,0.190711026956,-0.386247271249,0.266110944542,-0.140050587417
problem_avg_count,0.10743756187,-0.177806257234,-0.0246285943342,-0.083084062216,0.113135960773,0.395971980234,-0.0436565772164,-0.0823460083128,-0.111857361505,0.145823419796,0.378991855657,0.0262560863371,0.0859348510099,-0.0466718558612,0.0651493407062,-0.0437740465204,-0.105378484932,0.0343857612844,-0.0945342396717,0.284549566085,0.418247943366,0.102191434683,0.141516158629,-0.162520316289,0.113182870644,0.142238548844
problem_sum_count,0.119936402074,-0.207112772129,0.0165791768257,-0.0360715986094,0.0176768254135,0.278335939975,0.106865369757,-0.120210610116,-0.147899590826,0.341336818928,0.143187208817,-0.064555895662,0.119780145912,-0.020714466772,0.0514450227436,0.0313319158817,0.109257888004,-0.103267248705,0.237309787009,-0.065970034276,-0.163619043582,-0.0498415736598,-0.241869679164,0.48110797418,-0.197990584068,-0.0171852988657
video_num_days,0.154393601228,-0.12065215253,-0.0663539329208,0.0636174090811,-0.161919102838,-0.116388375104,0.0811583488415,0.00627203609437,-0.00543397382808,0.159448786258,-0.22482585737,0.0134119441815,-0.0481617820599,-0.0968908462898,-0.0571923453172,-0.0663624913446,-0.0560100716739,-0.157302510069,-0.0876026440432,-0.0149940164987,0.0251148145183,0.00310009055816,0.219258706076,0.140219540306,-0.212077280923,0.408060098518
video_avg_count,0.14723402864,0.111665776722,-0.0825021778004,-0.0656019193817,0.153161958672,0.137060267935,-0.0419411568526,0.0426527267163,0.0823296429716,-0.185341042571,0.082596618709,0.0475197197355,0.0981868591365,0.180580163103,-0.217754934899,0.0349861239296,0.206817884456,0.727676733198,-0.00498347462502,0.0231972758269,-0.186472895006,-0.0178009740382,0.0649447882779,0.224431841344,-0.0150752740273,-0.0614205232007
video_sum_count,0.170233824609,0.100798508277,-0.0569018557351,-0.0213112810977,0.0978486034376,-0.0137192435962,0.0982072730907,-0.0225452309178,0.0237679818158,-0.035013605515,-0.0393225733799,0.0735165748824,0.0654828203422,-0.00877224802991,-0.0269998868239,-0.0332122217286,0.0819897591906,-0.0603512591595,-0.133042904897,-0.117448090798,0.0476622213082,-0.00072038066233,0.14173694188,0.0316123065475,-0.136536729684,-0.0530114746996
forum_num_days,0.0289741374011,-0.0266448893216,0.0627468628774,-0.121012807465,-0.132258599168,-0.159866974013,0.38659669282,0.673876777998,0.368745153553,0.211860410659,0.364430216563,-0.0595528783096,-0.0286320342914,0.000675827169177,0.0362101444873,0.0839909898613,0.030262860702,0.0159118057243,-0.0060452463996,0.0187155596914,-0.0134082474917,-0.0357658914723,0.0247102598359,-0.0279864965807,-0.0219233511623,-0.0075736593412
num_watched,0.15834690989,-0.124889156931,-0.0697470636901,0.0963197510508,-0.0195799527928,0.0624609374881,0.139387198156,-0.0946012493748,0.219225434524,-0.0691178729812,-0.0861020450669,0.0075028727639,-0.0879280991894,-0.0180863398441,-0.121771530368,-0.0863928126,-0.123299527412,-0.0145900131691,-0.0169244902826,0.121209787861,-0.0767157863776,-0.115331480891,-0.175464619138,-0.0207224165526,0.112640668046,-0.0094652126587
num_complete,0.155059911117,-0.0944540784318,0.0351882484404,0.139852816133,0.0748183354164,0.0633021003882,0.0311068745668,-0.117615208407,0.300718551483,0.0502637213359,-0.0618189464306,0.0994936061545,-0.194397648662,0.0101777224733,-0.013384243388,0.00803736684323,-0.136481359132,-0.00219984573852,-0.221587538899,0.051692665226,-0.11472611519,-0.138820382611,-0.343264490753,-0.00231748391356,0.129522748219,0.0147054753109
num_incomplete,0.0992693836824,-0.137155118459,-0.262503302985,-0.035874246133,-0.21097869757,0.0346381365826,0.310176901611,-0.00650231557517,-0.0444665315102,-0.292676685779,-0.101535576488,-0.19009898415,0.173817918367,-0.0702965692634,-0.300132621638,-0.249999804889,-0.0440198268123,-0.0346998492305,0.422801265487,0.217631491842,0.0356285212025,-0.0175845416286,0.252437382606,-0.0509907419989,0.029982901879,-0.0566166074968
