,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21
active_num_days,0.141169231015,-0.145251216762,0.00218554030613,-0.0379361943948,-0.159923535667,0.0372679946436,-0.232824765689,-0.0468372431187,-0.162483884721,-0.00538870687844,-0.0422684476312,-0.277661688744,-0.0671262505303,0.0639930996454,-0.267067878136,-0.0623088624057,0.0535508256765,0.16432425346,-0.151789336655,0.439064164191,0.417441342721
active_avg_count,0.156675125063,-0.0248221212738,-0.0205927733795,-0.0310809155908,0.0561314301487,-0.240948213018,0.15157064975,-0.0848724918288,0.136166405112,0.113429107227,0.160943443765,0.225151641631,0.0623571136723,-0.0320865232171,0.061861854602,-0.0279131606645,0.0102015958583,0.0798085866926,0.135120085651,-0.36200377224,0.00619149876287
active_sum_count,0.174926896496,-0.0606608712873,-0.035858806246,-0.0248999065963,0.0879045688681,-0.102807139906,-0.101355578214,-0.0901482062603,-0.0156956713249,0.102973609924,0.0914415921102,0.00525238978735,-0.00474219250276,0.0337788641859,-0.0918640934945,-0.00397937823383,-0.0983560259762,-0.0965781544467,0.0587863182014,-0.000302530520765,-0.0720579378724
problem_num_days,0.135346362462,-0.185797944825,-0.00662103950045,-0.0383192023183,-0.0696748430409,-0.00673813317541,-0.268219015225,-0.169224167367,-0.219976872306,0.0547403831923,0.00170170575412,-0.162421111949,0.0506970459588,0.0739063349012,-0.337796805757,-0.160212923435,0.0178857043626,-0.217055161313,0.113157126771,-0.284921787938,-0.0195572521901
problem_avg_count,0.118831348612,-0.110110816661,-0.0651442922403,-0.0982080100135,0.0674337211743,-0.212563877034,0.264742754095,-0.243820634477,-0.0618935559485,0.307677825367,0.336422924218,0.149802521523,-0.137524589771,-0.04032958328,-0.103851528418,0.207015779781,-0.0772299674761,0.302709434775,-0.214118721298,0.208834414003,0.0542693598437
problem_sum_count,0.134649278105,-0.191569578716,-0.0390987755381,-0.0822799407,0.0823229675296,-0.160166986282,-0.0587591544603,-0.247813962092,-0.156836321286,0.224289871895,0.217736163515,0.057659011165,-0.0184125377143,-0.0101968147404,-0.180368760144,0.0406102473876,-0.172361445785,-0.214933392011,0.144236928225,-0.0146856729694,-0.0280207225774
video_num_days,0.14832482866,-0.149711849516,0.044670089857,-0.0225583541688,-0.117894652835,0.022562247699,-0.28257535108,0.00762746568873,-0.204542440515,-0.0102134107454,-0.108496649632,-0.124286793783,0.0249199262908,0.0212921130562,-0.0113973730588,-0.00565014467056,0.126829730244,0.0125516673684,-0.0673842983685,-0.114231371982,-0.222744033227
video_avg_count,0.128615041921,0.18799147383,-0.0862358924133,-0.148138576705,0.0831530583043,-0.0424340182205,0.260081344141,0.0673113503308,0.13880667008,-0.0470689640912,-0.106791932838,-0.145955720461,0.137142663442,0.0953683017328,-0.189900596489,-0.0362348623836,0.0158905567619,0.197361232668,0.233780515311,-0.0212897448824,0.443383459526
video_sum_count,0.173964367139,0.113339952572,-0.0279868270986,-0.0524004587619,0.119669128547,0.0147480506163,-0.0358721064261,0.0340827023337,0.0314857897501,0.000131693065162,-0.0627703745944,-0.0229857114768,0.031852096782,0.0698824137146,-0.0136170288714,-0.0228273339728,-0.0797921627415,-0.0105066237478,-0.0249462408522,-0.00318581382025,-0.0492810493304
forum_num_days,0.0188495859273,-0.00988075019745,-0.073450054031,0.102810611939,-0.0935288043273,0.0593949042401,-0.0398410634589,0.773056214355,-0.0779151710753,0.518429728348,0.204715366914,0.010595378896,0.0607389884807,-0.130524750774,-0.151605938169,-0.0437044830435,0.0579433733419,0.0119428811408,-1.55715551206e-05,-0.0520711595437,0.0152306829715
