,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8
active_num_days,0.373165709713,-0.157812842741,-0.143132540939,-0.391617951458,-0.712035150294,0.341559268594,-0.174433653625,-0.088921464486
seek_video_sum,0.40105945802,0.279135993203,0.0269869777418,-0.0573414080696,-0.107930451561,-0.197645381195,0.830762043095,-0.127827317327
video_forward_seek_sum,0.277328799313,0.463957317935,0.736717408689,-0.184694529752,0.131693847127,0.192854279889,-0.243245597768,0.131389768037
video_backward_seek_sum,0.337286371783,0.435688231946,-0.292161596966,0.285982460679,-0.169591744252,-0.5519092468,-0.440290559171,-0.0452586840034
video_pause_sum,0.363345727134,0.193087279054,-0.423285835619,0.325572538099,0.345198567166,0.642971669852,0.0111794507986,0.113266102231
Problem_num_day,0.348067412974,-0.469689437146,0.218605346971,0.365232616511,-0.125462824638,-0.146695773619,0.0583354197591,0.660601358771
hw_mean,0.363394863798,-0.427067329269,0.264567923755,0.284064953181,0.180939572773,-0.0187251321756,-0.109556074729,-0.699840190508
exam_mean,0.352134116882,-0.227640521909,-0.231772425257,-0.638250786546,0.517310577069,-0.25921830674,-0.104175794109,0.132067683788
Regression P>|t|,0.0,0.0,0.022,0.0,0.0,0.0,0.004,0.0
