,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16
active_num_days,0.145520900355,-0.126985024709,-0.0445661761371,-0.0914159831962,0.0748868839629,-0.0488740574289,-0.266896095877,-0.0940168426432,0.0979747101313,-0.144004641342,-0.0143286424076,0.13659218315,0.00425841429043,0.245352354658,0.0331329958196,-0.157824975232
active_avg_count,0.146129430908,-0.0527550264482,-0.0391686978908,-0.0682504985247,-0.013742488039,0.242386987723,0.246397067091,0.0694215862789,-0.298004028274,0.0604715851071,0.0935993601724,-0.0858079746273,0.00288105818133,-0.114948449948,-0.0644971926257,0.0392575006308
active_sum_count,0.171357565349,-0.0684922626903,-0.054591496971,0.0214140586662,-0.0894578234031,0.138591377184,-0.0438454624824,-0.0305700973423,-0.139934326398,-0.0795512256648,-1.85302225469e-05,0.0419729898968,-0.022021080009,0.111507088033,-0.00323694631898,0.0512497763063
problem_num_days,0.135925817574,-0.171898786535,-0.050078792964,-0.0697537798725,-0.0201824552359,0.0289832952365,-0.273179970139,-0.20186008675,0.0304867672733,-0.243288630925,0.0291941013521,0.0761567541449,-0.00964111168664,0.263924797177,-0.077714566367,0.00136945034739
problem_avg_count,0.103486390195,-0.139779725375,-0.0624617860526,-0.114215496129,0.00997994578166,0.225825846446,0.331675167614,0.011954478025,-0.485725768501,-0.195719015679,0.0676657017436,0.0166301931626,-0.0531006277625,0.0722337908566,0.0912574634831,-0.0196108879113
problem_sum_count,0.127966279888,-0.200535661126,-0.0831538900445,-0.0628696491425,-0.0854476514439,0.176860136366,0.0135818148275,-0.109317580736,-0.309996889919,-0.279586563583,0.0131447065949,0.0587681482708,-0.0841949183731,0.15460962016,0.0203316360443,0.137606058298
video_num_days,0.150730960115,-0.132942092977,0.00804565656895,-0.0698812297962,0.00316327548864,0.000276921195541,-0.286319002675,-0.0967574284089,0.18228042019,-0.17884200104,-0.0538523538327,-0.03802740734,0.030907418271,0.0825372836866,0.0064410717862,-0.0371494903309
video_avg_count,0.134446768255,0.178217621977,-0.0929998273193,-0.0606886016953,-0.0508900650661,0.0156254383021,0.300241151197,-0.00332920878961,0.074791492438,0.224912022758,0.0170183110639,0.0515783671692,0.0620264689349,0.117530721957,-0.0796633445395,0.0106895130016
video_sum_count,0.172399667522,0.114396982638,-0.0305340689505,0.0444350835819,-0.119399904823,0.0245636913323,-0.000935852315047,0.00745314320551,0.0392388455181,0.0522824557258,-0.0376458178618,-0.0283697461039,0.0109955985302,0.0781716612468,-0.0281257352048,0.035733154944
forum_num_days,0.0436821610255,0.0787427738881,-0.00642827313991,0.0378580964936,-0.0194505333118,-0.0694796271833,-0.127441644163,0.817257838152,-0.132115823619,-0.284850715656,-0.347075586761,0.0387762243496,0.0380763486944,0.0608493470677,-0.154119373453,-0.113475893555
num_watched,0.162997905919,-0.112938130424,0.0213305791939,-0.054645333429,-0.166357805926,0.153979176477,-0.00688051557051,0.0117731602581,0.149843075048,0.0249494345661,-0.0170842430901,-0.0987714288526,0.0162432648443,-0.0555497946935,0.00987759420926,-0.0288798651995
num_complete,0.158867855923,-0.104827654014,0.103538285485,0.0346592467597,-0.161673272258,0.100011659966,0.071774178907,-0.0229783784652,0.173714169934,-0.0923720674262,-0.0024272716265,-0.180157026783,0.036315863262,-0.0667574453932,-0.0729292828766,-0.119563953796
num_incomplete,0.106397205998,-0.0860797103268,-0.180918355126,-0.242689475575,-0.109695537075,0.21839743148,-0.189284021739,0.0888098042911,0.032662673923,0.291046814829,-0.0446443424984,0.133053190388,-0.0376299646916,-0.00655608152652,0.200838442214,0.196399752333
complete_rate,0.147658587798,-0.0990850493412,0.172265152938,-0.05652683596,0.108130583498,-0.00727462398306,0.158778815586,-0.0203830550912,0.172763054273,-0.175372001955,0.0471794777443,-0.188285631401,0.0271665319185,0.160039317951,-0.163681074334,-0.193494931398
incomplete_rate,0.0536678175493,-0.0709441245557,-0.190273047632,-0.32312456657,0.216756924222,0.0906720033904,-0.284930880233,0.112505649498,-0.102401974366,0.358862250384,-0.156230716607,0.158250689913,-0.100228731749,-0.118163235202,0.154564064069,-0.0890777510673
