,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25,comp 26,comp 27,comp 28
active_num_days,0.140095279383,-0.147523810923,0.0667139859465,-0.0264045794228,-0.151265930181,-0.182109707621,0.0793759840474,-0.222513979751,-0.124882046766,0.109971259748,0.0887018480345,-0.113129482673,0.0785600791777,0.11738130246,0.186064649006,-0.153866163833,0.206329021778,-0.0149320445263,0.387459555356,0.220630448718,0.36170605214,-0.0199296776969,-0.143034701416,0.241520129662,0.261956900332,-0.0471871413312,-0.341253744746,0.0361766388317
active_avg_count,0.145935991786,-0.0426809845502,0.0413748411319,-0.0999094389796,0.0766830628269,0.25362717856,-0.240952430992,0.231463540036,-0.0678630842508,-0.110475131022,0.0867904352763,0.0310649910803,-0.0528832507766,-0.0436345984321,-0.155410945714,0.0479693929322,-0.0611014407213,0.0965502209353,-0.193184632717,0.103830666366,-0.376160983664,0.219502085416,-0.210919901404,0.285734776574,0.258932604477,0.195288521528,-0.366347793359,-0.17700184137
active_sum_count,0.169410171901,-0.0466760648363,0.0546454366412,0.0211535260019,0.0447346316684,0.0334930939808,-0.183482607543,-0.0346611675913,-0.156927403438,0.0401674056595,0.043543434769,-0.0299601221705,0.0384336728275,-0.0177025793597,0.063370209991,0.0244740009034,0.0117304941588,-0.133529662142,-0.0515702365435,-0.0128291021156,-0.104332654955,-0.00889425602457,0.0808607580949,0.00417218052178,0.243126376496,-0.0738550237417,-0.0573832313893,0.238632818692
problem_num_days,0.135359557498,-0.180352061236,0.04843038615,-0.00302466965723,-0.073456078933,-0.118800786258,-0.0453112668104,-0.308252354946,-0.207964479172,0.166867107724,0.174994806244,-0.0302871495104,-1.03459191951e-05,0.0468523423903,0.16671088565,0.00589629907016,0.144090067003,-0.278511355794,-0.00051029026533,0.076089055083,-0.357410555508,0.177730039983,-0.0555130907008,0.080541791841,-0.167906760644,0.12635586511,0.0721575519645,-0.231684725106
problem_avg_count,0.105533521872,-0.132728914801,0.0933916961958,-0.145092033943,0.173030980671,0.300912191567,-0.216357989301,0.265722551484,-0.299766821731,-0.0355273256493,0.225736922337,-0.0783189676683,0.170698841115,-0.0771910566513,0.0521245428018,-0.0376010935322,0.0268995224829,0.233669079079,0.0332885234306,-0.00519431309532,0.446783180256,-0.166303313769,-0.167419694937,-0.0579938745035,-0.306572964397,0.103493310411,0.0206120782964,-0.184519026224
problem_sum_count,0.128618816279,-0.18090289969,0.0941633223868,-0.0516063604227,0.109865239116,0.103473136119,-0.226523173379,-0.0230571331606,-0.362130553745,0.0922890616443,0.202657428415,-0.0723483880837,0.090005779225,-0.108201477083,0.106040327996,0.0888911391515,0.0630089571032,-0.158243379326,-0.0348824210163,-0.0250809668692,-0.123029300913,-0.0446145021124,0.302455782637,-0.212352407278,0.129161171132,-0.152375842171,0.291663858334,0.253648477621
video_num_days,0.147359486806,-0.142495581327,-0.00256391013503,-0.0374557252743,-0.124232675232,-0.164125375015,0.0163544318093,-0.310503846192,0.00269126835001,0.170983759264,0.00167541419938,0.0215773578113,0.0308115921067,0.0134345497561,0.0291108795275,-0.0142118100959,-0.0444055763912,0.161510182027,-0.193070394701,-0.0854793030199,-0.0560126938166,0.0396680991455,-0.199887769949,-0.0651074382951,-0.311591575148,0.218716784355,0.167366087573,-0.311513316629
video_avg_count,0.137598218817,0.161307442829,0.0990338455558,-0.0682861598784,0.135888498209,0.181039675285,0.0237495551614,0.127756479629,0.162204640162,-0.118498667745,-0.0666090195195,0.0225083509446,-0.0596004749011,0.216161321246,0.117567345613,0.0713507808609,0.271386894312,0.0920696451651,0.288660295954,0.533949838,-0.129419362761,0.300331188407,0.187092543399,0.0243973258055,-0.264004875485,-0.100727515393,0.19085272618,-0.0380279969888
video_sum_count,0.168270066621,0.129652768068,0.0357821202083,0.0277818020364,0.0737788636188,-0.00221964041734,-0.0324720510748,-0.0325751011286,0.0401083196088,0.00671169434402,-0.0555589634963,0.0350843224504,0.0245085708294,0.0546737690576,0.0368407029121,0.0398546275455,0.0374245783467,-0.0223444855791,-0.103994464709,-0.0403976704971,0.0190570896309,-0.0903041156937,-0.0587641065029,0.0858804834861,0.0650658318025,0.0246577808869,0.017291652957,0.010340577487
forum_num_days,0.0567010595668,0.0835039996854,-0.0347543766841,0.0712536268644,-0.0747061998759,-0.285500476259,-0.221038541072,0.532413736014,-0.0311468236204,0.691032272256,-0.211807224089,-0.00536714252998,-0.0835731778369,0.00632755197465,0.0586570756757,-0.0972266791205,-0.0490971373172,0.0247269421862,0.0759842172713,0.0365699852631,-0.0194966653976,0.0489094533344,0.0184754691186,-0.00362801178426,0.0182444671308,0.00939401838097,0.0369000898234,-0.0656367328293
