,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20
active_num_days,0.139751630489,-0.151511951555,0.0714513666985,-0.0530281237423,0.111088034162,-0.223970707565,0.00811324482494,-0.204537426215,-0.0319789425931,0.104164851468,0.113032281892,0.103592781263,0.089520426703,-0.143740500974,0.193505404449,-0.211747715059,0.173416791737,-0.0537491401882,0.281767633176,0.50622883855
active_avg_count,0.147567808669,-0.0347704713468,0.0236507795181,-0.0904786138181,-0.0604262023837,0.249825611925,0.179131861354,0.2857704149,-0.13537304044,-0.0778625678262,0.0622886025544,-0.0494570583821,-0.0402365329362,0.0855000199158,-0.100452252537,0.084250869607,-0.00702136960437,0.00472964720527,-0.226990192725,-0.147643991364
active_sum_count,0.170867689242,-0.0487611155376,0.0569456955749,0.0329508088535,-0.0652462454767,0.00925107794063,0.171996543582,0.0273147623931,-0.125388875031,0.0725864259268,0.0829913000729,0.0268075876568,0.00889318584121,-0.0517928862294,0.0604191465828,0.0388464652094,-0.013546619975,0.125172923603,0.0555726798797,-0.123844794451
problem_num_days,0.134979158618,-0.182707046317,0.0666412056149,-0.0174379686452,0.0364773627389,-0.188218266429,0.118584496461,-0.273959976159,-0.101686686553,0.107925216695,0.2048605817,-0.00509973511772,0.0534217706238,-0.066216785516,0.187220149744,-0.00574861226223,0.0532967079673,0.264990581476,0.117696418677,-0.123510058951
problem_avg_count,0.104038121904,-0.119302237112,0.0641106109579,-0.149555478498,-0.114511897295,0.333356770891,0.150584734212,0.319716325794,-0.316936175378,0.0883542372278,0.241317340733,0.0852527088265,-0.0160928316709,-0.147405929703,0.0331592968099,-0.0615328535945,0.0727854220165,-0.179979025329,-0.110685169364,0.248965845423
problem_sum_count,0.130327794343,-0.176141961533,0.0928789207319,-0.0465040842521,-0.110536737632,0.0790482404943,0.215933475581,0.0324312056463,-0.304017846715,0.166296743549,0.268169580957,0.0515012684071,-0.0448419550457,-0.128542667335,0.0882258384125,0.101278099731,0.0363204631935,0.153199140988,0.120050692216,-0.148576059548
video_num_days,0.146177203616,-0.152044627207,0.00814023922635,-0.0327544605607,0.0707393332444,-0.223018130205,0.0808236609736,-0.273580280192,0.0988482601135,0.100566210669,0.0724072267198,-0.0684049198313,0.0212737021402,-0.0708587926228,0.0280293624475,-0.0556419681693,-0.0456775267758,-0.077957474554,-0.206223661803,-0.127066602823
video_avg_count,0.13695351405,0.175790999996,0.0740229882186,-0.0782578712299,-0.0876930902143,0.225905760447,-0.0355663439348,0.085979117605,0.111472212398,-0.145159329599,-0.127325145015,0.0494504569731,0.126319830737,0.0464027129121,0.139676506753,0.0560157823537,0.278963026762,-0.120174397569,0.109503774316,0.40127227403
video_sum_count,0.169984042599,0.130620136664,0.0317809942979,0.040319217448,-0.0826500004559,0.011188308713,0.0356293196656,-0.0231836307156,0.0469827544013,0.010936272986,-0.0602906523754,-0.0167395683178,0.0534072856741,-0.0111914219221,0.0537985450842,0.0311876435627,0.0364097076581,0.0479264352185,-0.0585819632732,-0.0630687694323
forum_num_days,0.0476731809221,0.0747798561106,-0.0790083191779,0.0205467492071,-0.0263087218607,-0.30640684554,-0.0936793184216,0.576392426253,0.286203172189,0.606222159783,0.0954789097638,-0.119339288009,0.0181373939148,0.0504049744618,0.155805228199,-0.0987164034756,-0.10073699013,-0.0713468093574,0.0321753298775,0.0113453221139
num_watched,0.163347944027,-0.109389510731,-0.0132285381145,-0.0424051449983,-0.105441155161,0.00868684942512,0.192126774673,-0.0622251650825,0.182006921286,-0.0409026823074,-0.0495573825879,-0.117292515017,-0.00788775576887,-0.0208711205268,-0.0436224846753,0.00687055611547,-0.0369880401769,-0.131945960099,0.00287137154854,-0.0194150859663
num_complete,0.157728664207,-0.106350674248,-0.103668410582,0.038646290667,-0.121835069835,0.0952303665276,0.116514899403,-0.114767004407,0.196300737607,-0.0168628777961,0.0718528719726,-0.178353584748,-0.0393032023766,0.0623208099186,-0.0261519694641,-0.0511971326024,0.00694018164322,0.0300435092219,-0.106627282832,0.0541439825712
