,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24
active_num_days,0.143108286474,-0.133971627069,-0.0211931589307,-0.0502481566044,-0.171300112397,-0.151448882957,-0.0814110662495,-0.17077029269,0.134038600907,-0.149061619905,-0.064179825904,-0.188044531153,0.0229824728297,0.221668577588,0.217679135239,-0.145407160389,0.0718409833832,0.0844471632022,0.416237260844,0.254729425104,-0.311993783997,0.0895611459733,-0.264989598042,0.244433371083
active_avg_count,0.150478718342,-0.043937916987,-0.0233348867501,-0.0437578734289,0.0554746889329,0.308619104737,0.0536206990941,-0.0230904686693,-0.0176892942085,0.188483623827,0.216372296484,0.131862364453,0.0427343192385,-0.103004819777,-0.112743783742,-0.011162642469,-0.0268549841559,0.239837515587,-0.182629728415,-0.170012160841,0.352611108034,-0.0440913804618,-0.408008234236,0.267561501261
active_sum_count,0.17170975155,-0.0561222522934,-0.0347118890157,-0.0107532460251,0.0453985449974,0.0839158396218,-0.123192009324,-0.119900328398,0.119094298771,0.0680560368079,0.0881423323408,-0.0115116040487,0.0543221605936,0.00315859534803,0.0699457412862,0.0325816522116,0.098645073393,-0.0770796475812,-0.0491240217107,-0.0245168207338,0.0425444184475,-0.013361470552,0.0159761482504,0.0671663578235
problem_num_days,0.137850538958,-0.175428188811,-0.00677289996253,-0.0252789608804,-0.0822827646943,-0.0750449397998,-0.147519401485,-0.270902263624,0.242059543467,-0.143394430542,0.0234491615897,-0.114374483842,-0.0402657498095,0.131816953878,0.301821887109,-0.173503553458,0.135926682693,-0.0630704088861,-0.104823484241,-0.134019745703,0.432603731996,0.00646267320215,-0.0552006209787,-0.0218749077335
problem_avg_count,0.117136135938,-0.131052013262,-0.0791691249759,-0.110240905676,0.159519170677,0.307880042396,0.146610695876,-0.175871811662,0.149120080271,0.105068743166,0.337470530414,0.0363375923089,0.241925133438,-0.137231412104,0.0548496192507,0.160409871833,-0.0656530730067,0.138414753555,0.213798433201,0.0530960385777,-0.414587266828,-0.0209555737503,0.054448526428,-0.133258984531
problem_sum_count,0.132491478346,-0.194253564888,-0.043534039942,-0.070338697604,0.087937235695,0.169261343902,-0.0671904660916,-0.241982940926,0.260308050065,0.0422682724433,0.244020695993,-0.0188120439246,0.118277316672,-0.0793657719843,0.150827913926,0.0730860828418,0.13145516084,-0.130673002804,-0.0225478651182,0.000578381339327,0.14139022988,0.00240550004479,0.28766226901,-0.0814057420816
video_num_days,0.150314842512,-0.127592404287,0.0356394949176,-0.0495096057748,-0.160419421811,-0.139950419745,-0.152197510662,-0.115764644801,0.140494739638,-0.172201497758,-0.135569389338,-0.0748792297347,-0.0926637637681,0.0747813100231,-0.00761777216819,-0.010705249425,-0.0951913716316,0.0149917875584,-0.207222512001,-0.0713239409583,-0.0134992524359,-0.090637249858,-0.00151513611817,-0.27761316575
video_avg_count,0.128523954857,0.154701153896,-0.125420643908,-0.100336008261,0.17214473905,0.160868898158,0.150691142481,0.15902957927,-0.123375917564,0.0929041022829,-0.09379104858,0.0514591343857,-0.130059526835,0.260869852256,0.212367674558,-0.0825475756137,0.110278452318,0.343450431312,0.449273822281,0.0957276024513,0.334910682356,-0.036264570602,0.056608380688,-0.098065680988
video_sum_count,0.171025788084,0.116201789431,-0.0353041389378,-0.0182604085935,0.094390769199,-0.0142879752377,-0.0763138927958,0.0252686451722,-0.00349349524262,0.0284326054895,-0.0559099610115,0.0418896117671,0.00158265778299,0.0658489693697,-0.00110918068047,0.0417018722912,0.0758252294975,-0.0170324477445,-0.0392879522028,-0.0820231525011,-0.0587655414067,-0.0321087532973,-0.0554110937542,0.0391092755118
forum_num_days,0.0277989260063,-0.0343102436063,-0.111935513442,0.146602192612,-0.125550013185,-0.0263437574252,-0.0688710060525,0.726257054346,0.568075435907,0.161087081238,0.127744531454,-0.184752185439,0.040084057266,-0.0268705343564,0.051221910531,-0.0526193247324,-0.0150288310875,0.0177627082847,0.010106563638,-0.02780581151,-0.00231180929469,0.0426721715691,-0.012862936775,0.0226007267785
