number_of_comp,pMAPC,pMSE
1,0.419318184005,484.02395796
2,0.463387451131,407.203436264
3,0.556444965001,310.431915289
4,0.570672830397,300.646639145
5,0.569300688468,301.505817782
6,0.581569231475,291.67852423
7,0.577340018164,299.015635038
8,0.572935901874,305.426491396
