number_of_comp,pMAPC,pMSE
1,0.417191097455,486.63872848
2,0.415612978862,470.178316809
3,0.420312854422,469.901641596
4,0.440107657332,447.167682165
5,0.446744226046,445.091686645
6,0.445252539055,452.075382408
