username,hw_mean
Y1050244,0
Y1050202,6.907058824
Y1050195,1.382352941
Y1050235,0.132352941
Y1050185,10
Y1050214,0.279411765
Y1050266,0.764705882
Y9999994,0
Y1050197,5.411764706
Y1050167,1.294117647
Y9999986,0.705882353
Y1050164,0
Y1050223,0.235294118
Y1050218,0
Y1050206,2.852941176
Y1050240,0.441176471
Y1050234,0.352941176
Y1050172,0
Y1050209,8.197058824
Y1050246,3.342941176
Y1050191,0.294117647
Y1050178,0.308823529
Y1050161,0
Y1050255,3.098235294
Y9999992,0
Y1050190,6.987647059
Y1050268,0
Y1050168,1.029411765
Y1050229,9.980588235
Y1050265,0
Y1050160,0
Y1050219,1.294117647
Y1050224,2.470588235
Y1050231,0.352941176
Y1050258,0.294117647
Y1050182,7.117647059
Y1050165,0
Y1050256,0.661764706
Y1050225,7.723529412
Y1050249,0.705882353
Y1050260,0
Y1050232,0
Y1050170,3.326470588
Y1050220,0
Y1050181,0
Y9999987,0
Y1050252,0
Y1050184,0.647058824
Y1050222,0
Y1050245,0
Y1050162,0
Y1050233,0
Y1050226,0
Y1050228,5.674117647
Y1050193,0.058823529
Y1050250,0.735294118
Y1050247,3.529411765
Y1050272,0
Y1050216,0
Y1050251,0
Y1050166,0
Y1050238,2.411764706
Y1050174,6.71
Y1050242,0
Y1050271,0
Y9999995,0
Y1050180,0.352941176
Y1050269,0
Y1050207,0
Y1050169,0
Y1050263,0
Y9999999,0
Y9999997,0
Y1050248,1.676470588
Y1050208,6.647058824
Y1050261,6.039411765
Y1050188,2.705882353
Y1050200,1.529411765
Y1050189,7.52
Y1050213,0
Y1050199,4.147058824
Y1050267,1.705882353
Y9999998,0
Y1050253,0.235294118
Y1050264,0.441176471
Y1050187,0
Y1050257,0.176470588
Y1050196,0
Y1050163,0
Y1050177,1.058823529
Y1050211,1.897058824
Y9999993,0
Y1050221,7.149411765
Y1050243,0
Y1050217,0
Y1050259,6.154117647
Y1050173,1.058823529
Y9999990,0
Y1050212,0
Y1050175,0.529411765
Y1050186,8.436470588
Y1050273,4.544117647
Y1050236,1.058823529
Y1050183,0
Y9999989,0
Y1050179,7.980588235
Y1050194,0.941176471
Y1050254,1.470588235
Y1050215,0
Y1050241,0.573529412
Y1050203,0
Y1050204,6.659411765
Y1050171,0.529411765
Y1050239,0.058823529
Y1050192,7.862941176
Y1050198,0
Y1050210,0
Y1050230,0
Y9999988,0
Y1050227,0
Y9999996,0
Y1050270,4.666470588
Y1050237,0
Y1050176,9.484705882
Y1050205,7.711176471
Y1050262,1.235294118
Y9999991,0
Y1050201,6.644117647
