,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13
active_num_days,0.129581094791,-0.133669523183,0.10849965341,0.189217140473,-0.068972624532,-0.166330650182,0.183758664086,0.0171224084363,0.133998281005,0.0102409315234,-0.170036911838,-0.160547491488,0.110949023815
active_avg_count,0.107699931596,-0.0568074385169,0.0448930260645,-0.24776758489,0.225582561961,0.0568381193468,-0.278937426583,-0.171299790522,0.0546624710405,0.16432720712,0.0545582203499,-0.0094212736371,0.0517048496655
active_sum_count,0.181115863904,-0.0884186407916,0.0565965753256,0.0225328523483,0.00623608922695,-0.0865588997794,-0.132852471528,-0.0515029103778,0.144799596823,0.0385185585054,-0.0324194410861,-0.143725046973,0.00929051255841
problem_num_days,0.145191459539,-0.113555914591,0.0877282665464,0.141592914232,-0.0668868283307,-0.217925605621,0.148626136026,0.00278692194097,0.17294226639,0.0219277597934,-0.184555354052,-0.118264038308,0.0299314922049
problem_avg_count,0.0604935344222,-0.159033024893,0.155564322035,-0.218978396981,0.156890073588,0.0403550369174,-0.27162786333,-0.214014650907,0.203535130023,0.195581957784,-0.0874433712371,-0.148522335003,-0.0187829170243
problem_sum_count,0.120254198615,-0.185874523518,0.15318798915,-0.0329053271,0.0285733899453,-0.122554483827,-0.157944845865,-0.116727493351,0.261763334548,0.106072018317,-0.195555100877,-0.230615123474,-0.0522377652615
video_num_days,0.154078607644,-0.136023349151,0.0361500664008,0.116437668711,-0.0369726315034,-0.173183225468,0.186412952875,0.01725941545,0.0626140416129,-0.0759532680229,0.0183412501927,-0.0901116263673,-0.228866973392
video_avg_count,0.151965883661,0.116764989865,-0.0302207085621,-0.124135067773,0.163334463617,0.0689582613588,-0.170388345351,0.0881876213976,-0.0958634684447,0.0733412878527,0.0938193857342,0.135576839787,0.118735593595
video_sum_count,0.190275037406,0.0842223047889,-0.0409294293635,0.0169894337917,0.0137219071999,0.0250168120065,-0.0928592003159,0.0970647496158,0.0217736829698,-0.0334779189328,0.083347148741,-0.0538457379895,-0.0107544772914
forum_num_days,0.00530410652803,-0.0980767455257,-0.000841858472127,0.413053865209,0.250845133651,0.25923378079,-0.0355240239217,-0.0450625129227,-0.0314609097478,0.0304630255052,-0.111781242495,0.0312021135266,-0.0275393911154
forum_avg_count,0.00597128777446,-0.0848701974154,-0.00666102011124,0.416844255256,0.260531956196,0.249890067911,-0.047824806047,-0.0505746918065,-0.000638229345963,0.0412696562572,-0.0696044227558,0.0645786023708,-0.0580092425967
forum_sum_count,0.00682649853041,-0.0946550270307,-0.00313993105255,0.416191591697,0.252246504105,0.258848045237,-0.0411558322163,-0.0446132264702,-0.0196257175224,0.0351250199374,-0.0869418595133,0.0484304365955,-0.0462034136275
num_watched,0.161078114311,-0.151116073493,-0.0843729327883,0.0196624895995,0.106090727405,-0.170445335885,-0.0843304675182,0.0915939586948,-0.117622408124,-0.0384847709985,0.0967915468022,0.0672513263122,-0.13388169429
num_complete,0.152155012924,-0.16221303085,-0.153462298153,0.00630954175988,-0.019184747571,-0.139322567556,-0.135223677505,0.111323327854,-0.0951004263312,0.0343949627232,-0.0550287798692,0.1191866115,-0.141489630024
num_incomplete,0.0738196342314,-0.0177338954115,0.156539013074,0.0414655076014,0.364593650961,-0.135488051659,0.108398277485,-0.023662937056,-0.0962629507622,-0.204862731491,0.431943039776,-0.116479325766,-0.0215954731243
complete_rate,0.1416874371,-0.18834871283,-0.109523528493,-0.0798122876647,-0.0340128476432,-0.0428421241783,0.0258413643586,0.0549403779739,-0.189413517175,0.0966808455442,-0.275971067251,0.13154181212,-0.0917329544868
incomplete_rate,0.00747664650567,0.0427668985399,0.234832984531,-0.092307098097,0.264917247728,-0.00408737345241,0.333171217517,-0.227250351959,-0.0804971406988,-0.144502101833,0.309090459498,-0.116390596496,-0.0369924347147
watched_time_hour,0.136012249726,-0.075132071611,0.059035744056,0.00778049410421,0.0293889507803,-0.274918219086,0.132659880335,-0.0847619290693,-0.0363097564236,-0.021428025239,-0.161940420484,0.0301660523715,-0.251665643954
