,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9
active_sum_count,0.419566371955,0.0859097685313,0.012793742032,-0.0703968181061,-0.18030607225,0.0982364219246,0.0124216723211,0.838274113668,0.257770668404
video_num_days,0.394620138189,0.0197915621938,-0.130128786737,-0.0246004112694,-0.119092805107,0.635202391161,-0.566113165423,-0.235751134522,-0.180600863152
stop_video_sum,0.28770843593,0.0324352707498,-0.601279981661,0.35082192081,0.638138965898,-0.0904085967595,0.0867785475825,0.0597573833404,-0.0711453251386
video_forward_seek_sum,0.218449212926,0.397086178308,0.601848013483,0.600487341748,0.117710404207,0.132950792868,0.175385428748,-0.0905042791704,-0.0362450505368
video_backward_seek_sum,0.305447812785,0.444428665682,0.165551043707,-0.384921264639,0.200483837819,-0.553226657998,-0.412079895986,-0.128777194853,0.0310862639197
video_pause_sum,0.357788384951,0.302878529404,-0.182437458798,-0.389513371584,-0.182208432859,0.156348918408,0.670828430396,-0.291139210104,-0.0532001412075
Cumulative_num_days,0.313099535288,-0.506595316731,0.327697218122,-0.172718819483,0.169618015213,-0.114681640434,0.125965035834,0.126416099719,-0.65904646152
hw_mean,0.330999728287,-0.507090109773,0.212440674485,-0.0625577102739,0.209168029274,0.0231342425848,0.0537613252599,-0.287944693328,0.673917954201
exam_mean,0.329908728988,-0.174547670073,-0.214329395935,0.420889220239,-0.621541894999,-0.465645904888,-0.0499292199403,-0.172386662061,-0.0475183280081
Regression P>|t|,0.0,0.0,0.006,0.0,0.0,0.0,0.165,0.006,0.0
