,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25,comp 26,comp 27
active_num_days,0.13570023178796323,0.11020147857340484,-0.19034875234550513,-0.09623969196156922,-0.0037244893494496186,0.04772422077599124,-0.2182429363051514,0.08054463674951584,-0.03149252045574376,0.06407127592907734,0.29709349087419484,-0.026581396688291743,0.11706861822243295,0.130087106969702,-0.13318308394327394,-0.25443993003009785,-0.06735155633545017,0.1220516301449908,-0.12395772925567813,-0.09935147440362783,0.366402171691914,0.297601535105008,-0.16861170730342434,0.06178540934174721,-0.05491699281829881,0.3692279494712376,0.3409476458645794
active_avg_count,0.12965868846094097,0.00614680369824816,0.06019759200845784,0.24602235655939092,-0.022405738111748244,0.12184434902176826,0.2517712663002355,-0.2212211903604262,0.1682776730671661,0.17706343046341896,-0.06146237317091017,-0.022865187741686138,0.12471096545297033,-0.022230077900153404,-0.08953595598590139,0.17342304241842793,0.055241682615115854,0.05818049583429549,0.11401422596415414,0.10151736655386266,0.20471563013541266,-0.10975065197652725,-0.019719700365252113,0.2585626296553077,-0.1266291295294072,-0.23774590133862541,-0.03878097226102506
active_sum_count,0.1797900505522173,0.06772002174373531,-0.042497582638369225,0.07734477668199846,-0.033309158736944684,-0.0014488722251685404,-0.04960577699624791,-0.10935199466020967,0.04205284370508296,0.11770458810103446,0.1519590886277593,-0.07885421333831263,0.08515946131186825,0.043714400545835835,0.0165745669699484,-0.061819020766733374,0.10136193923871352,0.007835333148168797,0.07664511331991947,-0.017015130216061318,0.013140232425942033,0.009278091959885118,0.1215494370973601,0.09889922859575734,0.09954070247981232,0.04622322851458857,-0.18369704179767893
problem_num_days,0.14583414589775415,0.08328652009786819,-0.17925410292244842,-0.08057464558868388,-0.04782309486517083,0.09968212814982043,-0.23076260117777525,0.02979330534168756,-0.033410766613617644,0.09384531422973727,0.20601336970828998,-0.07385535299541722,0.015767159652930463,0.11093145308827548,-0.018299749430137024,-0.2984044319822218,0.10211573571104246,0.24673605139894506,0.13520185902155263,0.028675324482361153,0.00423951541735261,-0.11745938978935769,0.008039458274249567,0.09176530758186074,-0.15778298186298845,-0.4896664362586537,-0.027975975723765367
problem_avg_count,0.0690528594671927,0.14626170513957804,-0.08655609968920264,0.24166782109553864,-0.07811386880883286,0.1702181695926293,0.33213240379271414,-0.20463901967335155,0.16471299396401107,0.25217199450019795,0.1184716139855348,-0.1485947034402711,0.12353277036333257,-0.035710751291195775,0.22299098821812136,0.03497766536198983,-0.0381079621167681,-0.15294467824334784,-0.2267784700356147,0.08433265314707347,-0.08467358938476126,0.12656118193397595,-0.033608649147855905,-0.2627376872946758,0.1945021881953828,0.05259631697282918,0.3725931418123584
problem_sum_count,0.13095365135941145,0.17016852260308366,-0.13436975412730762,0.12145727319944338,-0.08771554840793427,0.09655598752140358,0.02765643747657709,-0.1645062504315321,0.10172514336704716,0.16622888011264852,0.26994985796692444,-0.16205037531382344,0.08988117332403162,0.09852668347848403,0.2272898230024788,-0.0523023204092139,0.016114089437332696,-0.011714513147722393,-0.0795596740055132,-0.041037801085635636,0.007518209151818597,-0.041674747665921774,0.17161364849735056,0.04477812638398934,0.03927183067862755,0.05518097726385021,-0.4690309701179164
video_num_days,0.1597707414956927,0.08027331392199923,-0.09847182348029454,-0.1106427350251652,-0.019107983032481658,0.09552785025448018,-0.20844780692029527,0.03174887366939172,-0.09569260331134527,0.024593429705174308,-0.044200880293401024,-0.24813214508203466,-0.12516913491873344,-0.11898766984630599,0.09334865967786621,0.009053491246278106,-0.04663883355570005,0.11640708434961697,0.09788248767597561,0.25428184976506224,-0.1299121675232032,0.24251925435847127,-0.00040213392529220326,-0.005250296793955395,-0.0009744859024905534,-0.023953918330260116,-0.1318935264714923
video_avg_count,0.14878189981211293,-0.13290681994392786,0.13590180513018413,0.16462012105479246,0.0793283048238299,-0.013854689557013133,0.06352751656517022,-0.07208093643851105,0.0974810851476812,-0.06323283253244519,-0.047674814012779954,0.15691403777222557,0.07019914635966748,0.04522319151382122,-0.23424924998769303,0.0772274146467885,0.06222101145360978,0.10700664939834997,-0.1568684022470305,-0.1251910588492278,0.41103936563361854,-0.1455131305543787,0.11739805605636083,0.312664687477375,0.0403681061016269,0.05429472054844049,0.05336212068303914
video_sum_count,0.1763324632047936,-0.0720027353416859,0.1205627982863898,0.09828612422081484,0.05517325762987038,-0.08944156377655588,-0.058116441777251976,0.006339270094350757,0.019530818281044693,0.03513206557875309,-0.026497323726106498,0.01394917926285976,0.0002505145881618598,0.09539328142012361,-0.07062926195089794,0.021046596907736005,0.010141772882168804,0.05787752416421481,-0.01373328361971965,0.033403901856185816,0.004978073218972201,-0.011676906013237148,0.008016842174932197,0.04939683075803944,0.060290643804241706,0.13204686630702095,-0.020078261891737212
forum_num_days,0.029525486445658618,0.17790596072774445,-0.022053352544613034,-0.15422161087120767,0.4751043504809191,-0.1320887103757673,0.0971516366296544,-0.11313608722538966,0.02377553690658263,0.036138505243181185,0.030722690300865718,0.017947762060176807,-0.05163238341728965,-0.017460681389226018,0.10743124193788156,0.008882695064514973,-0.043255845056517576,-0.011929958305970746,0.04444107102468493,0.05231547775024899,-0.022730502155896837,-0.08586746743439028,0.015384303068083846,0.033454372413862316,-0.05706292123935953,0.008765401536532283,0.011949996814414832
