,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20
active_num_days,0.121846446082,-0.124820118773,0.126265633889,-0.00328224031805,0.174017976738,-0.182905230006,0.117582717049,-0.219410826532,0.0514028714446,0.127560854557,-0.237634719858,0.0938789311459,-0.0739673170243,0.043593133687,0.160935942563,-0.199117088963,-0.21966904722,0.0146405994163,0.143125577196,-0.184244305781
active_avg_count,0.105989968368,-0.026733539791,0.0775277507812,0.165803206242,-0.262222627798,0.102995763891,-0.316765940471,0.171673815521,0.087274456504,0.123488845772,0.0533421989167,0.0763564019361,-0.0206262295639,-0.0510431814345,-0.0777083037057,0.106572665414,-0.0372493294942,0.118153926709,-0.00995933877467,0.0929368697251
active_sum_count,0.178574187188,-0.0777183085744,0.0998994292789,0.0709645212507,0.00600299420414,0.0317817334897,-0.17027717534,-0.0693150901163,0.108230228603,0.106508254255,-0.0768246188747,0.0565556772757,0.0766874374728,-0.0898285574224,0.0873436692889,-0.0192234432059,-0.0799625417421,-0.00829320247277,-0.0213292973403,-0.0460426516259
problem_num_days,0.139778108747,-0.121357101983,0.127573278422,-5.03619578764e-05,0.134777633674,-0.194878939881,0.063954103063,-0.203032124518,0.140722958035,0.0749704323765,-0.213044410251,-0.0716758918019,0.0811118908833,-0.170270758142,0.0204579341407,-0.142515798204,-0.0968801920296,-0.0602532738069,0.0720426638034,-0.146566974561
problem_avg_count,0.0474012296701,-0.0918331072898,0.182620898348,0.151711245956,-0.201130859545,0.0393564208335,-0.370457154949,0.190054982862,0.161868322608,0.257920818964,-0.101053286653,0.0691379805751,0.0761725514139,0.0320745419957,-0.0439152486791,0.0233249987008,0.0703693014401,0.0790205061037,-0.112875883878,0.0246492344195
problem_sum_count,0.100305741951,-0.150162269976,0.213001596508,0.105685228821,-0.0453871302047,-0.0232843277096,-0.270077036789,-0.014847170281,0.196249107532,0.240926256959,-0.212747726819,-0.00435680506183,0.188650013029,-0.0297169407386,0.0900040974408,0.00808843712876,0.0131982191402,-0.0798349030919,-0.0707999355025,-0.0890943487501
video_num_days,0.153246631624,-0.136567144039,0.0583320399736,0.0365416479758,0.110566142249,-0.202090596086,0.0838431821932,-0.166513472991,0.0795978990649,-0.0720148189796,-0.0699832850326,-0.0223775326327,0.24928082276,-0.0794753684064,-0.173993922321,0.00252267922959,0.087075899515,0.0931359497928,0.085922529663,0.0790097527912
video_avg_count,0.156635663523,0.0895779653042,-0.0374084505513,0.0879454009468,-0.191999708062,0.197029040889,-0.000973766659134,0.037047016529,-0.0559735540457,0.029594723287,0.166591204301,-0.000459453566271,-0.160254720864,0.0625051492636,-0.0358063962435,0.0130084316156,-0.160904960756,0.125172979242,0.13337302417,0.106840345803
video_sum_count,0.193758597372,0.0678144000445,-0.0310915808567,0.019665613675,-0.0122353031721,0.147028990302,0.0204815196617,-0.0489797337856,0.00673426716766,-0.0150168208765,0.0161828066347,0.0409032667707,0.00157845382369,-0.0621400820178,0.0292696728251,-0.0548212203914,0.0438744927884,-0.026392677255,0.105883302411,0.141154010106
forum_num_days,0.0174615691958,-0.0408975042321,-0.0503466254037,0.361586404834,0.351306270341,0.0663001386564,0.0239273321104,0.222349070606,-0.0564947054843,-0.00139433894736,-0.0784145766673,-0.0603377093618,-0.0722139320515,0.0461753757157,0.000989015598799,0.0364773890827,0.0016108818043,0.0290583921167,0.0477011053609,-0.0255010499814
forum_avg_count,0.0230643350753,-0.0421394017336,-0.0525409270218,0.361586158596,0.35010108063,0.0668119453498,0.0219604988557,0.221924141334,-0.0529528875944,0.000790541041409,-0.0462006707188,-0.0683512000567,-0.0394701431913,-0.0234981503827,-0.0065261092268,0.0270684905101,0.0105156210363,0.0110462139686,-0.0541582972694,0.0510414162322
forum_sum_count,0.0200267368438,-0.0417298638057,-0.0516612010168,0.364162135643,0.353283849527,0.0669954041981,0.0232409567272,0.223747906519,-0.0553542079578,-0.000452455576085,-0.0649395855681,-0.0642585171425,-0.0584639323251,0.01615189644,-0.00227781114677,0.0326383719854,0.00550159799422,0.0214186106911,0.00366711151411,0.00766207701923
num_watched,0.162102056144,-0.16662114896,-0.0510586087273,0.125730035025,-0.0545769053369,0.0547193499238,-0.0166152091333,-0.159798950514,-0.110796354254,-0.13403619881,0.108177763509,-0.0348851026645,0.120660011371,0.0531273176021,-0.091898857778,0.12411358209,0.0170510505374,-0.0381895099424,-0.0186075184206,-0.116429387708
num_complete,0.151425858476,-0.194648646827,-0.104843938053,0.00694022856738,-0.0251561111971,0.108376962325,-0.0640796581874,-0.158391130927,-0.135557811973,-0.0102510376286,0.031533721112,-0.158505594799,0.101874617691,0.0345278210656,-0.19100255422,0.142105738775,0.0886607586983,-0.0114523514785,-0.0178183055967,-0.0102290731784
num_incomplete,0.0861562371854,0.0033123225142,0.107479119374,0.327136872854,-0.0898430077525,-0.105800539987,0.105552727764,-0.0634571245095,0.0166287905843,-0.342029844242,0.221253636774,0.278067820891,0.0896611699973,0.0638071060371,0.198859416826,0.0043287706362,-0.162264590391,-0.0773540564154,-0.00886205337086,-0.293981088088
complete_rate,0.132358293383,-0.205562044685,-0.104342249661,-0.0715580180335,-0.0851511297738,-0.0481312434289,-0.00872719917242,0.0488989741636,-0.245523445198,0.0610926962455,-0.133878180737,-0.258522575395,0.0339463059695,0.0137203015818,-0.236760775507,-0.016941478536,-0.21336811585,0.0435953737888,0.175082428597,0.0702823572762
incomplete_rate,0.0143945892077,0.0901364971529,0.194007295247,0.211768203587,-0.129224242442,-0.356025226522,0.062613931818,0.154128692263,0.0939562249589,-0.224436516367,0.143316492905,0.31560284629,0.0600134540843,-0.0957683644071,-0.0793140744269,-0.150732360695,0.311459559839,-0.0474177530098,0.0664692091643,0.221760390161
watched_time_hour,0.12940352644,-0.0428056741254,0.0854523019198,0.0291342925963,-0.0481499938986,-0.265190737691,-0.0218213238204,-0.101667813135,-0.120626341492,-0.138392714929,-0.0527348476373,-0.4707350574,-0.0911138216897,-0.0184925039541,0.464046067658,-0.00411485053579,0.305104622349,0.242048124835,-0.28592975431,0.308872870949
watched_time_weekday,0.0760073633247,-0.0474456689894,0.0456125439205,0.132262013211,-0.334249620751,-0.0510396458334,-0.0509335502023,0.155059963802,-0.277922039069,-0.100692074814,-0.0234823691937,-0.237829567748,-0.373887371493,-0.284957439778,0.0033004909461,-0.244712793241,-0.0217534689175,-0.260152775206,-0.15653134052,-0.418816033716
seek_video_sum,0.181176045324,-0.0108078792368,0.0272186781292,0.0710136462054,-0.0812689904429,0.115933017972,0.0203948248239,-0.133539799928,0.0525158078925,-0.170554137605,0.0938838320155,-0.0286045594888,0.0143011546204,0.0301817312372,0.182636880961,0.231084777362,-0.213308454092,0.0176001564559,0.0707701001386,0.0348844018191
seek_video_avg,0.162733748652,0.060073659829,0.0922457742325,0.0500798261646,-0.133030502135,-0.126295568918,0.075731051633,0.0659795371065,0.0807282978663,-0.154849928431,-0.0231810205703,-0.0553357355797,0.033326670329,0.0306301952996,0.137272093468,0.381536224494,-0.377639158185,0.184992114143,-0.0338733173002,0.0968206076625
pause_video_sum,0.171327143373,-0.147802247304,-0.0285317363166,0.110250830859,-0.0198591500217,0.0556294621466,-0.0296140992376,-0.159779721427,-0.0749399950524,-0.110714597317,0.120406215348,-0.0705200405322,0.087150449403,0.0580237819699,-0.156915334352,0.0704216743284,-0.0370217430231,-0.0601260176857,0.0225884099313,-0.0704133615681
pause_video_avg,0.144597712215,-0.0926435691248,0.0781543192034,0.0566378294263,-0.110534072794,-0.296089429497,0.030858064033,0.132231420226,-0.122974344733,-0.0836465455061,0.00262065685508,-0.0796120123,0.04250084013,0.0174397865868,-0.403958962938,-0.183849757613,-0.0171727357967,-0.0294293721025,0.266043138125,0.235367059768
stop_video_sum,0.0653170809359,-0.280589742543,-0.251261754878,-0.0119163097546,-0.0507044323221,-0.00493237841901,0.0413882981466,-0.0121009865661,-0.0741560416444,-0.0139378850997,-0.0226400727777,0.183202480641,0.113081330774,0.0887659403143,0.0050465750514,0.111136641925,0.264531510214,-0.00382042095458,-0.192212261643,-0.111343679835
stop_video_avg,0.03569712249,-0.264038252066,-0.231960859511,-0.0658990744023,-0.11145723931,-0.0666472426246,0.100330675184,0.197500342327,-0.104111663402,0.0639311313976,-0.149671093328,0.256635972589,-0.0515775026373,-0.0694904179183,0.229282072004,-0.0455674384129,-0.106826213055,0.0306937037548,0.0761847674211,0.159387117996
video_forward_seek_sum,0.120570891966,0.085067025343,0.0667200281724,0.12172522585,-0.168226836501,0.25718316032,0.335733167766,-0.0346282878066,0.0357735313416,0.100999631266,-0.142617641678,-0.0141887817197,0.0286717035893,0.0127093299368,-0.0523117949548,-0.0763158490267,0.0983206845118,0.0495726411439,-0.0404483242581,0.0244220643696
video_forward_seek_avg,0.104904782066,0.107354565547,0.0961539152855,0.10084120623,-0.165335343094,0.144153112195,0.413731269755,0.00840435785827,0.0476083236124,0.127709541614,-0.184899033679,-0.000261590573047,0.0395188905067,0.0685230001726,-0.0915203977948,-0.065170794866,0.0769145616756,0.125946501743,-0.138042734411,-0.0209673994094
video_backward_seek_sum,0.16563628178,0.105881893582,-0.0579203905905,-0.115816570146,0.0207377747655,0.125283764532,-0.114180067267,0.0476471556461,0.0746889583372,-0.22336519807,-0.22559364028,0.037416219599,-0.0240348101515,-0.0229441278478,0.072135696106,-0.0378438274954,0.154096514893,-0.251107889174,0.146227421978,0.0123534735218
video_backward_seek_avg,0.145356636255,0.150581290312,-0.0459768479499,-0.141590000573,0.0104548902487,-0.0496891170489,-0.0868712271377,0.204828967751,0.067375886133,-0.222926874103,-0.295000866563,-0.0580117879222,0.0143268606085,0.146345427893,0.0039500249772,0.237086671745,0.0548888285068,-0.170825404116,0.1102785325,-0.053604193278
video_pause_forward_seek_sum,0.177920720406,0.0539514110631,-0.0728886401672,-0.030502234954,0.130575008225,-0.000680012978451,-0.138591175907,-0.0597739499872,-0.0807733123608,0.118404785441,0.210956955867,0.0371587864279,-0.00494408290139,-0.178199304575,0.141384258861,-0.0279283853135,-0.010594186532,-0.0967934503574,0.0830501800065,0.129767713228
video_pause_forward_seek_avg,0.147788659682,0.118331453162,-0.0434293405167,-0.103711330044,0.117385597191,-0.230544537387,-0.0583653109107,0.0864598001466,-0.112318333043,0.254306893466,0.260643304658,0.0163475121245,0.0238721564206,0.00342580405368,0.0836035043341,0.136805116251,0.0154929537627,-0.116630425236,0.0104163977571,-0.116938177894
video_pause_backward_seek_sum,0.171795579984,0.0251830082346,-0.0795651807283,-0.0598671531702,0.124994733474,0.0858150138928,-0.157186039892,-0.0841024418527,0.0209389739242,-0.15514395457,0.0261988986812,0.156393585234,-0.0869585481582,-0.00633853233615,-0.0854678995449,-0.280421764903,-0.0669061346039,0.276943864066,-0.210035270112,0.00738593803032
video_pause_backward_seek_avg,0.164685703339,0.0745795998179,-0.066556491761,-0.124228323799,0.111539174987,-0.07090805388,-0.120099107164,0.0384085819982,0.023066711714,-0.117967648538,0.00727125733651,0.112472255391,-0.094407686538,0.128443591055,-0.202386160418,-0.258409380764,-0.16737474194,0.412835307423,-0.351241464715,-0.102529893567
video_stop_backward_seek_sum,0.0817692496845,-0.183481307986,-0.155252800311,-0.034512615045,0.0206292494388,0.0183082287507,0.0888636202601,0.0760867538867,0.519294966879,-0.0369367075008,0.244345922278,-0.238446357364,-0.0207112410412,-0.0392480059949,-0.0537978522344,-0.0408532375954,0.12697202313,-0.0634443017074,-0.00506735999903,-0.08653437494
video_stop_backward_seek_avg,0.0544326556598,-0.153409648566,-0.191137711056,-0.0644304166388,-0.045004656171,-0.0228293553793,0.149533851857,0.229367284439,0.502445404743,0.00906785387147,0.226706973326,-0.229764586136,-0.0950150124883,-0.00886524181896,0.0390420181309,-0.143613984093,-0.123892893935,-0.0129632138184,0.0462398874426,-0.00935545914468
