,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17
active_num_days,0.138001393565,-0.132034994726,0.12599735163,0.0932359222356,-0.111552588703,-0.0886964080937,0.15633839587,-0.0446119530475,-0.128402922028,0.040983318335,0.323721114344,-0.00701929326945,0.138957018355,0.172663331742,-0.0508165978755,-0.027001917715,0.282600947446
active_avg_count,0.129796611611,-0.00308267497582,0.0300633111385,-0.00900350969834,0.246462485862,-0.125257435662,-0.345255384533,0.0243027659657,0.0911114548388,0.207666084564,-0.124436896547,0.145208385291,-0.0589074069946,0.00459420392093,-0.117362853887,0.148715612143,-0.0769326068293
active_sum_count,0.175109731531,-0.0795809653553,0.0832217051772,0.011800855763,0.00746087808505,-0.0263506725836,-0.11035846224,-0.0513560682623,-0.0841081001326,0.121881562536,0.115281499995,0.00976886461791,-0.0892031706635,0.123113236096,0.00319648703881,-0.00744309094583,0.01015804875
problem_num_days,0.147475202352,-0.116347774293,0.128312652731,0.0680271061568,-0.0880749866937,-0.0977946353685,0.125229923147,-0.0189037630164,-0.203560970072,0.0636478362224,0.297431632443,-0.102051634997,-0.0769923832647,0.144861321821,-0.0903814121814,-0.206313941425,0.0284058335063
problem_avg_count,0.0799584605685,-0.113662756051,0.132279885212,-0.0303597410582,0.183969285564,-0.208228182414,-0.38665723439,0.0710026729816,0.0620001695144,0.43051785149,0.0466444011579,0.0767797778491,-0.141866521342,-0.0899904098668,-0.0328248584788,-0.0143771868319,-0.0386127160499
problem_sum_count,0.129825340031,-0.174997446562,0.164931778704,-0.00359223480233,0.0253117997185,-0.127649348094,-0.186824650889,-0.00261439844814,-0.0544475940921,0.283437378256,0.204392781471,-0.0671827174896,-0.147282950639,0.0527671406693,0.0622439199407,-0.0885710243619,0.0130060584009
video_num_days,0.162869610602,-0.0959985581381,0.0384555703485,0.0750482822084,-0.0503266490937,-0.0847240875256,0.133730926224,-0.0358039442069,-0.206041509765,-0.0684902238992,0.0986854695382,-0.137507943738,-0.207090082875,-0.102662054261,-0.125630973389,0.0129059690258,-0.0465380309692
video_avg_count,0.144575118224,0.131996894294,-0.0315926728949,0.0219221562689,0.208715286729,0.0912622783274,-0.0946346449973,-0.0565429828534,0.130364344678,-0.0484376496248,-0.168138542973,0.0820075953123,0.201331096457,0.153148482232,-0.11882113526,0.244357543277,0.0926080741329
video_sum_count,0.176425106808,0.0826199608251,-0.0210038876379,0.00679547886664,0.0531790157877,0.157755667977,-0.0373384888409,-0.0594594144613,-0.0119577253471,-0.0036455321441,-0.01003683135,0.0125513092826,-0.0113911115822,0.0736736756162,0.0702560346518,-0.00454169242352,0.0175634058429
forum_num_days,0.0285013960811,-0.119396980937,-0.0837879517946,0.470974574842,-0.177682688422,0.0989616943574,-0.14934977297,0.045264017755,0.0865726815289,0.0172431046606,-0.060799094585,-0.066965716888,0.00846704543221,-0.00402546107395,0.015934746072,-0.0252864200337,-0.125126282739
forum_avg_count,0.0248734442348,-0.130408109385,-0.0854891633333,0.468743509263,-0.177883895489,0.0929396932363,-0.136733961956,0.0665425709946,0.135497210391,0.00267695480898,-0.0189220344245,-0.07500435725,0.0503743920467,-0.0332689530519,0.0129861516069,0.0114174260528,-0.0169018302336
forum_sum_count,0.0249409065276,-0.137631068896,-0.0849681165661,0.461989265953,-0.178557484769,0.0924728786201,-0.126303537095,0.0731557121243,0.164124503942,-0.00545374484312,-0.0107047556908,-0.0510339382236,0.0574121663467,-0.0137173599201,0.0164064846584,0.031892360692,0.0276558487563
num_watched,0.166860528467,-0.103619073824,-0.0562711573793,0.0381711345058,0.127244324596,-0.00302135220335,-0.0346087076021,-0.140941175545,-0.090811862851,-0.198993345923,-0.0484855879651,-0.0153651429309,-0.0914195843157,-0.12104038973,-0.083501925431,0.0592840797649,-0.0573551191486
num_complete,0.158768103843,-0.129145923803,-0.109971019496,-0.0696940148515,0.0790323569383,0.00985641773268,-0.0805487759889,-0.180949839773,0.00557066940997,-0.148723530759,0.0039886025246,-0.154588847139,-0.0347245849017,-0.162897492392,-0.0278435554459,0.0607277610795,-0.132897723925
num_incomplete,0.102386217204,0.0137995243419,0.108391247569,0.29192703607,0.184555887936,-0.0340987605583,0.0993690472434,0.0321615184061,-0.288679144355,-0.224980185234,-0.156698486704,0.345075887596,-0.188459420996,0.046609844098,-0.181948159222,0.0254384272805,0.163181134182
complete_rate,0.152800450359,-0.117903591745,-0.109965174252,-0.077020020027,0.0409709776389,-0.139732403694,0.0094728484478,-0.0839326157524,0.169153105855,-0.161830754615,0.0747045208985,-0.27334459347,-0.0202107472912,-0.0541190666351,-0.250278012059,-0.0394224095299,-0.0356016495253
incomplete_rate,0.0476590367749,0.102965613513,0.199568190972,0.243697175481,0.126909182541,-0.260203396071,0.168889648685,0.299073492575,-0.18468490802,-0.0354813658961,-0.195327299444,0.286154110185,-0.0778200232386,-0.0524518465768,0.276527809547,-0.0339894235314,-0.0622167889991
watched_time_hour,0.14062970023,0.00904851475157,0.00909417000886,0.000117281580602,0.059116234836,-0.259509482894,0.00384096161828,0.0367273659247,0.0152352208835,-0.151012893058,-0.0987077090516,-0.434976362858,-0.00574257529303,0.252148576018,0.595439165405,0.06130539748,0.176614598876
