,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13
active_num_days,0.143031914055,-0.156180118366,-0.134306450964,0.11135700657,0.0489247278337,-0.0462929871559,-0.121035357464,-0.223076362875,0.0400633934763,0.157973636538,0.094192006271,-0.0311950647896,0.109911666027
active_avg_count,0.133336470332,-0.0390414561074,-0.0582074816741,-0.0389628730772,-0.249290413801,0.0119679487001,0.103622308447,0.337548069415,0.0391004494025,-0.176124571978,-0.0828470452204,0.204337337174,-0.0484879521477
active_sum_count,0.183625730747,-0.0995864122405,-0.114105141837,-0.0323435382957,0.0200712456782,-0.0718829567447,0.0949512735555,0.00669946919495,0.0489466942696,0.00206378273801,0.0239339493523,0.0883896804602,0.0464520419353
problem_num_days,0.141877475819,-0.137436233539,-0.177689772505,0.0431109861203,0.0597462977826,-0.0733142117007,-0.0867551349552,-0.173486113964,0.11003039256,0.17048221623,0.111569928651,0.0150632446386,0.0137419435699
problem_avg_count,0.110576644128,-0.116801084687,-0.125051795728,0.0201096014103,-0.201480017754,-0.0938990881882,0.140063372803,0.343761630018,0.0924062863374,-0.0397580891457,-0.0228342152633,0.318388306316,0.109344214874
problem_sum_count,0.149781411047,-0.15521228547,-0.169419220097,0.00739315017747,-0.033361762909,-0.0998029898402,0.111562008886,0.0768835954163,0.0953137017364,0.0862814945255,0.0418242216189,0.18988337872,0.110430649583
video_num_days,0.150617833934,-0.148616715333,-0.119478299822,0.0818694454631,0.0329730552106,-0.0163830332544,-0.115021872705,-0.236166614304,0.000998436824284,0.109903642936,0.125382736879,-0.0740527110818,0.128872388915
video_avg_count,0.159017816559,0.130869103029,0.0463899940049,-0.0255956714905,-0.125447860539,0.0829847755656,0.0560030797783,0.213646463586,-0.0133861668737,-0.172199700566,-0.111314654306,0.0447306529395,-0.0535034616164
video_sum_count,0.189913880078,0.0596336065338,-0.00158540036957,-0.10813189755,0.103676795012,0.00393990756092,0.102323179788,-0.0577134748084,0.0677589560454,-0.0993881849728,0.0105195664106,-0.0411468829716,-0.0383681368537
forum_num_days,0.0114760534899,-0.132925223671,-0.133770172247,0.183950006407,0.273495677968,0.391584218616,-0.0905512732396,0.13910188856,0.038832849774,-0.0558539589236,-0.00101409494168,0.056253561706,-0.00681529881499
forum_avg_count,0.00739212873067,-0.124212573084,-0.141150229796,0.161716936357,0.237436572898,0.396745365302,-0.0988161752347,0.142784815248,0.0468793230433,-0.0745883410073,0.0094964103011,0.0572145051165,-0.0750221413395
forum_sum_count,0.0114760534899,-0.132925223671,-0.133770172247,0.183950006407,0.273495677968,0.391584218616,-0.0905512732396,0.13910188856,0.038832849774,-0.0558539589236,-0.00101409494168,0.056253561706,-0.00681529881499
num_watched,0.168625161391,-0.175302073824,-0.118634121525,-0.0428716629718,-0.0834592478626,-0.00381242167467,0.0408612819753,0.0302598423214,0.0188378559324,-0.0353207392201,-0.0311317751652,-0.110238483518,0.0658647391486
num_complete,0.163914520156,-0.177251592509,-0.0402369891543,-0.123989582014,-0.0136372562058,-0.0353642522366,-0.0145103041882,0.15955702942,0.0246044175374,0.0690762910769,0.0147346176736,-0.151671027228,0.0700094376983
num_incomplete,0.0662859813375,-0.0521681678022,-0.230238366532,0.184437034953,-0.197844954873,0.0759168143961,0.14867360313,-0.306347968287,-0.00798297286016,-0.266758119198,-0.122270156874,0.0655129988576,0.0112566437072
complete_rate,0.138847298276,-0.172603570758,0.114263427806,-0.00758684292858,-0.139430940494,0.00856555953763,-0.121773792339,0.193867730287,0.0503749024241,0.175443919165,0.193487610034,-0.207485900622,0.0743490802645
incomplete_rate,0.0216364867846,0.0667761370913,-0.135956557301,0.223136223235,-0.266339243494,0.133304177958,0.031491737345,-0.361346066427,-0.0526535521942,-0.256017124718,-0.291158097514,0.00885080777068,-0.00927032356433
watched_time_hour,0.128352398993,-0.159792774807,-0.113444164523,0.0850340617347,-0.11196584067,-0.0728549372928,-0.0105528273335,-0.196061167716,-0.00554843271891,0.203052256838,0.0488579785082,0.0629834883315,0.0972431761785
watched_time_weekday,0.0871151664015,-0.0161623102069,0.0472074200926,0.0684010367953,-0.376612786148,0.105618153716,-0.0436812254163,0.234553198553,0.041319095231,-0.0343432597262,0.0503705151252,-0.166643599524,-0.07939583688
seek_video_sum,0.178454601377,-0.0204692704337,-0.111140673624,-0.0257813057193,-0.035922061532,0.0284176054414,0.185239852867,-0.0243393927032,-0.0315892542762,-0.0647810772547,0.0673786784137,0.00919080253934,0.0303870908706
seek_video_avg,0.136350158312,0.0893500829992,0.0363138925432,0.169236440654,-0.203846113247,0.135992499078,0.0845508483835,-0.0838204735576,-0.0892770900226,0.046241097926,0.115494096742,0.107246033208,0.0432343471219
pause_video_sum,0.170738825799,-0.159171741859,-0.12533074003,-0.0523273084568,-0.0654338935581,-0.0253016126465,0.00881945759494,0.0527060999908,-0.00542825236819,-0.0289871468756,0.0279349607119,-0.112271319316,0.0190921653937
pause_video_avg,0.145036395066,-0.0954429365167,-0.00313914877291,0.125184042988,-0.260531116046,0.0547437279692,-0.146727736858,-0.0207894894311,-0.00962496721345,0.0104870563495,0.0821163634584,-0.149151075579,-0.0241608251767
stop_video_sum,0.0962903623195,-0.227134691733,0.179675174833,-0.182867056242,0.0163921612294,0.105076569337,-0.034023129397,-0.036406438504,0.0397966002913,0.0685533429169,-0.40974372074,-0.108342259106,0.0406274082265
stop_video_avg,0.0391448109589,-0.225963479142,0.335284683288,-0.0662983316142,-0.090087985192,0.161866229321,-0.0334122590096,-0.085852535544,-0.0273294959118,-0.0476737208156,0.0547736656097,-0.032414093348,-0.0107181637065
video_forward_seek_sum,0.144042687309,0.128458155324,0.0382109226465,-0.0765355785007,0.109063274911,0.0432267539592,0.245887054095,-0.0887930717077,0.378963408927,-0.00649665730014,0.0329356918905,-0.0484257132894,-0.0319334816521
video_forward_seek_avg,0.104531713201,0.228468980661,0.120344145336,0.122710431083,-0.0253863007067,0.0973936614085,0.0561906868297,0.00249552568534,0.410234253617,0.198572651826,0.0317707313667,-0.0302928479902,0.035855428095
video_backward_seek_sum,0.166846662422,0.088882580656,-0.0250196519094,-0.0869240939093,0.118556028435,0.0891683910466,0.235166252111,-0.0141104735007,-0.193621332517,-0.0389621482991,0.028477938404,-0.107000172407,0.0193133478283
video_backward_seek_avg,0.122647617888,0.209017554682,0.0349467639415,0.0744887492934,-0.0261615948884,0.177115215013,0.132577812454,0.0191162636655,-0.317799735683,0.16197736097,-0.112500545825,-0.0926833248267,0.153043881789
video_pause_forward_seek_sum,0.168148755229,0.00624533250554,-0.00393989702169,-0.126989852193,0.0944132534782,-0.117430050419,-0.241322947257,-0.0146596162232,-0.0861892266426,-0.215615568011,-0.00150085910169,0.0720247754576,-0.0959295305592
video_pause_forward_seek_avg,0.147171359762,0.0797367311264,0.0410442335364,0.00536886647272,0.00802493486473,-0.103622295597,-0.422115010881,-0.0224290638386,-0.0710002083786,-0.177405662648,-0.0823573030748,0.160805317751,-0.0697104409223
video_pause_backward_seek_sum,0.173989126664,-0.00350971358948,-0.0586971722912,-0.088301961914,0.125932393005,-0.0596982187498,0.0362105919482,0.0318657395319,-0.230013432613,0.00661927348853,0.108132110486,-0.0786629299115,-0.0661572129152
video_pause_backward_seek_avg,0.162402102523,0.0927294650035,-0.00227969010791,0.0590790964604,0.0457565983804,-0.0422138402357,-0.0900731539067,0.10178975031,-0.267072709798,0.180855081751,0.0344871904088,-0.0193988080333,-0.0124010624446
video_stop_backward_seek_sum,0.0839376402952,-0.111387741147,0.20166200664,-0.16285901841,0.030500642422,0.109946035931,0.13520781872,-0.171688194029,-0.0236508796184,0.121026992052,-0.133248882642,0.410866812555,-0.0646829264627
video_stop_backward_seek_avg,0.0217258472095,-0.116971401107,0.311634921488,0.00321483478937,-0.0538523142018,0.133600000123,0.0975483439402,-0.144378901049,-0.109926432443,0.00223669981407,0.451668080827,0.410501063878,-0.144516655599
all_type_video_forward_seek_sum,0.180746128584,0.0848078499822,0.0221453326563,-0.116046395764,0.119366044617,-0.0349931598416,0.0277165809656,-0.0641182075729,0.194588604283,-0.118721464936,0.0200953039048,0.007562132361,-0.0712440604261
all_type_video_forward_seek_avg,0.148042356766,0.20613932632,0.108117945949,0.0925357438554,-0.0147094458179,0.0210791535459,-0.163709172923,-0.00905790271907,0.266182356677,0.0594158597081,-0.016691620812,0.0558523572724,-0.00755947990852
all_type_video_backward_seek_sum,0.17653267469,0.0614753593155,-0.0288539286716,-0.095160466988,0.125152317785,0.0527920533411,0.189593269886,-0.00694269571603,-0.210508271061,-0.0231556069217,0.0477787254681,-0.0887407718253,-0.00665409755553
all_type_video_backward_seek_avg,0.142952935109,0.187159196551,0.0491457373263,0.0762428277578,-0.0136730223708,0.144017087743,0.092992747272,0.031481403598,-0.335524426112,0.178591071152,-0.0534176959873,-0.0533957356126,0.112964065194
all_type_video_seek_sum,0.186897320757,0.0806332329003,0.00620767115725,-0.113984579722,0.126261480699,-0.00742914027186,0.0823951219792,-0.0478904150966,0.0687725794683,-0.0920797105579,0.030087109318,-0.023963074673,-0.0528622423613
all_type_video_seek_avg,0.159007646486,0.217385596197,0.0974395852079,0.094955556469,-0.0156194656779,0.064461262772,-0.0909255134931,0.00387565817682,0.0855047244573,0.104810728343,-0.0305422043256,0.0236925713276,0.0325519388485
video_pause_sum,0.180704125431,-0.0156617519526,-0.0335565737315,-0.113496253826,0.0850188936144,-0.106308049914,-0.175039496536,0.00319530420318,-0.110178257897,-0.164007557419,0.0357974963261,0.0328216086683,-0.0743473200765
video_pause_avg,0.164569157473,0.0712309839365,0.0311673275227,0.0367529312589,-0.0175367843174,-0.0869883600104,-0.37146598874,-0.00147749613032,-0.106834670246,-0.103957215061,-0.0326012538218,0.11553437332,-0.052451501275
video_stop_sum,0.0944998086199,-0.225859144393,0.181969589343,-0.182285986563,0.0158494298968,0.10543941197,-0.0319018429989,-0.0410458795083,0.0340858758434,0.0829945100104,-0.419883136795,-0.086823316616,0.0431605625558
video_stop_avg,0.0399474633327,-0.227372459742,0.336022034898,-0.0699567476139,-0.0882293181979,0.162481156201,-0.0312768815897,-0.0892147989754,-0.0299897093755,-0.0336058961208,0.0350112694212,-0.0169231984023,-0.00648343758704
