,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18
active_num_days,0.136944489386,-0.179638011997,-0.133195419556,-0.0173107710667,0.0394926563071,-0.0209273752479,0.0612804571417,-0.134016150083,0.00143728751997,-0.165887771783,0.243034362157,0.025476612423,-0.28662209526,-0.101907288072,0.190940503564,-0.0215846276092,0.0717843871573,0.0617640467949
active_avg_count,0.142445721399,0.0277256788134,0.0692488263069,-0.0267011343965,0.0200387464423,0.259475739488,-0.283944443193,0.10454355651,-0.210338411056,-0.0324905136628,-0.151657484935,0.0283741804889,0.208689329945,0.045492166724,0.111438399697,0.0135008998618,-0.0888486417043,0.11437180492
active_sum_count,0.171569099369,-0.0712981881359,0.00469985630917,-0.0581333690004,0.0410679067532,0.0251812055591,-0.144098588565,-0.0373030029668,-0.0858788790973,-0.14036565004,0.106121069146,-0.0133080669473,0.0330088603651,-0.0746920388654,0.0561532990761,-0.0495681452288,0.013700648503,0.0519774569919
problem_num_days,0.138382901993,-0.177715043669,-0.124211343922,-0.0237501601573,0.0585210795249,-0.00296159786845,0.0496712669047,-0.114375385992,-0.00542998200811,-0.234596980034,0.293468528863,-0.0632280062248,-0.0839206073569,-0.247293175354,0.144358300179,-0.216540907339,0.0743660819601,0.108585514071
problem_avg_count,0.100577017684,-0.147425506787,-0.00400483041523,-0.0409577399397,-0.0325411450828,0.281233756111,-0.367607086409,0.183749165064,-0.35602055279,-0.173246125816,0.0457322951464,0.149404349273,0.177585263428,0.113743293651,-0.0406319245397,0.0901789478073,0.0831294293356,-0.141651811787
problem_sum_count,0.131568588243,-0.200985060765,-0.0404607826092,-0.0723216494085,0.0158199578752,0.120515815783,-0.233405609986,0.0362577535665,-0.250213302881,-0.172537180545,0.169734528151,0.00635250972504,0.103853795416,-0.0459226323076,-0.0132076853878,-0.132220410635,0.0574692724504,0.0917352197834
video_num_days,0.155961397255,-0.1305493772,-0.0869321157076,0.0485798024894,0.0218409564791,-0.0191797871606,0.0625444251511,-0.118629162194,0.170858000629,-0.133363876028,0.247771516224,-0.115378679352,0.0929945908844,0.0893175362617,-0.116269516898,-0.109641020892,0.0543192740953,-0.112080987367
video_avg_count,0.138584515942,0.180117325588,0.127756929384,-0.0409525369003,0.0877326839201,0.120091316983,-0.0384904860272,-0.00553206490649,-0.0637879954258,0.107817261501,-0.250618229158,0.0368104717066,-0.013086905139,-0.034375214819,0.259047406207,0.170026254247,-0.062895987593,0.243232245715
video_sum_count,0.160972236973,0.142010040311,0.126459317887,-0.0601601185647,0.0804478475308,-0.0326162984553,-0.0156903899341,-0.0542841949675,-0.0127149220321,0.00183402768485,-0.0197299936524,-0.00729908710508,-0.037222453393,-0.0761069030606,-0.000635140783676,-0.0182879379628,0.0623303156598,-0.0724532469936
forum_num_days,0.030376997009,-0.161618096194,0.0616820102035,0.303781263757,0.391451186788,-0.182864031207,-0.0686923455082,0.0877510043655,-0.050577040755,0.0368875376349,-0.0627912855638,-0.0626560014374,-0.00880897006258,0.0140934017527,-0.0316233495652,-0.0535981283378,-0.0494078455604,0.0980404783337
forum_avg_count,0.0267284740466,-0.174586840511,0.0745797989643,0.312117797425,0.381726561332,-0.164475200719,-0.0388781712007,0.0920231371334,-0.074482015207,0.0765285921396,-0.0317759755464,-0.00687162844143,-0.018906013034,0.0526123046952,-0.0405449433919,0.011745896107,0.0278293772052,-0.0390497935255
forum_sum_count,0.0290001120938,-0.178945331053,0.0749620283066,0.307039634961,0.379292988251,-0.172438026349,-0.0375214670175,0.0926647911764,-0.0796489661325,0.0912801797935,-0.0359890356593,-0.00968474797804,-0.00974591023931,0.0427771418445,-0.00774130836135,0.0482052802123,0.00588755893566,-0.0162305530792
num_watched,0.167734623718,-0.0550638175036,0.0779086024211,0.00616161478459,0.0275696542802,0.0919811932818,-0.0653065967779,-0.147591493903,0.225104623852,0.031552403479,-0.0355555947935,0.0176588529682,0.111365424566,0.0987865352282,-0.0740860147944,0.00454350780698,-0.13659834998,-0.0208477592791
num_complete,0.163254871787,-0.0515866534485,0.137819222975,0.00204906207561,-0.0661365979584,0.0276336671655,-0.118496181366,-0.126322450696,0.125153323858,0.123863870815,0.0153874097856,-0.0561769588975,0.0406210773828,0.156423894762,-0.177621399599,-0.0521205516434,-0.11586242399,-0.0270902171889
num_incomplete,0.109468820036,-0.0411910440221,-0.111495066918,0.014360114907,0.261459005539,0.222107481265,0.101237341812,-0.14169877169,0.392915101989,-0.223356518979,-0.154125548175,0.203648108417,0.250154248885,-0.0933765578174,0.227965351764,0.151037176168,-0.133897061032,0.00419971846115
complete_rate,0.153831909116,-0.112062066442,0.0198021217321,0.109975635525,-0.129078104507,0.071909961775,-0.0881009945505,-0.0620434979103,0.119843138556,0.188959829572,0.127358988306,-0.222006596546,-0.00703890041859,0.17022829378,0.124101640354,-0.163338574587,-0.049477979329,-0.0355543946718
incomplete_rate,0.0812990304677,0.0027909241575,-0.279718097041,0.0634784073044,0.175664609897,0.260945290465,0.247201022531,0.112942037788,0.0724092376385,-0.176920171632,-0.277523555201,0.228263824164,0.054673716275,-0.248693283218,-0.26162045689,-0.0338951012108,0.160548252677,-0.203405378519
watched_time_hour,0.14239159545,-0.0175285236932,-0.0782025714936,0.118418524487,-0.0796189804543,0.153905919221,-0.0533319965359,0.00498386914424,0.0889450104698,0.15524008134,-0.0126885276993,-0.413168487659,0.0112702827704,-0.226460938159,-0.207806543674,0.403427483769,0.561164908568,0.237532478824
watched_time_weekday,0.105787326431,-0.0220400104658,-0.142996803944,0.0893519621912,-0.0365722860045,0.356001428309,-0.0620047857033,0.197227118145,0.0588305294451,0.299540549471,-0.281213358511,-0.144765680082,-0.371453212484,-0.0650502246466,0.193905192475,-0.448727133986,-0.0797479247295,0.0527591585917
seek_video_sum,0.165750812657,0.0708487569076,0.0742548930064,-0.096825217603,0.0825211167029,0.0400915675337,-0.0343030210194,0.00117133839956,0.162647537503,0.0677032122987,0.0138235555239,-0.0903895039729,0.0798946328312,0.142666364697,-0.00578428544794,0.204207799186,-0.0167989582665,-0.0325647252004
seek_video_avg,0.1536847195,0.0517657144814,-0.152888808619,-0.0161518694796,0.0551317988942,0.104860674497,0.0559952466722,0.189285413251,0.107278899423,0.0821889337793,0.152121790981,-0.178500791173,0.0728999987676,0.163101244716,0.0451688105207,0.165407074393,-0.00430505337051,0.0631977469775
pause_video_sum,0.169968100463,-0.0612257212602,0.0648823704965,0.00572657366529,0.0127369396445,0.051146878186,-0.0730654026579,-0.129276292348,0.218747861613,0.00404303201998,-0.0279792091241,0.00764571055254,0.090228600788,0.0729924317625,-0.094425175152,-0.0306693939623,-0.142856451717,-0.0409843073787
pause_video_avg,0.159199058745,-0.0742330771415,-0.129485264538,0.111419206883,-0.0425918857308,0.130307668625,0.0324940145474,0.0125183394446,0.135259813599,0.00709717124334,-0.0267161570508,-0.1016029206,0.00946958945982,0.0352505449596,-0.121506034793,-0.203284423618,-0.038672747957,-0.053665686276
stop_video_sum,0.129390907464,-0.107016955356,0.246086980216,0.10135639639,-0.160897889268,0.0473492398675,0.0992644889002,-0.104374532765,-0.00589185404339,0.0671476171274,0.00957525791432,0.190200328504,0.078978117552,-0.0213475293744,-0.268124530483,-0.0797317431963,-0.049641091636,0.204378994363
stop_video_avg,0.0988657459512,-0.17034946281,0.17615432489,0.215040994432,-0.20685451217,0.0735296895798,0.190803091721,-0.017705722714,-0.071833298407,0.190058996188,0.0640846959041,0.217383398046,0.0364785987053,-0.125738941829,0.27665442145,0.122275634722,0.122720983555,-0.205937358179
video_forward_seek_sum,0.116939679337,0.18929081119,0.175755087683,-0.129578279595,0.208926787013,0.10141676625,0.144454829245,-0.0972843229322,-0.140292180702,0.0686931663339,0.0224932805153,0.00957266338235,-0.0687747147283,-0.0268174320925,-0.038265196865,-0.0588219125457,0.0828812815731,0.0167346675151
video_forward_seek_avg,0.111230677161,0.169059040629,-0.0329377296354,-0.0841809906138,0.230954986851,0.176785504847,0.289223712548,-0.0988783840391,-0.186903180774,0.0771286067074,0.257071155383,-0.0178401261686,-0.0117802289389,0.281720761274,0.0597744784678,-0.00963460811641,-0.0117128878745,0.0355435010622
video_backward_seek_sum,0.144676829225,0.13433941705,0.169976332316,-0.0981769577207,0.0332242104956,-0.0817703901844,-0.0669828277422,0.193363380243,0.0591917885204,0.0191340479632,0.0839206686523,0.0881581099464,-0.100101527727,-0.180344948454,-0.092412540815,-0.11003187979,0.116518555668,-0.217219326423
video_backward_seek_avg,0.135318604656,0.102707222127,-0.036722427546,0.00483673261973,-0.0423467073017,-0.059444475539,-0.0374195595693,0.478897095253,0.157626740341,0.0850398406493,0.283814648731,0.1055991612,-0.00766293287844,-0.199380886446,-0.0974647254445,0.112967229871,-0.275979447309,0.0235227354744
video_pause_forward_seek_sum,0.147753983198,0.0703246304627,-0.0648929087765,0.0965045458594,-0.105587558664,-0.215953165546,-0.206039078126,-0.159512669528,1.92660728119e-06,-0.0724837273162,-0.0776433173557,-0.137146174665,0.0185171750651,-0.19442887274,0.140399525168,0.0860665208499,-0.128217470139,-0.0899952956067
video_pause_forward_seek_avg,0.115165279529,0.0855572974929,-0.242777711868,0.174993787946,-0.175486382383,-0.175020957097,-0.0294287887292,-0.112813480407,-0.189831615269,0.0147284099348,-0.173142492574,-0.00944209513377,0.0846243379205,-0.138021880371,-0.109081854413,0.0176863022393,-0.116097180787,-0.0524587286575
video_pause_backward_seek_sum,0.159012648621,0.0448254024457,0.0558442062931,-0.0338049235937,-0.0344558180711,-0.193737281679,-0.137768725374,0.0184519534794,0.180015554737,-0.144668761116,-0.117771205483,0.132201241913,-0.0525401120483,0.191976649504,0.158423614423,-0.016405547696,0.206221146936,0.060259336455
video_pause_backward_seek_avg,0.139279586694,0.0635136320241,-0.149840180354,0.0709841629835,-0.109336702784,-0.18393114016,0.0143280243375,0.0664096602668,0.0745875183465,-0.0744744563597,-0.125563323371,0.272329187529,-0.0309512665019,0.465066801243,0.138060458218,-0.104467696441,0.423799630451,0.174526311883
video_stop_backward_seek_sum,0.127289721603,-0.0272339602731,0.261091914891,-0.00909938574673,-0.0759009188182,-0.0458985043999,0.225935446706,0.131615472427,-0.0741482878963,-0.279725795785,-0.168981593641,-0.19791920078,-0.019444426306,0.0422927383715,-0.174328382347,-0.123765580612,0.0051716967069,0.112449308841
video_stop_backward_seek_avg,0.0966620840829,-0.0597468331764,0.182074414293,0.0630651250134,-0.147727413703,-0.0201425130502,0.331889774943,0.292116289492,-0.0800388690013,-0.440747777804,-0.162168119535,-0.383457668277,0.00285275267088,0.102626426854,0.18307046152,0.112473518359,-0.179532640955,-0.0342120609749
all_type_video_forward_seek_sum,0.151935109937,0.173772396468,0.105702784263,-0.057132960386,0.113494549224,-0.0153012404437,0.0216118759305,-0.142037925039,-0.106513142933,0.0211738448586,-0.0161077164196,-0.0513493543259,-0.0443014284016,-0.103460802158,0.0309556396422,-0.00787391962366,0.0081249021173,-0.025759144543
all_type_video_forward_seek_avg,0.142162907092,0.156774910731,-0.180382097041,0.0661323314175,0.0204269595316,-0.0113312914698,0.151709731639,-0.133292236211,-0.236438615772,0.0554180044757,0.0374401829652,-0.0168178987446,0.0491053319281,0.0753057289592,-0.0369017122553,0.00601696737594,-0.0838689674175,-0.0137226902621
