,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24
active_num_days,0.140673066334,0.124989059234,0.103540444967,0.120585121095,-0.0943049642262,-0.182151126143,-0.146745021422,0.0740968122833,0.123272182246,0.0700082242373,-0.21407086376,-0.051198104706,0.179346318459,0.0377660121549,0.107926692114,-0.0444662932948,0.0524270823267,-0.229364096138,0.0215452919955,0.0524330454096,-0.50951632999,-0.0865785926886,0.260505209746,-0.0891985479268
active_avg_count,0.117507838817,0.0278631849299,0.0642330275858,-0.151965071598,0.276528815943,0.0632388569619,0.204224943982,-0.228499167252,-0.139922368072,0.216422013688,0.0768210967859,0.0310643953679,0.0742107872668,0.0296162133332,-0.224366019865,0.0490584709867,-0.225113543356,-0.0322368549755,-0.0783073433064,0.106488420002,-0.0523170324658,-0.00337310312122,0.089466591974,-0.367838303906
active_sum_count,0.179626738818,0.0800541303741,0.0706518495823,-0.00039319483464,-0.012883863092,0.000760006996851,-0.0401568413503,-0.108686243846,0.0507502270876,0.149628555581,-0.0597394057075,0.0806424108489,0.136675474397,0.104546690668,-0.00555227675189,0.0485305669289,-0.0434494794727,-0.0384587511585,0.0249854653693,-0.00214308875018,-0.0605024089176,-0.00228997130761,-0.0194992556011,-0.0477153683491
problem_num_days,0.152428820668,0.112307965074,0.080755623407,0.070104099981,-0.0623083299552,-0.183930445576,-0.172378250114,0.0406482184224,0.138641277675,0.100199074609,-0.226880352257,0.063420786296,0.144484354154,0.124592315826,0.0489506575201,-0.0425816538082,0.0805486338174,-0.187274019064,-0.0394185691316,-0.0286011353112,-0.019902455201,-0.0245093701493,-0.0366970782997,-0.272205023366
problem_avg_count,0.0720656781269,0.135484900366,0.179308781383,-0.181986873396,0.205324267785,0.019814728199,0.224092510941,-0.21724566976,-0.0550050056879,0.354871289931,-0.0793147995124,0.126061008735,0.167792786485,0.0504576688126,-0.0600013080877,-0.133132576855,-0.0201727662193,0.166865330255,0.127749010944,0.0567769135567,0.105376918127,0.128609297801,-0.0188533184513,0.358739132111
problem_sum_count,0.132136898698,0.175630590267,0.159997645934,-0.0531816968519,0.0237322736592,-0.0508917458342,-0.000435066913805,-0.142103790542,0.0753327282829,0.267128671121,-0.218385310275,0.162611613022,0.186142208717,0.122923999541,0.0536796880087,-0.0505242469901,-0.0824826068606,0.0725872453611,0.0700026888951,-0.0463263869024,0.0242827952931,-0.0313219457607,-0.0398121227937,0.128568737197
video_num_days,0.163262859291,0.112148658223,0.0242562618184,0.0669973077273,-0.0388828305614,-0.147146355488,-0.164357095113,0.0749660822464,0.139064967948,-0.0215838560853,-0.00120449776251,0.179372029502,-0.0270805927964,-0.014963155695,-0.165770673307,-0.0987439720784,0.174734918419,0.0278317921865,-0.106112542602,-0.133796406595,0.0438102373349,0.140381135881,0.0504590375661,0.0100911437513
video_avg_count,0.146997204054,-0.138585555911,-0.00522924062501,-0.020762274393,0.168340953239,0.170723739653,0.0347289743054,-0.111022603031,-0.175356627292,-0.0207832982948,0.0816092886965,-0.177105947269,-0.0543149531213,-0.0859706902337,-0.0604937524291,0.121471725734,-0.266516476989,-0.138255449503,-0.0956573268389,0.188381459396,-0.344844147359,-0.353547349395,0.10352719575,0.00539003315612
video_sum_count,0.183672232937,-0.0851439813745,-0.0254658167566,0.0283299416183,-0.00648191039996,0.142571124738,-0.0564088911829,-0.0280134343076,-0.00338821353974,0.0156950889533,0.0616270023813,0.0291443133321,0.00994569257251,-0.0035004798343,0.0803212439151,0.0515799964906,0.00308138770981,0.0102941880632,-0.151297606491,-0.0327919734571,-0.0253947224859,-0.0626668464057,0.0652943418931,0.0654042527895
forum_num_days,0.0188237104294,0.162305317776,0.00781796795364,0.488028595733,-0.000377234685142,0.0796752866471,0.197522359698,-0.024393586265,-0.0865444614022,0.0160726097976,-0.0482781274201,-0.00222256979933,-0.06139648618,0.0233069080873,0.0048132389914,0.0443857906287,-0.0330302373135,0.000360960681539,-0.00923033637209,0.00753654630588,0.0575714594221,0.0244291260013,-0.00119286725238,0.0331456388545
