username,active_num_days,active_avg_count,active_sum_count,problem_sum_count,video_pause_backward_seek_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator1,indicator2,indicator3,final_score
104602001,1.944444444,104.387963,262.5,7.777777778,1.055555556,1.777777778,0.833333333,0.555555556,0.888888889,9.555555556,8.333333333,0,1,0,58.21
104602002,1.611111111,85.22685186,248.1111111,11.66666667,0.833333333,2.166666667,1.277777778,0.833333333,1.5,9.588888889,6.722222222,1,0,0,69.33
104602003,2,136.1527778,338.0555556,10.5,2.388888889,2.222222222,1.166666667,0.833333333,1.166666667,9.522222222,6.555555556,1,0,0,55.3
104602005,1.611111111,135.8981482,287.5555556,19.44444444,1.277777778,5.555555556,1.611111111,1.055555556,1.888888889,9.766666667,8.333333333,0,1,0,74.12
104602006,1.5,66.73611111,174.8888889,4.722222222,1,3.666666667,1.166666667,1,1.5,9.811111111,6.333333333,1,0,0,61.13
104602007,2.333333333,178.1259259,594.3888889,16.33333333,3.388888889,2.777777778,1.388888889,1.111111111,1.666666667,9.666666667,9.777777778,0,0,1,85.72
104602008,1.777777778,45.31851852,163.7222222,4.611111111,0.777777778,2.277777778,0.944444444,0.555555556,1,9.877777778,9.055555556,0,0,1,72.53
104602009,0.333333333,75.20370371,120.1666667,9.055555556,0,2.611111111,1.055555556,0.666666667,1.166666667,9.777777778,9.444444444,0,0,1,79.78
104602010,1.555555556,131.5,414.5,8.888888889,1.444444444,2.722222222,1,0.722222222,1.055555556,9.977777778,9.888888889,0,0,1,76.68
104602011,2.611111111,94.11150794,300,13.11111111,1.5,2.666666667,1.055555556,0.833333333,1.111111111,9.766666667,8.333333333,0,1,0,70.97
104602012,3.222222222,139.1527778,457.6111111,15.66666667,3.277777778,5,1.388888889,0.944444444,1.777777778,9.833333333,8.888888889,0,0,1,88.14
104602013,1.444444444,83.32407407,225.2222222,5.5,1.722222222,2.222222222,1.055555556,0.722222222,1.111111111,9.877777778,8.666666667,0,0,1,66.43
104602014,0,0,0,0,0,0.388888889,0.166666667,0.111111111,0.166666667,7.188888889,3.111111111,0,0,0,50.89
104602016,0.5,12.01851852,24.44444444,0,0,1.611111111,0.555555556,0.5,0.611111111,9.766666667,6,1,0,0,25.71
104602017,0.722222222,99.29166667,179.5,16.77777778,0.111111111,2.444444444,0.722222222,0.388888889,0.944444444,9.577777778,9,0,1,0,52.83
104602018,1.888888889,86.76018518,292.1666667,11.94444444,1.555555556,3,0.944444444,0.666666667,1.166666667,9.6,7.777777778,0,1,0,54.02
104602019,2.722222222,91.69444444,377.7222222,14.44444444,1.777777778,3.055555556,0.944444444,0.611111111,1,9.8,6.444444444,1,0,0,80.67
104602020,0.833333333,60.67962963,149.5,12.16666667,0.055555556,1.777777778,0.722222222,0.5,0.722222222,9.333333333,9.222222222,0,1,0,77.99
104602021,1.277777778,23.00648148,92,4.555555556,0.166666667,1.333333333,0.611111111,0.333333333,0.611111111,9.322222222,6,1,0,0,80.61
104602022,1.944444444,132.6027778,307.0555556,9.388888889,1.277777778,1.5,0.722222222,0.555555556,0.722222222,9.611111111,9.666666667,0,0,1,83.56
104602023,0.888888889,28.30555556,98.66666667,4.833333333,0,2.111111111,0.777777778,0.444444444,0.888888889,8.3,9.333333333,1,0,0,95.5
104602024,1.277777778,78.91944444,128.6666667,5.722222222,0.166666667,1.444444444,0.5,0.333333333,0.555555556,6.955555556,6.888888889,0,0,0,72.67
104602025,1.888888889,35.30092593,124.7777778,9.388888889,0,3.5,1,0.555555556,1.055555556,8.333333333,5.388888889,0,0,0,61.38
104602027,2.166666667,60.41296297,184.2222222,7.5,0.555555556,2.611111111,0.888888889,0.555555556,0.888888889,9.6,9.444444444,0,0,1,57.3
104602028,1,89.49537037,222.1666667,14.5,0.444444444,1.5,0.833333333,0.444444444,0.833333333,9.811111111,9.333333333,0,0,1,104.16
104602029,1.611111111,72.3287037,202.9444444,9.833333333,0.5,3.5,1.111111111,0.833333333,1.333333333,9.755555556,6.888888889,0,1,0,67.13
104602030,0.777777778,71.89629629,189.5555556,4.5,1.277777778,1.611111111,0.611111111,0.388888889,0.666666667,9.666666667,4.777777778,0,0,0,54.11
104602031,1.388888889,73.44444445,177.5,12.05555556,0.111111111,2,0.666666667,0.555555556,0.722222222,9.488888889,5.222222222,0,0,0,50.2
104602032,0.111111111,14.83333333,14.83333333,0.944444444,0,0.111111111,0.111111111,0.111111111,0.111111111,9.711111111,9.777777778,0,0,1,51.06
104602033,2.111111111,118.837037,329.6666667,18.44444444,0.944444444,1.5,0.722222222,0.444444444,0.722222222,8.5,6.611111111,0,0,0,82.94
104602035,1.833333333,95.5462963,242.3888889,7.5,1.666666667,3.166666667,1.333333333,1.166666667,1.722222222,9.877777778,9.777777778,0,0,1,80.48
104602037,1.5,160.0046296,343.8888889,24.38888889,0.166666667,2.944444444,1.111111111,0.611111111,1.277777778,9.811111111,8.777777778,0,0,1,61.61
104602501,2.5,70.79034391,244.4444444,10.33333333,2.055555556,1,0.611111111,0.388888889,0.611111111,9.777777778,6.5,1,0,0,56.93
104602502,2.277777778,179.1453704,437.7777778,16.88888889,1.777777778,3.444444444,1.388888889,1,1.5,9.544444444,7,1,0,0,67.38
104602503,1.222222222,136.1203704,252.6111111,7.722222222,1.055555556,3.055555556,1,0.444444444,1,7.888888889,5,0,0,0,48.27
104602504,2.666666667,70.38796296,211.2777778,1.277777778,2.833333333,3.166666667,1.333333333,0.833333333,1.722222222,9.611111111,6.666666667,1,0,0,71.49
