username,active_num_days,active_avg_count,active_sum_count,problem_sum_count,video_pause_backward_seek_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
101302503,0.666666666667,130.0,130.0,0.0,1.16666666667,0.0,0.0,0.0,0.0,9.81666666667,5.16666666667,1.0,61.0
102602012,0.5,0.416666666667,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.57
103602527,2.33333333333,101.05555555,289.0,5.16666666667,0.666666666667,0.0,0.0,0.0,0.0,9.56111111117,7.388888889,0.0,47.15
104602001,2.33333333333,94.63888889,238.166666667,6.5,1.66666666667,1.0,0.333333333333,0.333333333333,0.333333333333,9.69444444467,7.49999999983,0.0,58.21
104602002,1.16666666667,46.25,100.5,0.0,1.0,0.666666666667,0.666666666667,0.5,0.666666666667,9.5444444445,3.861111111,1.0,69.33
104602003,1.83333333333,94.9166666667,219.833333333,0.0,2.66666666667,1.33333333333,0.666666666667,0.666666666667,0.666666666667,9.511111111,5.777777778,0.0,55.3
104602005,0.5,70.0833333333,82.6666666667,3.66666666667,1.66666666667,4.33333333333,1.16666666667,0.833333333333,1.16666666667,9.6333333335,6.6666666665,1.0,74.12
104602006,1.16666666667,26.7222222167,62.1666666667,0.0,0.833333333333,4.16666666667,0.833333333333,0.833333333333,1.16666666667,9.9055555555,5.83333333317,1.0,61.13
104602007,2.16666666667,179.027777777,436.166666667,20.0,4.33333333333,2.83333333333,1.0,0.666666666667,1.0,9.75000000017,9.888888889,1.0,85.72
104602008,2.33333333333,42.7277777783,142.666666667,0.0,1.16666666667,0.5,0.333333333333,0.166666666667,0.333333333333,9.92222222233,8.69444444467,1.0,72.53
104602009,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.333333333333,0.166666666667,0.333333333333,9.87222222233,9.05555555533,1.0,79.78
104602010,1.66666666667,105.361111112,399.0,0.0,2.16666666667,1.5,0.166666666667,0.166666666667,0.166666666667,9.95555555567,9.77777777783,1.0,76.68
104602011,2.0,36.5611111117,108.5,0.0,1.5,1.16666666667,0.5,0.333333333333,0.5,9.80000000017,7.33333333317,1.0,70.97
104602012,3.0,53.5277777833,159.333333333,0.0,1.83333333333,5.0,1.0,0.666666666667,1.33333333333,9.83333333317,9.27777777783,1.0,88.14
104602013,1.33333333333,34.9166666667,62.6666666667,0.0,0.5,1.0,0.333333333333,0.333333333333,0.333333333333,9.90555555567,8.50000000017,1.0,66.43
104602014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92777777783,2.38888888883,0.0,50.89
104602016,0.166666666667,3.16666666667,3.16666666667,0.0,0.0,0.0,0.0,0.0,0.0,9.86666666683,5.33333333333,0.0,25.71
104602017,0.166666666667,15.8333333333,15.8333333333,0.0,0.166666666667,0.0,0.0,0.0,0.0,9.70555555567,9.5,0.0,52.83
