username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,mt_mean,count,sum,hw_mean,qz_mean,counseling_join_num,final_score
104602026,-1.828224435,-1.908039181,-1.554006216,-1.381572563,-1.151057028,-1.186100634,-1.333111226,-1.113315817,-0.878720851,-0.61294357,-0.88959329,-1.057344579,-1.083515451,-2.176020686,-2.855628015,-2.321384125,-2.53903778,-2.898655626,18,-28.76827107,-5.290240671,-3.547238226,-0.231908414,25.57
104602032,-2.406092048,-1.878413983,-1.82000728,-1.445910501,-1.005256471,-1.276971247,-1.416157499,-0.886406396,-0.836884491,-0.507092883,-0.831409908,-1.105948321,-0.882777486,-2.000460631,-2.26048799,-1.634013241,-2.084641694,-1.125131738,18,-25.40406381,0.431563721,1.28250998,-0.231908414,51.06
104602517,-1.057734285,-0.854622279,-1.022004088,-1.510248439,-1.223957306,-1.276971247,-1.333111226,-1.113315817,-0.848837736,-0.605886857,-0.88959329,-1.105948321,-1.083515451,-2.000460631,-2.558058002,-1.977698683,-2.311839737,-1.490269009,18,-24.26407241,0.179660383,0.625664224,3.072786489,82.97
104602024,-0.67248921,-0.895959763,-0.49000196,-1.188558749,-1.151057028,-0.913488795,-1.16701868,-1.113315817,-0.798036442,-0.514149595,-0.860501599,-0.976338341,-1.083515451,-0.244860077,-0.772637927,-0.602956916,-0.721453435,-0.473296505,18,-14.63963629,-1.367745836,-0.417561389,-0.231908414,72.67
104602009,-1.635601898,-0.572149467,-1.554006216,-1.381572563,-0.932356193,-1.095230021,-1.16701868,-0.886406396,-0.801024753,-0.50003617,-0.831409908,-0.943935846,-0.882777486,-0.15708005,0.12007211,-0.259271474,0.187338737,-0.082772356,16,-13.37523863,0.369873108,1.166596023,-0.231908414,79.78
104602021,0.09800094,-1.003437224,-1.288005152,-1.252896687,-1.151057028,-0.822618181,-1.083972407,-1.113315817,-0.502193606,-0.041349859,-0.59867638,-0.895332103,-1.083515451,-0.50820016,-0.177497902,-0.602956916,-0.494255392,-0.270423629,17,-12.79170295,0.020292965,-1.190321102,-0.231908414,80.61
104602031,0.290623478,-0.482584916,-1.82000728,-1.574586377,-1.223957306,-1.186100634,-1.416157499,-1.113315817,-0.717352032,-0.394185483,-0.685951453,-0.943935846,-1.083515451,0.6329402,-0.177497902,0.084413968,-0.267057349,-0.581298499,15,-12.6595262,0.297900725,-0.301647432,-0.231908414,50.2
104602507,-1.250356823,-1.074399906,-1.288005152,-1.188558749,-0.786555636,-1.186100634,-0.917879861,-0.659496974,-0.729305278,-0.535319733,-0.831409908,-0.84672836,-0.68203952,-0.771540243,0.12007211,0.084413968,-0.039859306,0.536717051,15,-12.04635295,-0.406400444,-0.688027288,-0.231908414,39.87
104602016,-1.250356823,-1.772314439,-0.49000196,-0.609517307,-0.494954522,-0.640876955,-0.751787315,-0.356951078,-0.666550737,-0.394185483,-0.685951453,-0.814325865,-0.347476244,-0.244860077,-0.475067915,0.084413968,-0.494255392,-1.445704874,17,-11.85072447,0.39557753,-0.726665274,-0.231908414,25.71
104602020,-0.287244135,-0.277275409,-1.554006216,-1.574586377,-1.223957306,-1.36784186,-1.416157499,-1.113315817,-0.89665072,-0.61294357,-0.88959329,-1.089747074,-1.083515451,0.194040061,0.417642123,0.42809941,-0.039859306,0.748391948,14,-11.63852049,0.241350996,0.625664224,-0.231908414,77.99
103602527,-0.287244135,0.290426048,0.042000168,-0.030475865,-0.057552851,-0.368265116,-0.004370856,-0.205678131,3.812928154,-0.260107946,-0.569584688,-0.393093428,-0.280563589,-2.176020686,-2.855628015,-2.321384125,-2.53903778,-2.898655626,15,-11.10230847,0.004870312,-0.108457504,-0.231908414,47.15
104602025,0.09800094,-0.768502519,-0.224000896,-0.738193183,-0.5678548,-1.095230021,-0.834833588,-0.508224026,-0.657585803,-0.351845208,-0.860501599,-0.862929608,-0.481301555,-0.15708005,-0.177497902,-0.946642358,-0.494255392,-1.058888473,17,-10.68736604,-1.701903326,-1.692614915,-0.231908414,61.38
104602023,-0.67248921,-0.998614517,-1.022004088,-1.124220811,-1.223957306,-0.822618181,-1.000926134,-1.113315817,-0.812977999,-0.52826302,-0.802318217,-1.008740836,-1.083515451,0.457380144,0.715212135,-0.259271474,0.187338737,0.917593283,14,-10.19570876,-1.840707206,1.127958037,-0.231908414,95.5
104602524,-0.67248921,-0.969678278,-1.022004088,-0.931206997,-0.786555636,-0.913488795,-1.083972407,-0.659496974,-0.660574114,-0.570603295,-0.715043144,-1.008740836,-0.68203952,-0.15708005,0.417642123,-0.259271474,0.187338737,0.628158605,15,-9.859105352,0.010011196,-0.842579231,-0.231908414,68.02
104602008,-1.44297936,-1.151563211,-0.756003024,-0.738193183,-0.13045313,-1.095230021,-0.585694768,-0.054405183,-0.705398786,-0.598830145,-0.773226526,-0.733319627,-0.146738279,-0.15708005,0.12007211,-0.259271474,-0.039859306,0.048447068,16,-9.199726894,0.570367601,0.741578181,-0.231908414,72.53
104602509,-0.67248921,-0.670670472,-0.224000896,-0.738193183,-0.349153965,-0.731747568,-0.834833588,-0.356951078,-0.627702688,-0.605886857,-0.656859762,-0.538904656,-0.213650934,0.018480006,-0.177497902,0.084413968,-0.267057349,-0.516256644,16,-8.078962779,-0.190483298,-1.074407145,-0.231908414,47.45
104602520,-0.287244135,0.106474241,-0.49000196,0.484227639,0.890150768,0.358699788,-0.336555949,1.004505451,-0.22428064,-0.344788496,0.215890971,-0.328288438,1.057689514,-1.824900575,-2.26048799,-1.634013241,-2.084641694,-1.859450565,11,-7.55701531,-3.203041585,-2.310822686,-0.231908414,48.24
104602017,-0.865111748,-0.186332943,-0.756003024,-0.931206997,-1.151057028,-0.550006342,-0.834833588,-1.113315817,-0.633679311,-0.260107946,-0.685951453,-0.879130855,-1.083515451,1.335180421,0.417642123,-0.259271474,0.868932867,0.202142243,14,-7.365626323,0.231069227,0.548388252,-0.231908414,52.83
104602525,-0.67248921,-0.734743573,-0.49000196,-0.673855245,-0.713655357,-0.731747568,-0.751787315,-0.735133448,-0.552994901,-0.288334796,-0.453217924,-0.78192337,-0.748952175,-0.15708005,-0.177497902,1.802841178,0.641734823,-0.466156768,16,-6.684995561,-0.118510915,-0.919855202,1.420439037,59.69
104602027,1.831603778,-0.355127672,0.574002296,-0.416503493,-0.786555636,-0.18652389,-0.253509676,-0.810769922,-0.520123475,-0.196597534,-0.540492997,-0.555105904,-0.81586483,-0.332640105,-0.475067915,-0.602956916,-0.721453435,-0.319899729,16,-5.483587054,0.333886916,1.166596023,-0.231908414,57.3
104602519,-0.865111748,-0.44538118,-0.756003024,-0.995544935,-0.786555636,-0.822618181,-1.083972407,-0.735133448,-0.009122214,-0.090746846,0.099524206,-0.879130855,-0.748952175,-0.069300022,1.012782148,0.084413968,0.641734823,1.133387956,13,-5.31572957,0.575508485,1.205234009,-0.231908414,94.97
104602030,-1.635601898,-0.217336056,-0.756003024,-0.609517307,-0.349153965,-0.277394503,-0.419602222,-0.281314605,0.16121154,0.904249613,-0.191392704,-0.344489685,-0.146738279,-0.069300022,-0.177497902,-0.602956916,-0.267057349,0.273230993,15,-5.006664292,0.426422837,-0.456199374,-0.231908414,54.11
104602515,0.290623478,0.084427582,-0.49000196,-0.352165555,-0.640755079,-0.18652389,-0.419602222,-0.659496974,-0.322894918,-0.44358247,-0.220484396,0.368365208,-0.68203952,0.6329402,-0.177497902,-0.602956916,-0.267057349,-0.006316364,14,-4.095019047,-0.519499902,-0.147095489,-0.231908414,60.84
104602005,0.290623478,-0.438491599,-0.756003024,-0.995544935,-0.932356193,-0.731747568,-0.834833588,-0.810769922,-0.687468917,-0.485922745,-0.569584688,-0.814325865,-0.81586483,1.686300532,1.012782148,0.42809941,1.09613091,0.598501397,12,-3.760476001,0.48811345,0.780216166,-0.231908414,74.12
101302503,0.675868553,0.396525592,2.17000868,1.384958771,1.473352996,-0.095653277,0.743045602,1.685233716,-0.215315705,-0.457695895,-0.365942851,0.141547742,1.65990341,-2.176020686,-2.855628015,-2.321384125,-2.53903778,-2.898655626,9,-3.5948889,0.611494677,-0.378923403,-0.231908414,61
104602035,-0.094621597,-0.272452703,-0.224000896,-0.352165555,-0.276253687,-0.640876955,-0.502648495,-0.205678131,-0.642644245,-0.535319733,-0.33685116,-0.733319627,-0.280563589,-0.244860077,0.417642123,1.115470294,0.641734823,-0.319904697,15,-3.487313907,0.570367601,1.28250998,-0.231908414,80.48
104602018,-0.094621597,0.535695123,0.042000168,-0.995544935,-1.005256471,-0.913488795,-0.751787315,-0.886406396,-0.478287114,-0.245994521,-0.453217924,-0.133873467,-0.81586483,0.720720227,0.715212135,0.771784852,1.09613091,0.248422997,11,-2.644376952,0.457268143,-0.572113331,-0.231908414,54.02
104602504,0.290623478,-1.383742083,0.042000168,-0.416503493,-0.349153965,-0.640876955,-0.336555949,-0.356951078,-0.403579328,-0.358901921,-0.685951453,0.384566456,-0.280563589,0.106260033,0.417642123,-0.259271474,0.641734823,0.992572417,11,-2.59665179,0.076842694,-0.263009446,-0.231908414,71.49
104602003,0.09800094,0.097517786,0.574002296,-0.480841431,-0.349153965,-0.004782664,-0.751787315,-0.432587552,0.621411506,0.113897815,1.146825085,0.092943999,-0.481301555,-0.332640105,-0.177497902,-0.259271474,-0.494255392,-0.882132884,11,-1.901652811,0.251632765,-0.301647432,-0.231908414,55.3
104602503,-1.057734285,-0.503942617,-1.022004088,0.355551763,0.161147984,0.99479408,0.659999328,-0.054405183,0.513832293,0.904249613,1.903209053,0.740993902,-0.079825624,-0.332640105,-0.475067915,-1.634013241,-0.721453435,-0.747533432,10,-0.394841909,-0.612035822,-1.65397693,-0.231908414,48.27
104602010,-0.479866673,-0.14775129,-0.49000196,0.419889701,-0.786555636,1.449147145,-0.419602222,-0.735133448,0.232931015,1.20768825,-0.191392704,-0.749520875,-0.748952175,-0.50820016,0.417642123,0.42809941,0.187338737,0.615330352,10,-0.29891041,0.662903521,1.321147966,-0.231908414,76.68
104602001,-0.287244135,-0.71063004,0.574002296,0.805917329,0.306948541,0.99479408,-0.170463403,0.475050134,-0.394614393,-0.549433158,-0.33685116,-0.555105904,0.455475618,-0.332640105,0.12007211,-0.259271474,-0.039859306,-0.089048521,11,0.00709851,0.189942152,0.780216166,-0.231908414,58.21
104602022,-1.250356823,-0.043029662,-0.756003024,0.677241453,0.81725049,0.086087949,-0.08741713,0.928868977,-0.006133902,0.283258915,-0.249576087,-0.652313389,0.923864204,-0.420420133,0.12007211,0.42809941,-0.267057349,0.777332238,9,1.309768248,0.400718414,1.243871994,-0.231908414,83.56
104602501,0.290623478,-0.359950379,0.308001232,0.612903515,0.671449933,0.631311628,0.659999328,0.928868977,-0.152561164,-0.034293147,0.070432515,0.206352732,1.057689514,-1.210440382,-0.475067915,-0.602956916,-0.721453435,-0.326120104,8,1.554789412,0.508676988,-0.147095489,-0.231908414,56.93
104602006,-0.479866673,-0.426779312,0.042000168,0.355551763,-0.13045313,0.631311628,0.826091875,-0.130041657,-0.00015728,0.064500828,0.535899572,0.578981427,-0.213650934,-0.069300022,-0.177497902,0.42809941,-0.039859306,-0.057578799,10,1.737251656,0.477831681,-1.074407145,-0.231908414,61.13
104602002,-0.094621597,0.112674863,1.106004424,1.256282895,-0.276253687,0.99479408,1.407415787,-0.356951078,-0.006133902,-0.521206308,-0.744134835,0.368365208,-0.414388899,0.018480006,0.417642123,0.084413968,0.868932867,0.217182421,7,4.438498334,0.452127259,-0.069819518,-0.231908414,69.33
104602513,1.253736166,1.108219287,0.574002296,-0.416503493,-0.494954522,-0.459135729,-0.336555949,-0.5838605,-0.218304017,-0.253051233,0.041340824,0.676188912,-0.615126865,1.071840338,0.715212135,0.771784852,0.41453678,1.384338646,8,4.633707927,0.647480868,1.243871994,-0.231908414,93.69
104602506,0.290623478,0.087183414,0.574002296,0.033862073,0.306948541,-0.822618181,0.576953055,0.323777186,0.764850456,-0.570603295,-0.656859762,1.518653786,0.254737652,1.247400393,0.417642123,0.42809941,0.41453678,-0.206277976,4,4.98291143,0.087124463,-0.417561389,-0.231908414,63.62
104602037,0.483246015,0.760984415,0.042000168,0.226875887,-0.640755079,0.99479408,-0.170463403,-0.810769922,0.388323211,1.426446337,0.419532808,-0.37689218,-0.81586483,1.247400393,1.012782148,0.42809941,1.09613091,0.668778982,5,6.38064935,0.585790254,0.239284367,-0.231908414,61.61
104602011,1.061113628,0.391013927,0.574002296,0.934593205,0.81725049,0.540441015,0.909138148,0.475050134,-0.239222197,-0.514149595,-0.104117631,0.659987664,0.321650307,-0.15708005,0.12007211,0.771784852,-0.039859306,0.65081191,5,7.172480907,0.565226717,0.780216166,-0.231908414,70.97
104602508,0.86849109,0.808522522,0.574002296,-0.030475865,-0.13045313,0.267829175,-0.08741713,0.021231291,-0.427485819,-0.267164658,-0.220484396,-0.538904656,0.455475618,0.98406031,0.715212135,2.490212062,1.550526996,0.374069736,7,7.407247577,0.02543385,0.162008396,-0.231908414,60.32
104602033,1.446358703,0.752716918,2.702010808,1.063269081,0.963051047,0.813052854,0.493906782,0.701959556,-0.167502722,-0.133087121,0.18679928,-0.425495923,0.522388273,-0.244860077,0.12007211,-0.259271474,-0.267057349,-0.483098702,7,7.785212042,-1.084997192,-0.572113331,-0.231908414,82.94
104602029,0.86849109,0.269068347,0.308001232,1.127607019,0.598549654,0.722182241,0.826091875,0.701959556,-0.003145591,0.191521653,-0.278667778,-0.2472822,0.723126238,1.510740476,0.417642123,0.084413968,0.41453678,-0.378293542,4,7.856543142,0.513817872,-0.069819518,-0.231908414,67.13
104602505,0.675868553,0.197416707,1.372005488,0.998931143,1.035951325,0.267829175,0.743045602,0.928868977,0.05960895,0.586697552,-0.395034542,-0.2472822,0.790038893,0.545160172,0.12007211,0.084413968,0.187338737,0.172697773,2,8.123628383,-0.226469488,0.509750267,-0.231908414,81.71
104602526,0.09800094,-0.231115218,-0.224000896,0.612903515,1.327552439,0.086087949,0.493906782,1.382687821,-0.155549476,-0.351845208,0.099524206,0.773396397,1.258427479,0.369600116,0.715212135,0.771784852,0.41453678,0.990209731,4,8.431320346,0.416141067,0.277922353,-0.231908414,76.48
104602516,2.024226316,0.431662454,1.372005488,0.098200011,-0.786555636,0.176958562,0.743045602,-1.037679343,0.002831032,0.304429052,0.884999865,0.28735897,-1.016602796,2.12520067,0.715212135,1.115470294,0.641734823,0.556608182,3,8.639105682,0.596072023,0.664302209,-0.231908414,56.89
104602028,0.09800094,0.659018619,0.308001232,1.384958771,2.129455501,-0.640876955,1.158276967,2.290325507,-0.304965049,-0.591773432,-0.453217924,1.032616359,1.927554031,0.018480006,1.012782148,0.084413968,0.41453678,0.848655901,4,11.37624337,0.585790254,1.127958037,6.377481392,104.16
104602019,1.253736166,0.897398115,0.574002296,0.805917329,0.963051047,1.358276532,0.576953055,0.853232503,0.035702458,-0.090746846,2.426859493,-0.31208719,1.191514824,1.071840338,0.715212135,0.084413968,0.41453678,0.172661135,2,12.99247414,0.549804063,-1.499424987,-0.231908414,80.67
104602510,-0.094621597,0.507447842,0.574002296,1.063269081,1.181751882,0.176958562,1.656554606,1.231414873,0.16121154,-0.302448221,-0.162301013,1.956087471,0.990776859,1.335180421,0.715212135,0.42809941,1.777725039,0.744544966,3,13.94086615,0.539522294,0.316560338,-0.231908414,70.1
104602007,-0.094621597,1.531928505,1.638006552,0.484227639,0.671449933,0.086087949,0.743045602,0.626323082,1.846619208,0.593754264,0.274074353,1.389043805,0.455475618,-0.50820016,0.715212135,1.459155736,1.09613091,0.976569669,2,13.9842832,0.287618956,1.28250998,-0.231908414,85.72
104602013,0.290623478,0.382057472,1.372005488,1.063269081,1.108851603,1.085664693,1.573508333,1.155778399,0.971043948,-0.027236434,1.263191849,1.745471252,1.325340135,-0.244860077,0.417642123,0.084413968,0.187338737,0.940407786,2,14.69451183,0.554944948,0.200646382,-0.231908414,66.43
104602511,0.290623478,1.532617463,0.574002296,0.934593205,0.379848819,1.812629598,1.656554606,-0.356951078,1.386419242,2.470839784,1.205008467,1.696867509,-0.414388899,-0.244860077,0.417642123,0.771784852,0.641734823,0.733865387,3,15.4888316,0.621776446,0.741578181,-0.231908414,78.77
104602502,0.483246015,1.787531952,0.84000336,1.063269081,1.108851603,2.17611205,1.24132324,1.080141925,0.962079013,1.369992637,2.281401037,1.243232577,1.325340135,-0.420420133,0.417642123,0.42809941,0.187338737,0.717971196,1,18.29315596,0.076842694,-0.49483736,-0.231908414,67.38
104602012,1.638981241,1.452009368,1.638006552,1.770986398,0.744350211,2.357853276,2.320924791,0.626323082,0.567621899,-0.027236434,1.55410876,2.150502441,0.589300928,0.281820089,0.715212135,0.084413968,0.41453678,1.139321426,1,20.01903691,0.596072023,0.625664224,1.420439037,88.14
104602522,1.831603778,1.351421488,0.308001232,2.285689902,3.150059399,0.449570402,1.656554606,3.273599667,0.143281671,-0.380072058,0.070432515,1.35664131,3.533457755,2.300760725,0.715212135,0.771784852,0.41453678,0.850491577,1,24.08302774,-0.442386636,-0.688027288,-0.231908414,59.34
104602514,1.446358703,1.435474374,0.84000336,1.513634646,2.20235578,1.540017758,1.822647152,2.365961981,0.636353063,-0.408298908,1.903209053,3.073973553,2.329029962,0.545160172,1.012782148,1.115470294,1.550526996,1.034957527,1,25.95961761,0.34930957,0.780216166,-0.231908414,74.75
104602521,1.831603778,3.767597469,1.106004424,1.256282895,1.035951325,2.630465115,1.407415787,0.39941366,4.637702119,5.942742323,4.085085884,1.437647548,0.254737652,0.194040061,1.012782148,2.14652662,1.323328953,0.987448189,0,35.45677595,0.169378614,-0.22437146,-0.231908414,80.87
