,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,indicator
active_num_days,0.130752106549,-0.207370958342,0.0383936786208,-0.06262439512,0.0101066016741,0.0282823151839,-0.0809159426256,-0.00928855714071,-0.20388418844,0.0935883684976,-0.0650847672755,0.293522231024,0.0788961799116,0.140502316716,-0.0216527210757,0.0388708457438,0.0911727400574,-0.29080357535,
active_avg_count,0.153022683546,0.080706083363,0.030646462166,-0.0220403748468,-0.067904266782,0.269889300705,0.1671982429,0.0207165977656,-0.00890148573496,-0.0286025775548,0.0398493196018,-0.24899406841,-0.0639638707602,0.0597346158547,-0.0607216939317,0.114763281337,0.0650064294228,0.173120273158,
active_sum_count,0.170474338672,0.0052990743077,0.0580970566415,-0.0753131549546,-0.00480246501826,0.145534126109,0.137938738758,-0.11843624299,-0.107479202183,-0.045808031678,0.0428413269089,0.0359278384255,-0.0318001719861,0.0526322654474,0.0767063451481,-0.0603576640979,-0.0216054715996,0.0184741009817,
problem_num_days,0.121710387555,-0.190470675367,0.0380509933077,-0.0432608987569,0.024350746679,0.124286600109,-0.0395967379222,-0.0793354586141,-0.26023601401,0.0483573250376,0.00590188577416,0.418391729973,-0.115276148361,0.0752414748728,0.351486082392,0.00540805236599,0.340126120612,0.172984237719,
problem_avg_count,0.103036898841,-0.117491515336,0.0777916827631,-0.0793513359213,-0.187139382015,0.294077741818,0.415000529854,-0.0777644958132,-0.0763572327611,-0.178080832877,0.109803254918,-0.164494199877,0.0292367403265,0.0749193312447,-0.112864209742,-0.0445294073587,-0.15619583635,-0.0340374574441,
problem_sum_count,0.111671945262,-0.138982495869,0.0783710142734,-0.0904141255911,-0.0967807454119,0.27758240546,0.380896755905,-0.160437937464,-0.164025351547,-0.131258286034,0.183072745815,0.0105463385138,-0.0831355203285,0.0308237327691,0.0586132490205,-0.105016754599,-0.0178044725347,0.0375754453116,
video_num_days,0.147709417145,-0.155286167047,0.0655508923658,0.0464577110714,-0.0419585171887,0.0320592663415,-0.121358293182,-0.0786978350811,0.0277654314971,0.0901265211146,0.00915751051584,0.197725454976,-0.117264550977,-0.209828259183,0.0668821661389,-0.384370879466,-0.07346735952,0.0471091368954,
video_avg_count,0.138985865205,0.196188995392,-0.00961021027107,0.00285340265446,0.0303938867586,0.135980850964,-0.0132667842736,0.157192734954,-0.0161984387383,0.0585611566245,0.00713646468416,-0.167371471703,-0.0235651347404,0.139241152935,-0.106657697381,0.232169299147,0.0822141751938,0.135563733101,
video_sum_count,0.150802527172,0.198867433128,0.033007493959,-0.0353019547066,0.0575888570242,-0.00329347960405,-0.0178531080924,0.0100753522091,-0.0528982019788,0.00259189943087,-0.0221210446982,0.0128718495,0.0954109587604,0.0261800931439,0.0648695361362,-0.0193524318597,-0.00814371666011,0.0474159012252,
forum_num_days,0.0233083921851,-0.075981212184,0.345103139318,0.341317387344,0.282251055141,-0.0279219020227,0.0566750837498,0.00307969775105,-0.0256903874297,-0.000924674275698,0.00399420411989,-0.0752193347417,-0.00961655016613,-0.000283935882949,-0.0152017052554,0.0222795307811,-0.028823363783,0.00284926402927,
forum_avg_count,0.0219102724232,-0.07475976881,0.354390325869,0.346280672017,0.265444866813,-0.0207674989178,0.0459370061257,0.00858829792542,-0.0461779403754,-0.00842958647879,0.0568063351978,-0.0447794537318,-0.00323535387446,0.00306223173849,-0.0361810255571,-0.00414138946664,0.00928941577406,-0.00946846782699,
forum_sum_count,0.0219102724219,-0.0747597688084,0.354390325873,0.346280672018,0.265444866797,-0.0207674989115,0.0459370061162,0.00858829793002,-0.0461779403924,-0.00842958648508,0.0568063352421,-0.0447794537056,-0.00323535386901,0.0030622317413,-0.0361810255746,-0.00414138948902,0.00928941580632,-0.00946846783736,
num_watched,0.16704742154,0.0397009467526,0.0869517100825,-0.0462093829739,-0.0391983834232,0.126720863409,-0.168767512798,-0.124032585925,0.166383987834,-0.000711018760683,0.074392872362,-0.018438046836,-0.0791497623108,-0.053368010374,-0.0924418340036,0.0117004916521,0.0108946637516,-0.0818154905465,
num_complete,0.165636780494,0.0696905150283,0.107834586945,-0.0558398239184,-0.0891847052291,0.0243748001139,-0.0598803669191,-0.167911203816,0.109756328431,0.0375585831671,0.0402248374816,-0.0322953984529,-0.0322024358394,-0.194305621929,-0.0937851312105,-0.0559070323845,0.0081663507288,-0.072472645322,
