,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,indicator
active_num_days,0.141112341013,0.119935680822,0.15706445818,0.117809966736,-0.0629182542242,0.00212437341235,0.122663638128,-0.0373364195004,0.0861841925355,-0.158975271951,-0.191921630259,0.065777316245,-0.29315694253,-0.184208640416,-0.0691014435211,0.104284168116,0.0678709670789,
active_avg_count,0.134516714226,0.0181312735317,-0.00724942530791,-0.0317383272799,-0.00751359395234,-0.212493130082,-0.361776838112,-0.0657289248447,-0.293863539406,-0.059067753424,0.169294139823,0.116559599803,0.156197640279,0.0726142926858,-0.181545526027,-0.0810715084667,0.0131748908159,
active_sum_count,0.172735606617,0.0883420402566,0.0803185734447,0.0141818995216,0.00407620602716,0.000850373134576,-0.10303748445,-0.0838798067937,-0.0550465726331,-0.139130708418,-0.105528722843,0.0625988870211,0.0239722989631,-0.0720158300385,-0.0522315797329,0.0573774522289,-0.0319211144196,
problem_num_days,0.146374148943,0.125206326227,0.157938929318,0.113968209283,-0.0390187846457,-0.00209440341897,0.0772372841075,-0.0240334405381,0.0829160439356,-0.212961714364,-0.237176488193,0.0515117398774,-0.0886440372007,-0.173039951083,-0.139522355491,0.129599349173,-0.156779947367,
problem_avg_count,0.0964348830457,0.126815341825,0.082546752407,-0.0185395956533,-0.104363912652,-0.214091678345,-0.402877748135,-0.0377308475201,-0.373572880711,-0.197947074749,-0.0984765338582,0.124662769169,0.0730173125076,0.18451714677,-0.0150119580136,0.0459682458276,0.0310837659532,
problem_sum_count,0.136405036615,0.183334929302,0.143389989561,0.0251464747772,-0.0707587040644,-0.0540164637687,-0.181011725188,-0.0592050259006,-0.201018562511,-0.176903698196,-0.198895660084,0.0564573429093,0.0337606907328,-0.0295090503264,-0.00563473876377,0.0860131234615,-0.100191846148,
video_num_days,0.162587937875,0.0843084543165,0.054067241746,0.110638671665,-0.033579682081,-0.00215136133877,0.0963607538388,-0.0594917220623,0.201608361549,-0.123799934084,-0.213947342861,-0.0836840680732,0.077214520185,0.111081045591,-0.13974027911,-0.0389668738633,-0.0121033456036,
video_avg_count,0.138021158378,-0.130040680981,-0.0606030681382,-0.0598569497517,0.153786356781,-0.115597654153,-0.103778962211,-0.0397157315445,-0.101869810041,0.149295241407,0.375349534309,0.0704937457295,-0.0553000703712,-0.212221988147,-0.132185293702,-0.120938892724,0.250165570975,
video_sum_count,0.171345915584,-0.0797114449366,-0.0344027216067,-0.0625838434359,0.170031679784,0.0398265120739,-0.0163928516432,-0.0705279811068,0.00213072896324,0.00790516785355,-0.00183064789925,0.00680438702084,0.0094004266503,-0.0758328004163,0.0535249498273,0.0580411637743,-0.0246288209247,
forum_num_days,0.0336767167883,0.123089939456,-0.0602709759565,0.44369303842,0.188911832744,0.185564493174,-0.118443133592,0.0783000284677,-0.0844635298344,0.0730245849053,0.0326847358844,-0.0822908957501,0.016693613481,-0.0170138540254,0.0097523618347,0.0067146484599,-0.0758179898779,
forum_avg_count,0.0286615327105,0.137893071405,-0.0702748044762,0.445260527639,0.179170081363,0.167609283643,-0.101030435989,0.106088995833,-0.0998886947992,0.12526359415,0.00802286014128,-0.0709912727743,-0.0259622456044,0.0331416192094,0.0427911960537,-0.014421570695,0.0261259107667,
forum_sum_count,0.0310677136742,0.141721795386,-0.067727089448,0.442114365741,0.17935146877,0.175375811833,-0.0946622955406,0.102181418698,-0.105089890091,0.133560461232,0.0176965154776,-0.0431302824596,-0.0168226067799,0.00948737630342,0.0282514996242,-0.0148254574018,0.0391756179897,
num_watched,0.167175665821,0.0955842993074,-0.0537512004061,0.0246650898168,0.0504654915151,-0.0883680091319,-0.0158583854773,-0.160283136831,0.208696751045,0.0435397961205,0.0468329492977,-0.0341328162973,0.102323797719,0.125076137986,-0.0316843213062,-0.136587726393,0.00993636718061,
